ts_code,trade_date,open,high,low,close,vol,amount,pre_close,change,pct_chg,next_trade_date,name,industry,market,list_date,delist_date
000070.SZ,20250708,8.03,8.03,8.03,8.03,0.0,0.0,8.03,0.0,0.0,20250709,特发信息,通信设备,主板,20000511,
000403.SZ,20250606,16.96,16.96,16.96,16.96,0.0,0.0,16.96,0.0,0.0,20250609,派林生物,生物制药,主板,19960628,
000403.SZ,20250609,16.96,16.96,16.96,16.96,0.0,0.0,16.96,0.0,0.0,20250610,派林生物,生物制药,主板,19960628,
000407.SZ,20251028,3.78,3.78,3.78,3.78,0.0,0.0,3.78,0.0,0.0,20251029,胜利股份,供气供热,主板,19960703,
000407.SZ,20251029,3.78,3.78,3.78,3.78,0.0,0.0,3.78,0.0,0.0,20251030,胜利股份,供气供热,主板,19960703,
000407.SZ,20251030,3.78,3.78,3.78,3.78,0.0,0.0,3.78,0.0,0.0,20251031,胜利股份,供气供热,主板,19960703,
000407.SZ,20251031,3.78,3.78,3.78,3.78,0.0,0.0,3.78,0.0,0.0,20251103,胜利股份,供气供热,主板,19960703,
000407.SZ,20251103,3.78,3.78,3.78,3.78,0.0,0.0,3.78,0.0,0.0,20251104,胜利股份,供气供热,主板,19960703,
000407.SZ,20251104,3.78,3.78,3.78,3.78,0.0,0.0,3.78,0.0,0.0,20251105,胜利股份,供气供热,主板,19960703,
000407.SZ,20251105,3.78,3.78,3.78,3.78,0.0,0.0,3.78,0.0,0.0,20251106,胜利股份,供气供热,主板,19960703,
000407.SZ,20251106,3.78,3.78,3.78,3.78,0.0,0.0,3.78,0.0,0.0,20251107,胜利股份,供气供热,主板,19960703,
000407.SZ,20251107,3.78,3.78,3.78,3.78,0.0,0.0,3.78,0.0,0.0,20251110,胜利股份,供气供热,主板,19960703,
000407.SZ,20251110,3.78,3.78,3.78,3.78,0.0,0.0,3.78,0.0,0.0,20251111,胜利股份,供气供热,主板,19960703,
000408.SZ,20250110,29.5,29.5,29.5,29.5,0.0,0.0,29.5,0.0,0.0,20250113,藏格矿业,农药化肥,主板,19960628,
000408.SZ,20250113,29.5,29.5,29.5,29.5,0.0,0.0,29.5,0.0,0.0,20250114,藏格矿业,农药化肥,主板,19960628,
