group_type,group,rows,auc
market_direction,market_down,91335,0.532869581666863
market_direction,market_up,79170,0.5539028816806235
tail_direction,tail_down,94112,0.5122562873411032
tail_direction,tail_up,76393,0.5413046867400394
board,主板/其他,104739,0.5324524936997814
board,创业板,46849,0.5311799342798917
board,科创板,18917,0.5243890031466067
amount_bucket,q1,34101,0.538879331931664
amount_bucket,q2,34101,0.5366032582453144
amount_bucket,q3,34101,0.5390981071719978
amount_bucket,q4,34101,0.5328043528787924
amount_bucket,q5,34101,0.519985908533773
