industry,signals,win_rate,avg_return,sum_return_contribution,cumulative_daily_if_industry_only,max_drawdown
半导体,24,0.625,0.014334080728010845,0.03440179374722603,0.3479183131455512,-0.03502324382890509
汽车配件,32,0.53125,0.007578511250380466,0.02425123600121749,0.27061905851733936,-0.05355040451339432
互联网,17,0.5882352941176471,0.009696242211799364,0.01648361176005892,0.16858286955418755,-0.039067310368482544
船舶,6,0.6666666666666666,0.024310936015338333,0.014586561609203,0.15319080454646228,-0.008930585255801593
塑料,8,0.75,0.017799453827941365,0.014239563062353092,0.14825381587929853,-0.028271646777753512
医疗保健,21,0.6666666666666666,0.005277121171206486,0.011081954459533621,0.07658766463730138,-0.058838535126391145
通信设备,6,0.8333333333333334,0.018228641572606615,0.010937184943563969,0.11313261461664581,-0.018343161699179933
建筑工程,12,0.6666666666666666,0.008276048618050424,0.009931258341660509,0.10537718620296332,-0.016248614012436602
电气设备,37,0.43243243243243246,0.0019409894403299459,0.0071816609292207996,-0.0108611476155821,-0.1268899686140582
服饰,10,0.5,0.00709996137621248,0.00709996137621248,0.07546829135575073,-0.005665342373803561
乳制品,8,0.75,0.006618634212150436,0.005294907369720349,0.027876838670045423,-0.02221713772281564
全国地产,2,1.0,0.02563749550683445,0.0051274991013668895,0.05193160616061432,0.0
多元金融,2,1.0,0.0254293236483121,0.00508586472966242,0.051092175510069504,0.0
农药化肥,2,0.5,0.02158328649617825,0.00431665729923565,0.04231494781721046,-0.014713592586218738
环境保护,11,0.36363636363636365,0.0037932424420252723,0.004172566686227799,0.01539737649030859,-0.026800437499250984
超市连锁,3,0.6666666666666666,0.011403400350512133,0.0034210201051536396,0.03421005602377747,0.0
医药商业,9,0.6666666666666666,0.0037794748213800106,0.0034015273392420096,0.03340240019329754,-0.026856845259232376
广告包装,18,0.2777777777777778,0.0018596364575258673,0.003347345623546561,-0.012998332025803139,-0.06004103637495284
装修装饰,1,1.0,0.032613325598529,0.0032613325598529,0.03261332559852903,0.0
新型电力,7,0.42857142857142855,0.0036744414569577985,0.002572109019870459,0.015221262285816106,-0.039317796938194705
仓储物流,3,0.3333333333333333,0.008023893719166734,0.00240716811575002,0.02403391340847505,-0.0009088425404250033
石油开采,2,0.5,0.010921994068645951,0.00218439881372919,0.021598146379628425,-0.008186425858159319
水泥,2,0.5,0.0103324173508676,0.00206648347017352,0.02052881170835197,-0.005249040915154879
出版业,5,0.4,0.003694821679469021,0.0018474108397345105,0.016648160314159055,-0.03454154898298212
文教休闲,4,0.5,0.004411066495389951,0.0017644265981559804,0.00892262579443659,-0.08914158773351832
房产服务,1,1.0,0.016294499730431,0.0016294499730431001,0.016294499730431067,0.0
化工机械,1,1.0,0.015334166933524,0.0015334166933524,0.015334166933524074,0.0
生物制药,5,0.4,0.0024185520961047405,0.0012092760480523703,0.01163559293667471,-0.019909212278370947
铅锌,1,1.0,0.0102477665826643,0.0010247766582664301,0.010247766582664353,0.0
机床制造,3,0.6666666666666666,0.0033270823053813997,0.00099812469161442,0.009479463225083196,-0.02312467088177661
普钢,1,1.0,0.0093826240475198,0.00093826240475198,0.009382624047519883,0.0
林业,2,0.5,0.0046138545667666,0.0009227709133533201,0.008951785658894762,-0.012625957746647765
家居用品,7,0.42857142857142855,0.0011426082060381991,0.0007998257442267395,0.006640036494242052,-0.02476288009981431
区域地产,1,1.0,0.0074080281894886,0.0007408028189488599,0.007408028189488602,0.0
小金属,2,0.5,0.0022921995080505513,0.00045843990161011024,0.004310356424848338,-0.014419974792062251
机械基件,20,0.55,0.00011297550343667942,0.00022595100687335885,-0.0022447484227123837,-0.08380940407960713
摩托车,1,1.0,0.0007684871579707,7.684871579707e-05,0.000768487157970732,0.0
商品城,1,1.0,0.0004269482394341,4.269482394341e-05,0.00042694823943412175,0.0
港口,1,1.0,0.0001885336853653,1.885336853653e-05,0.0001885336853653108,0.0
商贸代理,3,0.3333333333333333,-0.00046400572789530016,-0.00013920171836859005,0.004293391454879503,-0.005743386727756872
矿物制品,4,0.5,-0.0004397648776045251,-0.00017590595104181005,-0.00407308568548026,-0.03451842664800164
空运,1,0.0,-0.0048825366589471,-0.00048825366589471,-0.004882536658947112,-0.004882536658947112
供气供热,2,0.5,-0.0028778812371188,-0.00057557624742376,-0.005785245476326861,-0.009023221138554915
酒店餐饮,1,0.0,-0.0088101567557297,-0.00088101567557297,-0.008810156755729714,-0.008810156755729714
钢加工,2,0.0,-0.0045845981912313,-0.0009169196382462601,-0.009163850662358697,-0.009163850662358697
化学制药,6,0.3333333333333333,-0.0017736111486563514,-0.0010641666891938108,0.004925434898592762,-0.024346978053683466
饲料,1,0.0,-0.0109061679789462,-0.00109061679789462,-0.010906167978946169,-0.010906167978946169
公共交通,2,0.5,-0.0055706102933548995,-0.00111412205867098,-0.01125101297023523,-0.017437542608233714
综合类,3,0.3333333333333333,-0.0038696211602541,-0.00116088634807623,-0.011683974674572717,-0.012727386001599839
电器仪表,6,0.3333333333333333,-0.002042423444791833,-0.0012254540668750998,-0.02124179279269367,-0.02972508007911856
铝,2,0.0,-0.00697101812597005,-0.00139420362519401,-0.006971018125970008,-0.006971018125970008
特种钢,2,0.0,-0.00719913239274065,-0.0014398264785481301,-0.014348294620669222,-0.014348294620669222
航空,3,0.3333333333333333,-0.005050814015571999,-0.0015152442046715998,-0.015829050295843916,-0.028088642933770003
IT设备,11,0.5454545454545454,-0.0015976762781673183,-0.0017574439059840502,-0.02580576747634189,-0.05866427823244291
橡胶,4,0.25,-0.005151076014742926,-0.0020604304058971703,-0.021549588883610915,-0.053143585190929654
焦炭加工,1,0.0,-0.0206476760544959,-0.00206476760544959,-0.02064767605449591,-0.02064767605449591
火力发电,1,0.0,-0.0212387760324129,-0.00212387760324129,-0.021238776032412865,-0.021238776032412865
造纸,1,0.0,-0.022178891516897,-0.0022178891516897,-0.022178891516897004,-0.022178891516897004
运输设备,2,0.0,-0.0119160551523159,-0.00238321103046318,-0.023698060354824024,-0.023698060354824024
批发业,2,0.0,-0.013155271209392949,-0.00263105424187859,-0.026278183973066915,-0.026278183973066915
水运,1,0.0,-0.0294077315089107,-0.0029407731508910703,-0.02940773150891074,-0.02940773150891074
家用电器,14,0.35714285714285715,-0.0021762870007176497,-0.0030468018010047096,-0.029793987588191073,-0.07096228458819698
旅游景点,3,0.0,-0.010306288573049235,-0.00309188657191477,-0.030623250669727486,-0.030623250669727486
百货,6,0.16666666666666666,-0.006360702616104767,-0.0038164215696628602,-0.03768085450602954,-0.03768085450602954
影视音像,5,0.2,-0.008828439717125481,-0.0044142198585627405,-0.045938962227869196,-0.045938962227869196
煤炭开采,3,0.0,-0.0172305559620526,-0.00516916678861578,-0.050994058400432474,-0.050994058400432474
铜,3,0.0,-0.0183326014224867,-0.00549978042674601,-0.054361553756657854,-0.054361553756657854
食品,9,0.2222222222222222,-0.006252136021521578,-0.00562692241936942,-0.05206163103627626,-0.05206163103627626
工程机械,9,0.3333333333333333,-0.007247318962890011,-0.00652258706660101,-0.03795479096355192,-0.04632680129382338
化工原料,31,0.41935483870967744,-0.0022800340971983134,-0.007068105701314771,-0.05377652377426456,-0.1251197101171977
软件服务,50,0.5,-0.0015066943827159002,-0.007533471913579501,-0.004034706293405965,-0.10038184441150433
染料涂料,4,0.0,-0.019257473015812848,-0.00770298920632514,-0.07485477721411682,-0.07485477721411682
其他建材,10,0.1,-0.008438183301213879,-0.008438183301213879,-0.07476264013861789,-0.07476264013861789
纺织,9,0.2222222222222222,-0.012129866487055734,-0.010916879838350161,-0.10593572923152994,-0.10701746620854635
专用机械,30,0.4,-0.006680801718162933,-0.0200424051544888,-0.10869634492074742,-0.1704140651883913
元器件,34,0.2647058823529412,-0.00615858767742785,-0.020939198103254692,-0.11260522010346596,-0.13914369900818413
