ts_code,name,industry,signals,win_rate,avg_return,sum_return,portfolio_contribution
688291.SH,金橙子,软件服务,6,0.0,-0.01774745219984705,-0.1064847131990823,-0.01064847131990823
002093.SZ,国脉科技,文教休闲,1,0.0,-0.0891415877335183,-0.0891415877335183,-0.008914158773351829
600722.SH,金牛化工,化工原料,1,0.0,-0.0724135121371573,-0.0724135121371573,-0.00724135121371573
688585.SH,上纬新材,化工原料,1,0.0,-0.0696355047794236,-0.0696355047794236,-0.00696355047794236
688716.SH,中研股份,化工原料,2,0.0,-0.03001933895690495,-0.0600386779138099,-0.00600386779138099
002836.SZ,新宏泽,广告包装,6,0.0,-0.009692885941090879,-0.05815731564654528,-0.005815731564654527
001360.SZ,南矿集团,工程机械,2,0.0,-0.0285648661455445,-0.057129732291089,-0.0057129732291089
002295.SZ,精艺股份,铜,3,0.0,-0.0183326014224867,-0.0549978042674601,-0.00549978042674601
002970.SZ,锐明技术,IT设备,2,0.0,-0.026471624901929502,-0.052943249803859005,-0.0052943249803859005
301398.SZ,星源卓镁,汽车配件,3,0.0,-0.017626755041086666,-0.052880265123259995,-0.005288026512326
301235.SZ,华康洁净,医疗保健,1,0.0,-0.0520642529717964,-0.0520642529717964,-0.00520642529717964
605288.SH,凯迪股份,电气设备,5,0.4,-0.009464655019976,-0.047323275099880005,-0.004732327509988
688081.SH,兴图新科,软件服务,2,0.5,-0.022937506255020203,-0.045875012510040405,-0.00458750125100404
001288.SZ,运机集团,专用机械,3,0.0,-0.0149018382727518,-0.044705514818255396,-0.004470551481825539
300521.SZ,爱司凯,专用机械,1,0.0,-0.0427362884902029,-0.0427362884902029,-0.0042736288490202905
002718.SZ,友邦吊顶,其他建材,3,0.0,-0.014061154863791567,-0.0421834645913747,-0.004218346459137471
300909.SZ,汇创达,元器件,3,0.3333333333333333,-0.013434742833969998,-0.04030422850191,-0.004030422850191
002952.SZ,亚世光电,元器件,1,0.0,-0.0398942787011777,-0.0398942787011777,-0.00398942787011777
600191.SH,华资实业,食品,2,0.0,-0.0195338480974552,-0.0390676961949104,-0.00390676961949104
002363.SZ,隆基机械,汽车配件,2,0.0,-0.01940417498605685,-0.0388083499721137,-0.00388083499721137
300121.SZ,阳谷华泰,化工原料,2,0.0,-0.01915155749726215,-0.0383031149945243,-0.0038303114994524302
300508.SZ,维宏股份,软件服务,1,0.0,-0.0378620930118075,-0.0378620930118075,-0.00378620930118075
002983.SZ,芯瑞达,元器件,2,0.0,-0.0182585108775076,-0.0365170217550152,-0.00365170217550152
301209.SZ,联合化学,染料涂料,2,0.0,-0.018208690179841898,-0.036417380359683796,-0.0036417380359683796
600699.SH,均胜电子,汽车配件,1,0.0,-0.0363717427878783,-0.0363717427878783,-0.0036371742787878305
688682.SH,霍莱沃,软件服务,2,0.5,-0.0177838950985368,-0.0355677901970736,-0.0035567790197073602
300984.SZ,金沃股份,机械基件,1,0.0,-0.0355491154811464,-0.0355491154811464,-0.00355491154811464
301002.SZ,崧盛股份,电气设备,1,0.0,-0.0354657127256143,-0.0354657127256143,-0.00354657127256143
002181.SZ,粤传媒,出版业,1,0.0,-0.0345415489829821,-0.0345415489829821,-0.0034541548982982098
001359.SZ,平安电工,矿物制品,1,0.0,-0.0345184266480017,-0.0345184266480017,-0.00345184266480017
