feature,importance_mean_auc_drop,importance_std
market_tail_breadth_positive,0.02065116339236565,0.0010384075338199714
market_tail_ret_median,0.012657525439465375,0.0004814378548946685
range_sofar,0.01115027435550727,0.00031193542346565295
prev_volatility_20d,0.004716443548916094,0.0001248430000133566
open_gap,0.004262848847924235,0.00025059149710756105
price_vs_ma20_prev,0.0027993020753132036,0.0003240678934823474
tail_ret_1420_1450,0.0025950288546722953,0.0002496688665671649
market_breadth_positive,0.0022285153080796594,0.0002288348399585036
price_vs_ma10_prev,0.001707699798341733,0.00010271780230834345
tail_ret_1430_1450,0.0016572315629490946,0.00015088950898694084
open_auction_ret,0.0016214607052718044,3.607100419335931e-05
prev_net_mf_amount_ratio,0.0014046293354229948,0.00023348946431544612
amount_sofar_log,0.001347707029142035,0.00010070060250722881
ret_to_prev_close_1450,0.0009791206717736738,5.548499992793219e-05
prev_ths_net_amount_ratio,0.0007066786014593799,8.252611784262698e-05
tail_amount_share,0.000587351638301444,0.0001856619887900523
prev_ret_5d,0.0004356344800117151,2.847511315615295e-05
late_ret_1445_1450,6.236162973745814e-05,7.009513894481415e-05
vwap_pos_1450,6.199402203096079e-05,3.675332293484811e-05
prev_close_auction_amount_log,2.2460455464279327e-05,2.376295279244264e-05
prev_elg_net_amount_ratio,0.0,0.0
prev_close_auction_ret,0.0,0.0
open_auction_amount_log,-6.496231709562927e-06,5.545560189172336e-06
prev_amount_ratio_5_20,-4.177790835394971e-05,9.840853936369611e-06
price_vs_ma5_prev,-0.00011357229986204882,6.854445548226742e-05
close_to_high_sofar,-0.00013153945138803339,1.7364748830615197e-05
prev_ret_3d,-0.00033287036651297175,4.93879495391817e-05
intraday_ret_1450,-0.0003577261919111378,8.903686955408361e-05
tail_amount_vs_prev20,-0.0004938770552908404,5.8335820255768035e-05
afternoon_ret_1305_1450,-0.0009210903444638966,0.00014325834012583478
close_to_low_sofar,-0.0014181903923803363,4.523611320047543e-05
prev_ret_1d,-0.003186394145380319,3.4806082929794994e-05
market_amount_log,-0.006316116927996422,0.00024257713729692888
market_ret_median_1450,-0.010563832640130685,0.000670859295499672
