ts_code,name,industry,selected_count
001270.SZ,铖昌科技,半导体,9
301001.SZ,凯淳股份,互联网,7
605167.SH,利柏特,建筑工程,6
301043.SZ,绿岛风,机械基件,6
002836.SZ,新宏泽,广告包装,6
688291.SH,金橙子,软件服务,6
688500.SH,慧辰股份,互联网,6
605288.SH,凯迪股份,电气设备,5
688478.SH,晶升股份,半导体,5
688651.SH,盛邦安全,软件服务,5
002513.SZ,蓝丰生化,新型电力,4
301010.SZ,晶雪节能,其他建材,4
301321.SZ,翰博高新,元器件,4
688399.SH,硕世生物,医疗保健,4
002910.SZ,庄园牧场,乳制品,4
301067.SZ,显盈科技,元器件,4
688448.SH,磁谷科技,专用机械,4
301161.SZ,唯万密封,工程机械,4
603268.SH,松发股份,船舶,4
301126.SZ,达嘉维康,医药商业,3
002098.SZ,浔兴股份,服饰,3
300051.SZ,琏升科技,综合类,3
003033.SZ,征和工业,汽车配件,3
002374.SZ,中锐股份,广告包装,3
300909.SZ,汇创达,元器件,3
605398.SH,新炬网络,软件服务,3
301567.SZ,贝隆精密,元器件,3
688109.SH,品茗科技,软件服务,3
688039.SH,当虹科技,软件服务,3
301398.SZ,星源卓镁,汽车配件,3
688767.SH,博拓生物,医疗保健,3
688125.SH,安达智能,专用机械,3
002718.SZ,友邦吊顶,其他建材,3
688607.SH,康众医疗,医疗保健,3
603536.SH,惠发食品,食品,3
603726.SH,朗迪集团,家用电器,3
001288.SZ,运机集团,专用机械,3
002295.SZ,精艺股份,铜,3
301286.SZ,侨源股份,化工原料,3
688081.SH,兴图新科,软件服务,2
300978.SZ,东箭科技,汽车配件,2
688118.SH,普元信息,软件服务,2
002677.SZ,浙江美大,家用电器,2
002970.SZ,锐明技术,IT设备,2
002976.SZ,瑞玛精密,汽车配件,2
600697.SH,欧亚集团,百货,2
300946.SZ,恒而达,机械基件,2
002983.SZ,芯瑞达,元器件,2
300350.SZ,华鹏飞,仓储物流,2
300596.SZ,利安隆,化工原料,2
