feature,model_version,feature_set
ret_to_prev_close_1450,v7_cap20_strong_label_003,base_34
intraday_ret_1450,v7_cap20_strong_label_003,base_34
tail_ret_1420_1450,v7_cap20_strong_label_003,base_34
tail_ret_1430_1450,v7_cap20_strong_label_003,base_34
late_ret_1445_1450,v7_cap20_strong_label_003,base_34
afternoon_ret_1305_1450,v7_cap20_strong_label_003,base_34
vwap_pos_1450,v7_cap20_strong_label_003,base_34
close_to_high_sofar,v7_cap20_strong_label_003,base_34
close_to_low_sofar,v7_cap20_strong_label_003,base_34
range_sofar,v7_cap20_strong_label_003,base_34
tail_amount_share,v7_cap20_strong_label_003,base_34
tail_amount_vs_prev20,v7_cap20_strong_label_003,base_34
amount_sofar_log,v7_cap20_strong_label_003,base_34
open_gap,v7_cap20_strong_label_003,base_34
prev_ret_1d,v7_cap20_strong_label_003,base_34
prev_ret_3d,v7_cap20_strong_label_003,base_34
prev_ret_5d,v7_cap20_strong_label_003,base_34
prev_volatility_20d,v7_cap20_strong_label_003,base_34
price_vs_ma5_prev,v7_cap20_strong_label_003,base_34
price_vs_ma10_prev,v7_cap20_strong_label_003,base_34
price_vs_ma20_prev,v7_cap20_strong_label_003,base_34
prev_amount_ratio_5_20,v7_cap20_strong_label_003,base_34
open_auction_ret,v7_cap20_strong_label_003,base_34
open_auction_amount_log,v7_cap20_strong_label_003,base_34
prev_close_auction_ret,v7_cap20_strong_label_003,base_34
prev_close_auction_amount_log,v7_cap20_strong_label_003,base_34
prev_net_mf_amount_ratio,v7_cap20_strong_label_003,base_34
prev_elg_net_amount_ratio,v7_cap20_strong_label_003,base_34
prev_ths_net_amount_ratio,v7_cap20_strong_label_003,base_34
market_ret_median_1450,v7_cap20_strong_label_003,base_34
market_breadth_positive,v7_cap20_strong_label_003,base_34
market_tail_ret_median,v7_cap20_strong_label_003,base_34
market_tail_breadth_positive,v7_cap20_strong_label_003,base_34
market_amount_log,v7_cap20_strong_label_003,base_34
