ts_code,name,industry,market,list_date,avg_amount,days,liquidity_rank,rank_start,rank_end
300308.SZ,中际旭创,通信设备,创业板,20120410,19460416.15965,60,1,20251120,20260213
300502.SZ,新易盛,通信设备,创业板,20160303,16876392.6572,60,2,20251120,20260213
300058.SZ,蓝色光标,广告包装,创业板,20100226,11017588.275416667,60,3,20251120,20260213
601899.SH,紫金矿业,铜,主板,20080425,10938990.379,60,4,20251120,20260213
601138.SH,工业富联,通信设备,主板,20180608,10920320.896033334,60,5,20251120,20260213
300274.SZ,阳光电源,电气设备,创业板,20111102,10470306.609816667,60,6,20251120,20260213
000547.SZ,航天发展,通信设备,主板,19931130,10329651.86135,60,7,20251120,20260213
300750.SZ,宁德时代,电气设备,创业板,20180611,10215453.362566667,60,8,20251120,20260213
688256.SH,寒武纪,半导体,科创板,20200720,9974568.096083334,60,9,20251120,20260213
300476.SZ,胜宏科技,元器件,创业板,20150611,9677249.076,60,10,20251120,20260213
002050.SZ,三花智控,家用电器,主板,20050607,9352122.079466667,60,11,20251120,20260213
300394.SZ,天孚通信,通信设备,创业板,20150217,9166178.975,60,12,20251120,20260213
600879.SH,航天电子,航空,主板,19951115,8971750.645366667,60,13,20251120,20260213
600118.SH,中国卫星,航空,主板,19970908,8238337.105416667,60,14,20251120,20260213
603986.SH,兆易创新,半导体,主板,20160818,7903338.309416667,60,15,20251120,20260213
300136.SZ,信维通信,元器件,创业板,20101105,7853100.069066667,60,16,20251120,20260213
600089.SH,特变电工,电气设备,主板,19970618,7793933.707916667,60,17,20251120,20260213
300059.SZ,东方财富,证券,创业板,20100319,7051217.327316667,60,18,20251120,20260213
002202.SZ,金风科技,电气设备,主板,20071226,6937921.133133333,60,19,20251120,20260213
002475.SZ,立讯精密,元器件,主板,20100915,6921156.964149999,60,20,20251120,20260213
601318.SH,中国平安,保险,主板,20070301,6470830.118116667,60,21,20251120,20260213
600519.SH,贵州茅台,白酒,主板,20010827,6338926.4163,60,22,20251120,20260213
300475.SZ,香农芯创,元器件,创业板,20150610,6163741.894566667,60,23,20251120,20260213
