scenario_id,drawdown_start,drawdown_end,drawdown_days,max_drawdown
no_cost,20260317,20260320,4,-0.040949691979037195
basic_cost_no_slippage,20260305,20260320,12,-0.05104417973651132
5bp_one_way_slippage,20260305,20260320,12,-0.06142807961348873
10bp_one_way_slippage,20260226,20260320,17,-0.07266548976260367
15bp_one_way_slippage,20260225,20260320,18,-0.08774790238071883
20bp_one_way_slippage,20260225,20260519,56,-0.13245101003646953
10bp_slippage_plus_impact_capital_100k,20260226,20260320,17,-0.07516067028871343
10bp_slippage_plus_impact_participation_10pct_no_partial_capital_100k,20260225,20260320,18,-0.07900315829265459
10bp_slippage_plus_impact_participation_10pct_partial_zero_capital_100k,20260225,20260320,18,-0.07541286750846843
capacity_100000_part_100bp_slip_5bp,20260225,20260320,18,-0.06415264976421053
capacity_100000_part_100bp_slip_10bp,20260225,20260320,18,-0.07899589623455205
capacity_100000_part_100bp_slip_15bp,20260224,20260519,57,-0.11340820495927395
capacity_100000_part_100bp_slip_20bp,20260224,20260519,57,-0.1581339665245659
capacity_100000_part_300bp_slip_5bp,20260305,20260320,12,-0.06374958611709725
capacity_100000_part_300bp_slip_10bp,20260225,20260320,18,-0.07823476023841602
capacity_100000_part_300bp_slip_15bp,20260225,20260519,56,-0.09628674330909337
capacity_100000_part_300bp_slip_20bp,20260225,20260519,56,-0.14427743620315148
capacity_100000_part_500bp_slip_5bp,20260305,20260320,12,-0.06335228402906024
capacity_100000_part_500bp_slip_10bp,20260225,20260320,18,-0.0772477922992062
capacity_100000_part_500bp_slip_15bp,20260225,20260519,56,-0.09469564778343498
capacity_100000_part_500bp_slip_20bp,20260225,20260519,56,-0.14299784510474478
capacity_100000_part_1000bp_slip_5bp,20260305,20260320,12,-0.06326784727958834
capacity_100000_part_1000bp_slip_10bp,20260225,20260320,18,-0.07541286750846843
capacity_100000_part_1000bp_slip_15bp,20260225,20260519,56,-0.09295514101370816
capacity_100000_part_1000bp_slip_20bp,20260225,20260519,56,-0.14140678836878418
capacity_300000_part_100bp_slip_5bp,20260224,20260320,19,-0.05118798457136331
capacity_300000_part_100bp_slip_10bp,20260224,20260519,57,-0.07890685158429922
capacity_300000_part_100bp_slip_15bp,20260224,20260519,57,-0.11216981425069239
capacity_300000_part_100bp_slip_20bp,20260224,20260519,57,-0.14422290843484475
capacity_300000_part_300bp_slip_5bp,20260225,20260320,18,-0.06578631871923579
capacity_300000_part_300bp_slip_10bp,20260225,20260320,18,-0.08060352971908935
capacity_300000_part_300bp_slip_15bp,20260224,20260519,57,-0.11889286099734098
capacity_300000_part_300bp_slip_20bp,20260224,20260519,57,-0.16334145225383423
capacity_300000_part_500bp_slip_5bp,20260225,20260320,18,-0.06487860710894644
capacity_300000_part_500bp_slip_10bp,20260225,20260320,18,-0.08021894757519954
capacity_300000_part_500bp_slip_15bp,20260225,20260519,56,-0.10948885135141073
capacity_300000_part_500bp_slip_20bp,20260225,20260519,56,-0.1557853011308017
capacity_300000_part_1000bp_slip_5bp,20260305,20260320,12,-0.06500816303937729
capacity_300000_part_1000bp_slip_10bp,20260225,20260320,18,-0.07990912319917742
capacity_300000_part_1000bp_slip_15bp,20260225,20260519,56,-0.10245048827680736
capacity_300000_part_1000bp_slip_20bp,20260225,20260519,56,-0.15018517513182805
capacity_500000_part_100bp_slip_5bp,20260225,20260519,56,-0.046934134478665346
capacity_500000_part_100bp_slip_10bp,20260224,20260519,57,-0.0735381311119605
capacity_500000_part_100bp_slip_15bp,20260224,20260519,57,-0.09982751769891274
capacity_500000_part_100bp_slip_20bp,20260224,20260519,57,-0.12536158891739102
capacity_500000_part_300bp_slip_5bp,20260225,20260320,18,-0.06369329284565828
capacity_500000_part_300bp_slip_10bp,20260224,20260519,57,-0.08709634625608198
capacity_500000_part_300bp_slip_15bp,20260224,20260519,57,-0.128427968146129
capacity_500000_part_300bp_slip_20bp,20260224,20260519,57,-0.16788260488154205
capacity_500000_part_500bp_slip_5bp,20260225,20260320,18,-0.0669094242189715
capacity_500000_part_500bp_slip_10bp,20260225,20260320,18,-0.08170873668233647
capacity_500000_part_500bp_slip_15bp,20260224,20260519,57,-0.12264923712936548
capacity_500000_part_500bp_slip_20bp,20260224,20260519,57,-0.1669079996543913
capacity_500000_part_1000bp_slip_5bp,20260225,20260320,18,-0.06606837812278321
capacity_500000_part_1000bp_slip_10bp,20260225,20260320,18,-0.08150160751515378
capacity_500000_part_1000bp_slip_15bp,20260225,20260519,56,-0.11054419292946627
capacity_500000_part_1000bp_slip_20bp,20260225,20260519,56,-0.15724764749099474
capacity_1000000_part_100bp_slip_5bp,20260225,20260519,56,-0.039022225816644496
capacity_1000000_part_100bp_slip_10bp,20260225,20260519,56,-0.05750041797778327
capacity_1000000_part_100bp_slip_15bp,20260225,20260519,56,-0.075614672572766
capacity_1000000_part_100bp_slip_20bp,20260224,20260519,57,-0.09367740399977331
capacity_1000000_part_300bp_slip_5bp,20260224,20260519,57,-0.05114879962146346
capacity_1000000_part_300bp_slip_10bp,20260224,20260519,57,-0.08382925084166704
capacity_1000000_part_300bp_slip_15bp,20260224,20260519,57,-0.11537491274828027
capacity_1000000_part_300bp_slip_20bp,20260224,20260519,57,-0.1458255176784622
capacity_1000000_part_500bp_slip_5bp,20260225,20260320,18,-0.061336996704547175
capacity_1000000_part_500bp_slip_10bp,20260224,20260519,57,-0.09065935418557336
capacity_1000000_part_500bp_slip_15bp,20260224,20260519,57,-0.12937409942350575
capacity_1000000_part_500bp_slip_20bp,20260224,20260519,57,-0.16643379924664214
capacity_1000000_part_1000bp_slip_5bp,20260225,20260320,18,-0.06896974726479355
capacity_1000000_part_1000bp_slip_10bp,20260225,20260320,18,-0.08373622547115456
capacity_1000000_part_1000bp_slip_15bp,20260224,20260519,57,-0.12951029492631083
capacity_1000000_part_1000bp_slip_20bp,20260224,20260519,57,-0.17342233750543656
capacity_5000000_part_100bp_slip_5bp,20260224,20260408,31,-0.018643487478682608
capacity_5000000_part_100bp_slip_10bp,20260224,20260519,57,-0.025509846297590566
capacity_5000000_part_100bp_slip_15bp,20260224,20260519,57,-0.032448612658980025
capacity_5000000_part_100bp_slip_20bp,20260224,20260519,57,-0.03933298166203969
capacity_5000000_part_300bp_slip_5bp,20260225,20260519,56,-0.03817098102303784
capacity_5000000_part_300bp_slip_10bp,20260225,20260519,56,-0.05216153905263321
capacity_5000000_part_300bp_slip_15bp,20260225,20260519,56,-0.06594105157682129
capacity_5000000_part_300bp_slip_20bp,20260224,20260519,57,-0.07957499274848767
capacity_5000000_part_500bp_slip_5bp,20260225,20260519,56,-0.04404623405865837
capacity_5000000_part_500bp_slip_10bp,20260225,20260519,56,-0.06242514453234138
capacity_5000000_part_500bp_slip_15bp,20260225,20260519,56,-0.08044212625482383
capacity_5000000_part_500bp_slip_20bp,20260224,20260519,57,-0.0985637742458656
capacity_5000000_part_1000bp_slip_5bp,20260225,20260519,56,-0.05887944914053145
capacity_5000000_part_1000bp_slip_10bp,20260224,20260519,57,-0.08544477158432084
capacity_5000000_part_1000bp_slip_15bp,20260224,20260519,57,-0.11139126511473019
capacity_5000000_part_1000bp_slip_20bp,20260224,20260519,57,-0.13659244189734343
