scenario_id,avg_fill_ratio,partial_fill_count,zero_fill_count,filled_count,partial_fill_capacity_count,zero_fill_capacity_count,no_buy_limit_or_missing_count,no_exit_limit_or_missing_count
no_cost,1.0,0,0,580,0,0,0,0
basic_cost_no_slippage,1.0,0,0,580,0,0,0,0
5bp_one_way_slippage,1.0,0,0,580,0,0,0,0
10bp_one_way_slippage,1.0,0,0,580,0,0,0,0
15bp_one_way_slippage,1.0,0,0,580,0,0,0,0
20bp_one_way_slippage,1.0,0,0,580,0,0,0,0
10bp_slippage_plus_impact_capital_100k,1.0,0,0,580,0,0,0,0
10bp_slippage_plus_impact_participation_10pct_no_partial_capital_100k,0.996551724137931,0,2,578,0,2,0,0
10bp_slippage_plus_impact_participation_10pct_partial_zero_capital_100k,0.9979979310344828,1,1,578,1,1,0,0
capacity_100000_part_100bp_slip_5bp,0.9230832982520665,114,1,465,114,1,0,0
capacity_100000_part_100bp_slip_10bp,0.9230832982520665,114,1,465,114,1,0,0
capacity_100000_part_100bp_slip_15bp,0.9230832982520665,114,1,465,114,1,0,0
capacity_100000_part_100bp_slip_20bp,0.9230832982520665,114,1,465,114,1,0,0
capacity_100000_part_300bp_slip_5bp,0.9912193447006765,14,1,565,14,1,0,0
capacity_100000_part_300bp_slip_10bp,0.9912193447006765,14,1,565,14,1,0,0
capacity_100000_part_300bp_slip_15bp,0.9912193447006765,14,1,565,14,1,0,0
capacity_100000_part_300bp_slip_20bp,0.9912193447006765,14,1,565,14,1,0,0
capacity_100000_part_500bp_slip_5bp,0.9963192672413793,4,1,575,4,1,0,0
capacity_100000_part_500bp_slip_10bp,0.9963192672413793,4,1,575,4,1,0,0
capacity_100000_part_500bp_slip_15bp,0.9963192672413793,4,1,575,4,1,0,0
capacity_100000_part_500bp_slip_20bp,0.9963192672413793,4,1,575,4,1,0,0
capacity_100000_part_1000bp_slip_5bp,0.9979979310344828,1,1,578,1,1,0,0
capacity_100000_part_1000bp_slip_10bp,0.9979979310344828,1,1,578,1,1,0,0
capacity_100000_part_1000bp_slip_15bp,0.9979979310344828,1,1,578,1,1,0,0
capacity_100000_part_1000bp_slip_20bp,0.9979979310344828,1,1,578,1,1,0,0
capacity_300000_part_100bp_slip_5bp,0.6604418258269924,366,1,213,366,1,0,0
capacity_300000_part_100bp_slip_10bp,0.6604418258269924,366,1,213,366,1,0,0
capacity_300000_part_100bp_slip_15bp,0.6604418258269924,366,1,213,366,1,0,0
capacity_300000_part_100bp_slip_20bp,0.6604418258269924,366,1,213,366,1,0,0
capacity_300000_part_300bp_slip_5bp,0.9230832982520665,114,1,465,114,1,0,0
capacity_300000_part_300bp_slip_10bp,0.9230832982520665,114,1,465,114,1,0,0
capacity_300000_part_300bp_slip_15bp,0.9230832982520665,114,1,465,114,1,0,0
capacity_300000_part_300bp_slip_20bp,0.9230832982520665,114,1,465,114,1,0,0
capacity_300000_part_500bp_slip_5bp,0.9692272934766203,52,1,527,52,1,0,0
capacity_300000_part_500bp_slip_10bp,0.9692272934766203,52,1,527,52,1,0,0
capacity_300000_part_500bp_slip_15bp,0.9692272934766203,52,1,527,52,1,0,0
