scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99
capacity_100000_part_100bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.01,5,True,True,True,True,True,0.008345093656456193,0.00022457337223150454,0.44655172413793104,0.4827586206896552,-0.06415264976421053,1.0263341096370604,0.5274665946821433,580,58,10.0,0.9238565982520663,115,0,20260407,0.02962660201916083,20260306,-0.033683354669167366,-0.02066915163319394,-0.06606090956878408,-0.10317957597640415,465,115,0,0,0,20260225,20260320,18,0.005080519027543372,0.01,0.010000000000000002
capacity_100000_part_100bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.01,10,True,True,True,True,True,-0.044280640995829734,-0.0006992766268753882,0.43448275862068964,0.41379310344827586,-0.07899589623455205,0.9227754395341473,0.5274665946821433,580,58,10.0,0.9238565982520663,115,0,20260407,0.028645311837033366,20260306,-0.03464114134899665,-0.07089513945543235,-0.11221179866513697,-0.1458354593003406,465,115,0,0,0,20260225,20260320,18,0.005080519027543372,0.01,0.010000000000000002
capacity_100000_part_100bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.01,15,True,True,True,True,True,-0.09415652915674022,-0.0016222044665765258,0.4224137931034483,0.3793103448275862,-0.11267593729847791,0.8308800561962074,0.5274665946821433,580,58,10.0,0.9238565982520663,115,0,20260407,0.027665001119406302,20260306,-0.0355979720190561,-0.11854206394442746,-0.15607911281638187,-0.18645961448484738,465,115,0,0,0,20260224,20260519,57,0.005080519027543372,0.01,0.010000000000000002
capacity_100000_part_100bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.01,20,True,True,True,True,True,-0.1414264509171208,-0.0025442115268908185,0.41379310344827586,0.3793103448275862,-0.15747695829998687,0.748970811638028,0.5274665946821433,580,58,10.0,0.9238565982520663,115,0,20260407,0.026685668400548073,20260306,-0.03655384810998564,-0.1637425401871705,-0.19777601175278292,-0.22514896715624833,465,115,0,0,0,20260224,20260519,57,0.005080519027543372,0.01,0.010000000000000002
capacity_100000_part_300bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.03,5,True,True,True,True,True,0.039395166604723864,0.000753506324839246,0.44655172413793104,0.5,-0.06374958611709725,1.0866156562389166,0.5274665946821433,580,58,10.0,0.992943482631711,14,0,20260407,0.031135713578382095,20260306,-0.03399441258802827,0.008010054270818578,-0.039226895780815285,-0.07837710599060066,566,14,0,0,0,20260305,20260320,12,0.005080519027543372,0.015271386012349815,0.03
capacity_100000_part_300bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.03,10,True,True,True,True,True,-0.018787226762018938,-0.00023994449876409875,0.43448275862068964,0.43103448275862066,-0.07823476023841602,0.9740564263712813,0.5274665946821433,580,58,10.0,0.992943482631711,14,0,20260407,0.030104859907573923,20260306,-0.03496015667654036,-0.047463213282946115,-0.09028253860449775,-0.12560482625381453,566,14,0,0,0,20260225,20260320,18,0.005080519027543372,0.015271386012349815,0.03
capacity_100000_part_300bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.03,15,True,True,True,True,True,-0.07371245766798251,-0.0012324036958778774,0.4224137931034483,0.39655172413793105,-0.09462784807847235,0.8743685453859652,0.5274665946821433,580,58,10.0,0.992943482631711,14,0,20260407,0.02907503516478922,20260306,-0.035924936813598596,-0.09988338004556896,-0.1386248142931742,-0.17041215053638836,566,14,0,0,0,20260225,20260519,56,0.005080519027543372,0.015271386012349815,0.03
capacity_100000_part_300bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.03,20,True,True,True,True,True,-0.12556290873891274,-0.002223872750469506,0.41379310344827586,0.3793103448275862,-0.14279345967689727,0.7857523922796171,0.5274665946821433,580,58,10.0,0.992943482631711,14,0,20260407,0.02804623781028768,20260306,-0.0368887544417259,-0.14941851922573468,-0.18439796143718412,-0.21292315635171088,566,14,0,0,0,20260225,20260519,56,0.005080519027543372,0.015271386012349815,0.03
capacity_100000_part_500bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.05,5,True,True,True,True,True,0.04306611285488393,0.0008143349393338433,0.44655172413793104,0.5,-0.06335228402906024,1.093556360103279,0.5274665946821433,580,58,10.0,0.9980434051724139,4,0,20260407,0.031135713578382095,20260306,-0.03399441258802827,0.011570154267181332,-0.035833627717323235,-0.07512210903128536,576,4,0,0,0,20260305,20260320,12,0.005080519027543372,0.015271386012349815,0.043954333911475366
capacity_100000_part_500bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.05,10,True,True,True,True,True,-0.015613347214363693,-0.00018427547170210855,0.43448275862068964,0.43103448275862066,-0.0772477922992062,0.9800892569725184,0.5274665946821433,580,58,10.0,0.9980434051724139,4,0,20260407,0.030104859907573923,20260306,-0.03496015667654036,-0.04438209050488273,-0.08733992134184365,-0.12277646421633015,576,4,0,0,0,20260225,20260320,18,0.005080519027543372,0.015271386012349815,0.043954333911475366
