ts_code,trade_date,split,target_return,extreme_side,primary_attribution,dirty_event_removed_by_event_clean,from_repaired_daily_sample,entry_daily_source,exit_daily_source,minute_daily_close_mismatch,daily_minute_close_diff_pct,exit_bar_amount,exit_amount_zero,exit_amount_lt_10k,entry_bar_amount,entry_amount_lt_10k,suspect_resume_gap,prev_trade_gap_calendar_days,exright_or_adjustment_evidence,is_new_stock_180d,is_subnew_365d,special_limit_board,is_st,name,industry,market,list_date
300502.SZ,20250527,train,-0.2727946680906064,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,333200060.0,False,False,98348090.0,False,False,1,unknown,False,False,True,False,新易盛,通信设备,创业板,20160303
300058.SZ,20250603,train,-0.29181096612391044,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,45370310.0,False,False,51719052.0,False,False,4,unknown,False,False,True,False,蓝色光标,广告包装,创业板,20100226
300274.SZ,20240612,train,-0.2856341241984205,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,72667700.0,False,False,26249862.0,False,False,1,unknown,False,False,True,False,阳光电源,电气设备,创业板,20111102
688256.SH,20260507,legacy_validation,-0.36398078282902313,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,1515568900.0,False,False,446644740.0,False,False,1,unknown,False,False,True,False,寒武纪,半导体,科创板,20200720
300394.SZ,20250606,train,-0.2683882822310495,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,215249000.0,False,False,72424376.0,False,False,1,unknown,False,False,True,False,天孚通信,通信设备,创业板,20150217
688008.SH,20240930,train,0.20233840397575187,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,370278240.0,False,False,70358790.0,False,False,3,unknown,False,False,True,False,澜起科技,半导体,科创板,20190722
002837.SZ,20250529,train,-0.25593628454470785,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,34203984.0,False,False,15501584.0,False,False,1,unknown,False,False,False,False,英维克,专用机械,主板,20161229
300548.SZ,20250428,train,0.2015334226145098,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,60266350.0,False,False,32432668.0,False,False,3,unknown,False,False,True,False,长芯博创,通信设备,创业板,20161012
002371.SZ,20250702,train,-0.2600012232981913,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,58902508.0,False,False,43327276.0,False,False,1,unknown,False,False,False,False,北方华创,半导体,主板,20100316
002792.SZ,20240617,train,-0.22803737424918902,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,16190952.0,False,False,4564806.0,False,False,3,unknown,False,False,False,False,通宇通讯,通信设备,主板,20160328
301171.SZ,20260427,legacy_validation,-0.2650961618057094,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,102367790.0,False,False,30665440.0,False,False,3,unknown,False,False,True,False,易点天下,互联网,创业板,20220819
300604.SZ,20250922,train,0.202874640574342,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,69450330.0,False,False,69095890.0,False,False,3,unknown,False,False,True,False,长川科技,半导体,创业板,20170417
002594.SZ,20250728,train,-0.6694788101062326,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,360032700.0,False,False,211859630.0,False,False,3,unknown,False,False,False,False,比亚迪,汽车整车,主板,20110630
300803.SZ,20241009,train,-0.22822618177884912,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,521820960.0,False,False,245897970.0,False,False,1,unknown,False,False,True,False,指南针,软件服务,创业板,20191118
300803.SZ,20250314,train,-0.31751774069791683,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,87177370.0,False,False,48981932.0,False,False,1,unknown,False,False,True,False,指南针,软件服务,创业板,20191118
001309.SZ,20250709,train,-0.3104763937648739,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,56340204.0,False,False,13980985.0,False,False,1,unknown,False,False,False,False,德明利,半导体,主板,20220701
300033.SZ,20260409,legacy_validation,-0.26240487828053116,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,517349220.0,False,False,63068690.0,False,False,1,unknown,False,False,True,False,同花顺,软件服务,创业板,20091225
688498.SH,20260515,legacy_validation,-0.32695518066354645,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,313681380.0,False,False,123671680.0,False,False,1,unknown,False,False,True,False,源杰科技,半导体,科创板,20221221
601689.SH,20240718,train,-0.31811536984663114,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,17378084.0,False,False,12116819.0,False,False,1,unknown,False,False,False,False,拓普集团,汽车配件,主板,20150319
300757.SZ,20240612,train,-0.29892223186215827,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,34132664.0,False,False,16803376.0,False,False,1,unknown,False,False,True,False,罗博特科,专用机械,创业板,20190108
002916.SZ,20250528,train,-0.22739832474518962,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,55099256.0,False,False,19219072.0,False,False,1,unknown,False,False,False,False,深南电路,元器件,主板,20171213
300857.SZ,20250509,train,-0.2703758725108545,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,51335500.0,False,False,14186145.0,False,False,1,unknown,False,False,True,False,协创数据,IT设备,创业板,20200727
300857.SZ,20260413,legacy_validation,0.20259902948659247,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,479590430.0,False,False,56218904.0,False,False,3,unknown,False,False,True,False,协创数据,IT设备,创业板,20200727
300857.SZ,20260421,legacy_validation,-0.24698261666739008,negative,confirmed_dirty_event_clean_removed,True,False,raw_daily,raw_daily,False,0.0,840294340.0,False,False,102919784.0,False,False,1,unknown,False,False,True,False,协创数据,IT设备,创业板,20200727
688205.SH,20250528,train,-0.20307690863014638,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,33035940.0,False,False,9114852.0,False,False,1,unknown,False,False,True,False,德科立,通信设备,科创板,20220809
603881.SH,20240620,train,-0.24300040411888213,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,2264480.0,False,False,2943386.0,False,False,1,unknown,False,False,False,False,数据港,软件服务,主板,20170208
002155.SZ,20250612,train,-0.22027365939235788,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,118857270.0,False,False,32454156.0,False,False,1,unknown,False,False,False,False,湖南黄金,黄金,主板,20070816
688072.SH,20240930,train,0.20053046864108826,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,81912740.0,False,False,18049904.0,False,False,3,unknown,False,False,True,False,拓荆科技,半导体,科创板,20220420
688568.SH,20240703,train,-0.32896383879057123,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,4308891.0,False,False,3823818.0,False,False,1,unknown,False,False,True,False,中科星图,软件服务,科创板,20200708
688568.SH,20250520,train,-0.3258840371740418,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,14758569.0,False,False,8114377.0,False,False,1,unknown,False,False,True,False,中科星图,软件服务,科创板,20200708
300251.SZ,20260213,train,-0.2044711846561732,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,713315260.0,False,False,273604100.0,False,False,1,unknown,False,False,True,False,光线传媒,影视音像,创业板,20110803
688766.SH,20240930,train,0.20125228860089406,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,36008550.0,False,False,9306514.0,False,False,3,unknown,False,False,True,False,普冉股份,半导体,科创板,20210823
688766.SH,20250529,train,-0.2974762498209549,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,6460723.0,False,False,3633518.0,False,False,1,unknown,False,False,True,False,普冉股份,半导体,科创板,20210823
300377.SZ,20240927,train,0.21818295047666836,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,8377500.0,False,False,50285584.0,False,False,1,unknown,False,False,True,False,赢时胜,软件服务,创业板,20140127
688102.SH,20240702,train,-0.25037251800215377,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,1488254.0,False,False,1739165.0,False,False,1,unknown,False,False,True,False,斯瑞新材,铜,科创板,20220316
300900.SZ,20240624,train,-0.28126072249233136,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,10248433.0,False,False,5403531.5,False,False,3,unknown,False,False,True,False,广联航空,航空,创业板,20201029
300624.SZ,20241204,train,0.20319770865081543,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,326674200.0,False,False,19054652.0,False,False,1,unknown,False,False,True,False,万兴科技,软件服务,创业板,20180118
300085.SZ,20240918,train,0.20081902841757282,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,11395782.0,False,False,1974022.0,False,False,5,unknown,False,False,True,False,银之杰,软件服务,创业板,20100526
300438.SZ,20251029,train,0.20070216815949538,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,349084600.0,False,False,35637856.0,False,False,1,unknown,False,False,True,False,鹏辉能源,电气设备,创业板,20150424
603119.SH,20240617,train,-0.23948735139714172,negative,subnew_stock_365d,False,False,raw_daily,raw_daily,False,0.0,1285515.0,False,False,2636415.0,False,False,3,unknown,False,True,False,False,浙江荣泰,汽车配件,主板,20230801
603119.SH,20260514,legacy_validation,-0.23479611091288344,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,86767224.0,False,False,42917224.0,False,False,1,unknown,False,False,False,False,浙江荣泰,汽车配件,主板,20230801
301550.SZ,20250522,train,-0.31028207482652914,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,21130494.0,False,False,20694674.0,False,False,1,unknown,False,False,True,False,斯菱智驱,汽车配件,创业板,20230915
301550.SZ,20251117,train,-0.29926602226675103,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,26110058.0,False,False,28841922.0,False,False,3,unknown,False,False,True,False,斯菱智驱,汽车配件,创业板,20230915
301232.SZ,20260518,legacy_validation,-0.3039089330082786,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,106659380.0,False,False,70481080.0,False,False,3,unknown,False,False,True,False,飞沃科技,机械基件,创业板,20230615
603179.SH,20260519,legacy_validation,-0.29078866168867845,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,112309090.0,False,False,45484720.0,False,False,1,unknown,False,False,False,False,新泉股份,汽车配件,主板,20170317
300661.SZ,20240930,train,0.22151366879297174,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,88548940.0,False,False,21482546.0,False,False,3,unknown,False,False,True,False,圣邦股份,半导体,创业板,20170606
300661.SZ,20250619,train,-0.23423129373446117,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,23866500.0,False,False,12592750.0,False,False,1,unknown,False,False,True,False,圣邦股份,半导体,创业板,20170606
300516.SZ,20260512,legacy_validation,-0.28037084569243265,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,11524263.0,False,False,6855859.0,False,False,1,unknown,False,False,True,False,久之洋,电器仪表,创业板,20160602
688037.SH,20240716,train,-0.3032245269855096,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,14641480.0,False,False,5752907.0,False,False,1,unknown,False,False,True,False,芯源微,半导体,科创板,20191216
300827.SZ,20250703,train,-0.3029267595838,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,52844504.0,False,False,23788042.0,False,False,1,unknown,False,False,True,False,上能电气,电气设备,创业板,20200410
301293.SZ,20240626,train,-0.24170092162325296,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,6428659.0,False,False,7614355.0,False,False,1,unknown,False,False,True,False,三博脑科,医疗保健,创业板,20230505
688361.SH,20240930,train,0.20187215363452116,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,69883440.0,False,False,10502488.0,False,False,3,unknown,False,False,True,False,中科飞测,半导体,科创板,20230519
301306.SZ,20250702,train,0.20852256744960518,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,20491380.0,False,False,10347889.0,False,False,1,unknown,False,False,True,False,西测测试,航空,创业板,20220726
688005.SH,20250305,train,-0.31909630917723375,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,18621388.0,False,False,8926977.0,False,False,1,unknown,False,False,True,False,容百科技,电气设备,科创板,20190722
301396.SZ,20250522,train,-0.29117015804917135,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,20869036.0,False,False,21654396.0,False,False,1,unknown,False,False,True,False,宏景科技,软件服务,创业板,20221111
