scenario_id,capital,participation_cap,slippage_bp,avg_fill_ratio,partial_fill_count,zero_fill_count,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99
capacity_100000_part_100bp_slip_5bp,100000,0.01,5,0.9238565982520663,115,0,465,115,0,0,0,0.005080519027543372,0.01,0.010000000000000002
capacity_100000_part_100bp_slip_10bp,100000,0.01,10,0.9238565982520663,115,0,465,115,0,0,0,0.005080519027543372,0.01,0.010000000000000002
capacity_100000_part_100bp_slip_15bp,100000,0.01,15,0.9238565982520663,115,0,465,115,0,0,0,0.005080519027543372,0.01,0.010000000000000002
capacity_100000_part_100bp_slip_20bp,100000,0.01,20,0.9238565982520663,115,0,465,115,0,0,0,0.005080519027543372,0.01,0.010000000000000002
capacity_100000_part_300bp_slip_5bp,100000,0.03,5,0.992943482631711,14,0,566,14,0,0,0,0.005080519027543372,0.015271386012349815,0.03
capacity_100000_part_300bp_slip_10bp,100000,0.03,10,0.992943482631711,14,0,566,14,0,0,0,0.005080519027543372,0.015271386012349815,0.03
capacity_100000_part_300bp_slip_15bp,100000,0.03,15,0.992943482631711,14,0,566,14,0,0,0,0.005080519027543372,0.015271386012349815,0.03
capacity_100000_part_300bp_slip_20bp,100000,0.03,20,0.992943482631711,14,0,566,14,0,0,0,0.005080519027543372,0.015271386012349815,0.03
capacity_100000_part_500bp_slip_5bp,100000,0.05,5,0.9980434051724139,4,0,576,4,0,0,0,0.005080519027543372,0.015271386012349815,0.043954333911475366
capacity_100000_part_500bp_slip_10bp,100000,0.05,10,0.9980434051724139,4,0,576,4,0,0,0,0.005080519027543372,0.015271386012349815,0.043954333911475366
capacity_100000_part_500bp_slip_15bp,100000,0.05,15,0.9980434051724139,4,0,576,4,0,0,0,0.005080519027543372,0.015271386012349815,0.043954333911475366
capacity_100000_part_500bp_slip_20bp,100000,0.05,20,0.9980434051724139,4,0,576,4,0,0,0,0.005080519027543372,0.015271386012349815,0.043954333911475366
capacity_100000_part_1000bp_slip_5bp,100000,0.1,5,0.9997220689655172,1,0,579,1,0,0,0,0.005080519027543372,0.015271386012349815,0.043954333911475366
capacity_100000_part_1000bp_slip_10bp,100000,0.1,10,0.9997220689655172,1,0,579,1,0,0,0,0.005080519027543372,0.015271386012349815,0.043954333911475366
capacity_100000_part_1000bp_slip_15bp,100000,0.1,15,0.9997220689655172,1,0,579,1,0,0,0,0.005080519027543372,0.015271386012349815,0.043954333911475366
capacity_100000_part_1000bp_slip_20bp,100000,0.1,20,0.9997220689655172,1,0,579,1,0,0,0,0.005080519027543372,0.015271386012349815,0.043954333911475366
capacity_300000_part_100bp_slip_5bp,300000,0.01,5,0.6606995924936591,367,0,213,367,0,0,0,0.01,0.01,0.010000000000000002
capacity_300000_part_100bp_slip_10bp,300000,0.01,10,0.6606995924936591,367,0,213,367,0,0,0,0.01,0.01,0.010000000000000002
capacity_300000_part_100bp_slip_15bp,300000,0.01,15,0.6606995924936591,367,0,213,367,0,0,0,0.01,0.01,0.010000000000000002
capacity_300000_part_100bp_slip_20bp,300000,0.01,20,0.6606995924936591,367,0,213,367,0,0,0,0.01,0.01,0.010000000000000002
capacity_300000_part_300bp_slip_5bp,300000,0.03,5,0.9238565982520663,115,0,465,115,0,0,0,0.015241557082630116,0.03,0.030000000000000002
capacity_300000_part_300bp_slip_10bp,300000,0.03,10,0.9238565982520663,115,0,465,115,0,0,0,0.015241557082630116,0.03,0.030000000000000002
capacity_300000_part_300bp_slip_15bp,300000,0.03,15,0.9238565982520663,115,0,465,115,0,0,0,0.015241557082630116,0.03,0.030000000000000002
capacity_300000_part_300bp_slip_20bp,300000,0.03,20,0.9238565982520663,115,0,465,115,0,0,0,0.015241557082630116,0.03,0.030000000000000002
capacity_300000_part_500bp_slip_5bp,300000,0.05,5,0.9705161268099538,53,0,527,53,0,0,0,0.015241557082630116,0.04581415803704945,0.05000000000000001
capacity_300000_part_500bp_slip_10bp,300000,0.05,10,0.9705161268099538,53,0,527,53,0,0,0,0.015241557082630116,0.04581415803704945,0.05000000000000001
capacity_300000_part_500bp_slip_15bp,300000,0.05,15,0.9705161268099538,53,0,527,53,0,0,0,0.015241557082630116,0.04581415803704945,0.05000000000000001
capacity_300000_part_500bp_slip_20bp,300000,0.05,20,0.9705161268099538,53,0,527,53,0,0,0,0.015241557082630116,0.04581415803704945,0.05000000000000001
capacity_300000_part_1000bp_slip_5bp,300000,0.1,5,0.9945489205171298,11,0,569,11,0,0,0,0.015241557082630116,0.04581415803704945,0.1
capacity_300000_part_1000bp_slip_10bp,300000,0.1,10,0.9945489205171298,11,0,569,11,0,0,0,0.015241557082630116,0.04581415803704945,0.1
capacity_300000_part_1000bp_slip_15bp,300000,0.1,15,0.9945489205171298,11,0,569,11,0,0,0,0.015241557082630116,0.04581415803704945,0.1
capacity_300000_part_1000bp_slip_20bp,300000,0.1,20,0.9945489205171298,11,0,569,11,0,0,0,0.015241557082630116,0.04581415803704945,0.1
capacity_500000_part_100bp_slip_5bp,500000,0.01,5,0.517958697267043,426,0,154,426,0,0,0,0.01,0.01,0.010000000000000002
capacity_500000_part_100bp_slip_10bp,500000,0.01,10,0.517958697267043,426,0,154,426,0,0,0,0.01,0.01,0.010000000000000002
capacity_500000_part_100bp_slip_15bp,500000,0.01,15,0.517958697267043,426,0,154,426,0,0,0,0.01,0.01,0.010000000000000002
capacity_500000_part_100bp_slip_20bp,500000,0.01,20,0.517958697267043,426,0,154,426,0,0,0,0.01,0.01,0.010000000000000002
capacity_500000_part_300bp_slip_5bp,500000,0.03,5,0.8288435285436911,245,0,335,245,0,0,0,0.02540259513771686,0.03,0.030000000000000002
capacity_500000_part_300bp_slip_10bp,500000,0.03,10,0.8288435285436911,245,0,335,245,0,0,0,0.02540259513771686,0.03,0.030000000000000002
capacity_500000_part_300bp_slip_15bp,500000,0.03,15,0.8288435285436911,245,0,335,245,0,0,0,0.02540259513771686,0.03,0.030000000000000002
capacity_500000_part_300bp_slip_20bp,500000,0.03,20,0.8288435285436911,245,0,335,245,0,0,0,0.02540259513771686,0.03,0.030000000000000002
capacity_500000_part_500bp_slip_5bp,500000,0.05,5,0.9238565982520663,115,0,465,115,0,0,0,0.02540259513771686,0.05,0.05000000000000001
capacity_500000_part_500bp_slip_10bp,500000,0.05,10,0.9238565982520663,115,0,465,115,0,0,0,0.02540259513771686,0.05,0.05000000000000001
capacity_500000_part_500bp_slip_15bp,500000,0.05,15,0.9238565982520663,115,0,465,115,0,0,0,0.02540259513771686,0.05,0.05000000000000001
capacity_500000_part_500bp_slip_20bp,500000,0.05,20,0.9238565982520663,115,0,465,115,0,0,0,0.02540259513771686,0.05,0.05000000000000001
capacity_500000_part_1000bp_slip_5bp,500000,0.1,5,0.9807426792244083,37,0,543,37,0,0,0,0.02540259513771686,0.07635693006174908,0.10000000000000002
capacity_500000_part_1000bp_slip_10bp,500000,0.1,10,0.9807426792244083,37,0,543,37,0,0,0,0.02540259513771686,0.07635693006174908,0.10000000000000002
capacity_500000_part_1000bp_slip_15bp,500000,0.1,15,0.9807426792244083,37,0,543,37,0,0,0,0.02540259513771686,0.07635693006174908,0.10000000000000002
capacity_500000_part_1000bp_slip_20bp,500000,0.1,20,0.9807426792244083,37,0,543,37,0,0,0,0.02540259513771686,0.07635693006174908,0.10000000000000002
capacity_1000000_part_100bp_slip_5bp,1000000,0.01,5,0.36126856677879476,483,0,97,483,0,0,0,0.01,0.01,0.010000000000000002
capacity_1000000_part_100bp_slip_10bp,1000000,0.01,10,0.36126856677879476,483,0,97,483,0,0,0,0.01,0.01,0.010000000000000002
capacity_1000000_part_100bp_slip_15bp,1000000,0.01,15,0.36126856677879476,483,0,97,483,0,0,0,0.01,0.01,0.010000000000000002
