unfilled_reason,rows,scenario_id,capital,participation_cap,slippage_bp
filled,465,capacity_100000_part_100bp_slip_5bp,100000,0.01,5
partial_fill_capacity,115,capacity_100000_part_100bp_slip_5bp,100000,0.01,5
filled,465,capacity_100000_part_100bp_slip_10bp,100000,0.01,10
partial_fill_capacity,115,capacity_100000_part_100bp_slip_10bp,100000,0.01,10
filled,465,capacity_100000_part_100bp_slip_15bp,100000,0.01,15
partial_fill_capacity,115,capacity_100000_part_100bp_slip_15bp,100000,0.01,15
filled,465,capacity_100000_part_100bp_slip_20bp,100000,0.01,20
partial_fill_capacity,115,capacity_100000_part_100bp_slip_20bp,100000,0.01,20
filled,566,capacity_100000_part_300bp_slip_5bp,100000,0.03,5
partial_fill_capacity,14,capacity_100000_part_300bp_slip_5bp,100000,0.03,5
filled,566,capacity_100000_part_300bp_slip_10bp,100000,0.03,10
partial_fill_capacity,14,capacity_100000_part_300bp_slip_10bp,100000,0.03,10
filled,566,capacity_100000_part_300bp_slip_15bp,100000,0.03,15
partial_fill_capacity,14,capacity_100000_part_300bp_slip_15bp,100000,0.03,15
filled,566,capacity_100000_part_300bp_slip_20bp,100000,0.03,20
partial_fill_capacity,14,capacity_100000_part_300bp_slip_20bp,100000,0.03,20
filled,576,capacity_100000_part_500bp_slip_5bp,100000,0.05,5
partial_fill_capacity,4,capacity_100000_part_500bp_slip_5bp,100000,0.05,5
filled,576,capacity_100000_part_500bp_slip_10bp,100000,0.05,10
partial_fill_capacity,4,capacity_100000_part_500bp_slip_10bp,100000,0.05,10
filled,576,capacity_100000_part_500bp_slip_15bp,100000,0.05,15
partial_fill_capacity,4,capacity_100000_part_500bp_slip_15bp,100000,0.05,15
filled,576,capacity_100000_part_500bp_slip_20bp,100000,0.05,20
partial_fill_capacity,4,capacity_100000_part_500bp_slip_20bp,100000,0.05,20
filled,579,capacity_100000_part_1000bp_slip_5bp,100000,0.1,5
partial_fill_capacity,1,capacity_100000_part_1000bp_slip_5bp,100000,0.1,5
filled,579,capacity_100000_part_1000bp_slip_10bp,100000,0.1,10
partial_fill_capacity,1,capacity_100000_part_1000bp_slip_10bp,100000,0.1,10
filled,579,capacity_100000_part_1000bp_slip_15bp,100000,0.1,15
partial_fill_capacity,1,capacity_100000_part_1000bp_slip_15bp,100000,0.1,15
filled,579,capacity_100000_part_1000bp_slip_20bp,100000,0.1,20
partial_fill_capacity,1,capacity_100000_part_1000bp_slip_20bp,100000,0.1,20
filled,213,capacity_300000_part_100bp_slip_5bp,300000,0.01,5
partial_fill_capacity,367,capacity_300000_part_100bp_slip_5bp,300000,0.01,5
filled,213,capacity_300000_part_100bp_slip_10bp,300000,0.01,10
partial_fill_capacity,367,capacity_300000_part_100bp_slip_10bp,300000,0.01,10
filled,213,capacity_300000_part_100bp_slip_15bp,300000,0.01,15
partial_fill_capacity,367,capacity_300000_part_100bp_slip_15bp,300000,0.01,15
filled,213,capacity_300000_part_100bp_slip_20bp,300000,0.01,20
partial_fill_capacity,367,capacity_300000_part_100bp_slip_20bp,300000,0.01,20
filled,465,capacity_300000_part_300bp_slip_5bp,300000,0.03,5
partial_fill_capacity,115,capacity_300000_part_300bp_slip_5bp,300000,0.03,5
filled,465,capacity_300000_part_300bp_slip_10bp,300000,0.03,10
partial_fill_capacity,115,capacity_300000_part_300bp_slip_10bp,300000,0.03,10
filled,465,capacity_300000_part_300bp_slip_15bp,300000,0.03,15
partial_fill_capacity,115,capacity_300000_part_300bp_slip_15bp,300000,0.03,15
filled,465,capacity_300000_part_300bp_slip_20bp,300000,0.03,20
partial_fill_capacity,115,capacity_300000_part_300bp_slip_20bp,300000,0.03,20
filled,527,capacity_300000_part_500bp_slip_5bp,300000,0.05,5
partial_fill_capacity,53,capacity_300000_part_500bp_slip_5bp,300000,0.05,5
filled,527,capacity_300000_part_500bp_slip_10bp,300000,0.05,10
partial_fill_capacity,53,capacity_300000_part_500bp_slip_10bp,300000,0.05,10
filled,527,capacity_300000_part_500bp_slip_15bp,300000,0.05,15
partial_fill_capacity,53,capacity_300000_part_500bp_slip_15bp,300000,0.05,15
filled,527,capacity_300000_part_500bp_slip_20bp,300000,0.05,20
partial_fill_capacity,53,capacity_300000_part_500bp_slip_20bp,300000,0.05,20
filled,569,capacity_300000_part_1000bp_slip_5bp,300000,0.1,5
partial_fill_capacity,11,capacity_300000_part_1000bp_slip_5bp,300000,0.1,5
filled,569,capacity_300000_part_1000bp_slip_10bp,300000,0.1,10
partial_fill_capacity,11,capacity_300000_part_1000bp_slip_10bp,300000,0.1,10
filled,569,capacity_300000_part_1000bp_slip_15bp,300000,0.1,15
partial_fill_capacity,11,capacity_300000_part_1000bp_slip_15bp,300000,0.1,15
filled,569,capacity_300000_part_1000bp_slip_20bp,300000,0.1,20
partial_fill_capacity,11,capacity_300000_part_1000bp_slip_20bp,300000,0.1,20
filled,154,capacity_500000_part_100bp_slip_5bp,500000,0.01,5
partial_fill_capacity,426,capacity_500000_part_100bp_slip_5bp,500000,0.01,5
filled,154,capacity_500000_part_100bp_slip_10bp,500000,0.01,10
partial_fill_capacity,426,capacity_500000_part_100bp_slip_10bp,500000,0.01,10
filled,154,capacity_500000_part_100bp_slip_15bp,500000,0.01,15
partial_fill_capacity,426,capacity_500000_part_100bp_slip_15bp,500000,0.01,15
filled,154,capacity_500000_part_100bp_slip_20bp,500000,0.01,20
partial_fill_capacity,426,capacity_500000_part_100bp_slip_20bp,500000,0.01,20
filled,335,capacity_500000_part_300bp_slip_5bp,500000,0.03,5
partial_fill_capacity,245,capacity_500000_part_300bp_slip_5bp,500000,0.03,5
filled,335,capacity_500000_part_300bp_slip_10bp,500000,0.03,10
partial_fill_capacity,245,capacity_500000_part_300bp_slip_10bp,500000,0.03,10
filled,335,capacity_500000_part_300bp_slip_15bp,500000,0.03,15
partial_fill_capacity,245,capacity_500000_part_300bp_slip_15bp,500000,0.03,15
filled,335,capacity_500000_part_300bp_slip_20bp,500000,0.03,20
partial_fill_capacity,245,capacity_500000_part_300bp_slip_20bp,500000,0.03,20
filled,465,capacity_500000_part_500bp_slip_5bp,500000,0.05,5
partial_fill_capacity,115,capacity_500000_part_500bp_slip_5bp,500000,0.05,5
filled,465,capacity_500000_part_500bp_slip_10bp,500000,0.05,10
partial_fill_capacity,115,capacity_500000_part_500bp_slip_10bp,500000,0.05,10
filled,465,capacity_500000_part_500bp_slip_15bp,500000,0.05,15
partial_fill_capacity,115,capacity_500000_part_500bp_slip_15bp,500000,0.05,15
filled,465,capacity_500000_part_500bp_slip_20bp,500000,0.05,20
partial_fill_capacity,115,capacity_500000_part_500bp_slip_20bp,500000,0.05,20
filled,543,capacity_500000_part_1000bp_slip_5bp,500000,0.1,5
partial_fill_capacity,37,capacity_500000_part_1000bp_slip_5bp,500000,0.1,5
filled,543,capacity_500000_part_1000bp_slip_10bp,500000,0.1,10
partial_fill_capacity,37,capacity_500000_part_1000bp_slip_10bp,500000,0.1,10
filled,543,capacity_500000_part_1000bp_slip_15bp,500000,0.1,15
partial_fill_capacity,37,capacity_500000_part_1000bp_slip_15bp,500000,0.1,15
filled,543,capacity_500000_part_1000bp_slip_20bp,500000,0.1,20
partial_fill_capacity,37,capacity_500000_part_1000bp_slip_20bp,500000,0.1,20
filled,97,capacity_1000000_part_100bp_slip_5bp,1000000,0.01,5
partial_fill_capacity,483,capacity_1000000_part_100bp_slip_5bp,1000000,0.01,5
filled,97,capacity_1000000_part_100bp_slip_10bp,1000000,0.01,10
partial_fill_capacity,483,capacity_1000000_part_100bp_slip_10bp,1000000,0.01,10
filled,97,capacity_1000000_part_100bp_slip_15bp,1000000,0.01,15
partial_fill_capacity,483,capacity_1000000_part_100bp_slip_15bp,1000000,0.01,15
filled,97,capacity_1000000_part_100bp_slip_20bp,1000000,0.01,20
partial_fill_capacity,483,capacity_1000000_part_100bp_slip_20bp,1000000,0.01,20
filled,194,capacity_1000000_part_300bp_slip_5bp,1000000,0.03,5
partial_fill_capacity,386,capacity_1000000_part_300bp_slip_5bp,1000000,0.03,5
filled,194,capacity_1000000_part_300bp_slip_10bp,1000000,0.03,10
partial_fill_capacity,386,capacity_1000000_part_300bp_slip_10bp,1000000,0.03,10
filled,194,capacity_1000000_part_300bp_slip_15bp,1000000,0.03,15
partial_fill_capacity,386,capacity_1000000_part_300bp_slip_15bp,1000000,0.03,15
filled,194,capacity_1000000_part_300bp_slip_20bp,1000000,0.03,20
partial_fill_capacity,386,capacity_1000000_part_300bp_slip_20bp,1000000,0.03,20
filled,285,capacity_1000000_part_500bp_slip_5bp,1000000,0.05,5
partial_fill_capacity,295,capacity_1000000_part_500bp_slip_5bp,1000000,0.05,5
filled,285,capacity_1000000_part_500bp_slip_10bp,1000000,0.05,10
