trade_date,universe_id,stock_count,new_vs_prev_day,retained_vs_prev_day,removed_vs_prev_day
20260224,U0_static_top3000_v7,2893,2893,0,0
20260225,U0_static_top3000_v7,2933,81,2852,41
20260226,U0_static_top3000_v7,2936,50,2886,47
20260227,U0_static_top3000_v7,2937,46,2891,45
20260302,U0_static_top3000_v7,2911,40,2871,66
20260303,U0_static_top3000_v7,2872,48,2824,87
20260304,U0_static_top3000_v7,2951,115,2836,36
20260305,U0_static_top3000_v7,2938,32,2906,45
20260306,U0_static_top3000_v7,2939,49,2890,48
20260309,U0_static_top3000_v7,2958,49,2909,30
20260310,U0_static_top3000_v7,2948,32,2916,42
20260311,U0_static_top3000_v7,2959,44,2915,33
20260312,U0_static_top3000_v7,2958,33,2925,34
20260313,U0_static_top3000_v7,2947,33,2914,44
20260316,U0_static_top3000_v7,2954,40,2914,33
20260317,U0_static_top3000_v7,2966,39,2927,27
20260318,U0_static_top3000_v7,2957,27,2930,36
20260319,U0_static_top3000_v7,2973,37,2936,21
20260320,U0_static_top3000_v7,2974,21,2953,20
20260323,U0_static_top3000_v7,2905,16,2889,85
20260324,U0_static_top3000_v7,2947,88,2859,46
20260325,U0_static_top3000_v7,2945,40,2905,42
20260326,U0_static_top3000_v7,2964,44,2920,25
20260327,U0_static_top3000_v7,2934,21,2913,51
20260330,U0_static_top3000_v7,2943,47,2896,38
20260331,U0_static_top3000_v7,2957,44,2913,30
20260401,U0_static_top3000_v7,2952,31,2921,36
20260402,U0_static_top3000_v7,2966,36,2930,22
20260403,U0_static_top3000_v7,2947,21,2926,40
20260407,U0_static_top3000_v7,2933,39,2894,53
20260408,U0_static_top3000_v7,2883,51,2832,101
20260409,U0_static_top3000_v7,2952,101,2851,32
20260410,U0_static_top3000_v7,2954,32,2922,30
20260413,U0_static_top3000_v7,2953,37,2916,38
20260414,U0_static_top3000_v7,2958,38,2920,33
20260415,U0_static_top3000_v7,2949,28,2921,37
20260416,U0_static_top3000_v7,2942,41,2901,48
20260417,U0_static_top3000_v7,2945,46,2899,43
20260420,U0_static_top3000_v7,2936,38,2898,47
20260421,U0_static_top3000_v7,2956,48,2908,28
20260422,U0_static_top3000_v7,2944,28,2916,40
20260423,U0_static_top3000_v7,2945,41,2904,40
20260424,U0_static_top3000_v7,2944,42,2902,43
20260427,U0_static_top3000_v7,2928,41,2887,57
20260428,U0_static_top3000_v7,2943,58,2885,43
20260429,U0_static_top3000_v7,2909,44,2865,78
20260430,U0_static_top3000_v7,2930,72,2858,51
20260506,U0_static_top3000_v7,2908,52,2856,74
20260507,U0_static_top3000_v7,2919,74,2845,63
20260508,U0_static_top3000_v7,2934,65,2869,50
20260511,U0_static_top3000_v7,2926,51,2875,59
20260512,U0_static_top3000_v7,2952,61,2891,35
20260513,U0_static_top3000_v7,2921,36,2885,67
20260514,U0_static_top3000_v7,2948,67,2881,40
20260515,U0_static_top3000_v7,2949,39,2910,38
20260518,U0_static_top3000_v7,2923,37,2886,63
20260519,U0_static_top3000_v7,2922,55,2867,56
20260520,U0_static_top3000_v7,2935,61,2874,48
20260224,U1_internal_roll_top3000_60d,2893,2893,0,0
20260225,U1_internal_roll_top3000_60d,2933,81,2852,41
20260226,U1_internal_roll_top3000_60d,2936,50,2886,47
20260227,U1_internal_roll_top3000_60d,2937,46,2891,45
20260302,U1_internal_roll_top3000_60d,2911,40,2871,66
20260303,U1_internal_roll_top3000_60d,2872,48,2824,87
20260304,U1_internal_roll_top3000_60d,2951,115,2836,36
20260305,U1_internal_roll_top3000_60d,2938,32,2906,45
20260306,U1_internal_roll_top3000_60d,2939,49,2890,48
20260309,U1_internal_roll_top3000_60d,2958,49,2909,30
20260310,U1_internal_roll_top3000_60d,2948,32,2916,42
20260311,U1_internal_roll_top3000_60d,2959,44,2915,33
20260312,U1_internal_roll_top3000_60d,2958,33,2925,34
20260313,U1_internal_roll_top3000_60d,2947,33,2914,44
20260316,U1_internal_roll_top3000_60d,2954,40,2914,33
20260317,U1_internal_roll_top3000_60d,2966,39,2927,27
20260318,U1_internal_roll_top3000_60d,2957,27,2930,36
20260319,U1_internal_roll_top3000_60d,2973,37,2936,21
20260320,U1_internal_roll_top3000_60d,2974,21,2953,20
20260323,U1_internal_roll_top3000_60d,2905,16,2889,85
20260324,U1_internal_roll_top3000_60d,2947,88,2859,46
20260325,U1_internal_roll_top3000_60d,2945,40,2905,42
20260326,U1_internal_roll_top3000_60d,2964,44,2920,25
20260327,U1_internal_roll_top3000_60d,2934,21,2913,51
20260330,U1_internal_roll_top3000_60d,2943,47,2896,38
20260331,U1_internal_roll_top3000_60d,2957,44,2913,30
20260401,U1_internal_roll_top3000_60d,2952,31,2921,36
20260402,U1_internal_roll_top3000_60d,2966,36,2930,22
20260403,U1_internal_roll_top3000_60d,2947,21,2926,40
20260407,U1_internal_roll_top3000_60d,2933,39,2894,53
20260408,U1_internal_roll_top3000_60d,2883,51,2832,101
20260409,U1_internal_roll_top3000_60d,2952,101,2851,32
20260410,U1_internal_roll_top3000_60d,2954,32,2922,30
20260413,U1_internal_roll_top3000_60d,2953,37,2916,38
20260414,U1_internal_roll_top3000_60d,2958,38,2920,33
20260415,U1_internal_roll_top3000_60d,2949,28,2921,37
20260416,U1_internal_roll_top3000_60d,2942,41,2901,48
20260417,U1_internal_roll_top3000_60d,2945,46,2899,43
20260420,U1_internal_roll_top3000_60d,2936,38,2898,47
