trade_date,universe_id,u0_count,universe_count,intersection_with_u0,overlap_ratio_vs_u0,removed_from_u0_count
20260224,U0_static_top3000_v7,2893,2893,2893,1.0,0
20260225,U0_static_top3000_v7,2933,2933,2933,1.0,0
20260226,U0_static_top3000_v7,2936,2936,2936,1.0,0
20260227,U0_static_top3000_v7,2937,2937,2937,1.0,0
20260302,U0_static_top3000_v7,2911,2911,2911,1.0,0
20260303,U0_static_top3000_v7,2872,2872,2872,1.0,0
20260304,U0_static_top3000_v7,2951,2951,2951,1.0,0
20260305,U0_static_top3000_v7,2938,2938,2938,1.0,0
20260306,U0_static_top3000_v7,2939,2939,2939,1.0,0
20260309,U0_static_top3000_v7,2958,2958,2958,1.0,0
20260310,U0_static_top3000_v7,2948,2948,2948,1.0,0
20260311,U0_static_top3000_v7,2959,2959,2959,1.0,0
20260312,U0_static_top3000_v7,2958,2958,2958,1.0,0
20260313,U0_static_top3000_v7,2947,2947,2947,1.0,0
20260316,U0_static_top3000_v7,2954,2954,2954,1.0,0
20260317,U0_static_top3000_v7,2966,2966,2966,1.0,0
20260318,U0_static_top3000_v7,2957,2957,2957,1.0,0
20260319,U0_static_top3000_v7,2973,2973,2973,1.0,0
20260320,U0_static_top3000_v7,2974,2974,2974,1.0,0
20260323,U0_static_top3000_v7,2905,2905,2905,1.0,0
20260324,U0_static_top3000_v7,2947,2947,2947,1.0,0
20260325,U0_static_top3000_v7,2945,2945,2945,1.0,0
20260326,U0_static_top3000_v7,2964,2964,2964,1.0,0
20260327,U0_static_top3000_v7,2934,2934,2934,1.0,0
20260330,U0_static_top3000_v7,2943,2943,2943,1.0,0
20260331,U0_static_top3000_v7,2957,2957,2957,1.0,0
20260401,U0_static_top3000_v7,2952,2952,2952,1.0,0
20260402,U0_static_top3000_v7,2966,2966,2966,1.0,0
20260403,U0_static_top3000_v7,2947,2947,2947,1.0,0
20260407,U0_static_top3000_v7,2933,2933,2933,1.0,0
20260408,U0_static_top3000_v7,2883,2883,2883,1.0,0
20260409,U0_static_top3000_v7,2952,2952,2952,1.0,0
20260410,U0_static_top3000_v7,2954,2954,2954,1.0,0
20260413,U0_static_top3000_v7,2953,2953,2953,1.0,0
20260414,U0_static_top3000_v7,2958,2958,2958,1.0,0
20260415,U0_static_top3000_v7,2949,2949,2949,1.0,0
20260416,U0_static_top3000_v7,2942,2942,2942,1.0,0
20260417,U0_static_top3000_v7,2945,2945,2945,1.0,0
20260420,U0_static_top3000_v7,2936,2936,2936,1.0,0
20260421,U0_static_top3000_v7,2956,2956,2956,1.0,0
20260422,U0_static_top3000_v7,2944,2944,2944,1.0,0
20260423,U0_static_top3000_v7,2945,2945,2945,1.0,0
20260424,U0_static_top3000_v7,2944,2944,2944,1.0,0
20260427,U0_static_top3000_v7,2928,2928,2928,1.0,0
20260428,U0_static_top3000_v7,2943,2943,2943,1.0,0
20260429,U0_static_top3000_v7,2909,2909,2909,1.0,0
20260430,U0_static_top3000_v7,2930,2930,2930,1.0,0
20260506,U0_static_top3000_v7,2908,2908,2908,1.0,0
20260507,U0_static_top3000_v7,2919,2919,2919,1.0,0
20260508,U0_static_top3000_v7,2934,2934,2934,1.0,0
20260511,U0_static_top3000_v7,2926,2926,2926,1.0,0
20260512,U0_static_top3000_v7,2952,2952,2952,1.0,0
20260513,U0_static_top3000_v7,2921,2921,2921,1.0,0
20260514,U0_static_top3000_v7,2948,2948,2948,1.0,0
20260515,U0_static_top3000_v7,2949,2949,2949,1.0,0
20260518,U0_static_top3000_v7,2923,2923,2923,1.0,0
20260519,U0_static_top3000_v7,2922,2922,2922,1.0,0
20260520,U0_static_top3000_v7,2935,2935,2935,1.0,0
20260224,U1_internal_roll_top3000_60d,2893,2893,2893,1.0,0
20260225,U1_internal_roll_top3000_60d,2933,2933,2933,1.0,0
20260226,U1_internal_roll_top3000_60d,2936,2936,2936,1.0,0
20260227,U1_internal_roll_top3000_60d,2937,2937,2937,1.0,0
20260302,U1_internal_roll_top3000_60d,2911,2911,2911,1.0,0
20260303,U1_internal_roll_top3000_60d,2872,2872,2872,1.0,0
20260304,U1_internal_roll_top3000_60d,2951,2951,2951,1.0,0
20260305,U1_internal_roll_top3000_60d,2938,2938,2938,1.0,0
20260306,U1_internal_roll_top3000_60d,2939,2939,2939,1.0,0
20260309,U1_internal_roll_top3000_60d,2958,2958,2958,1.0,0
20260310,U1_internal_roll_top3000_60d,2948,2948,2948,1.0,0
20260311,U1_internal_roll_top3000_60d,2959,2959,2959,1.0,0
20260312,U1_internal_roll_top3000_60d,2958,2958,2958,1.0,0
20260313,U1_internal_roll_top3000_60d,2947,2947,2947,1.0,0
20260316,U1_internal_roll_top3000_60d,2954,2954,2954,1.0,0
20260317,U1_internal_roll_top3000_60d,2966,2966,2966,1.0,0
20260318,U1_internal_roll_top3000_60d,2957,2957,2957,1.0,0
20260319,U1_internal_roll_top3000_60d,2973,2973,2973,1.0,0
20260320,U1_internal_roll_top3000_60d,2974,2974,2974,1.0,0
20260323,U1_internal_roll_top3000_60d,2905,2905,2905,1.0,0
20260324,U1_internal_roll_top3000_60d,2947,2947,2947,1.0,0
20260325,U1_internal_roll_top3000_60d,2945,2945,2945,1.0,0
20260326,U1_internal_roll_top3000_60d,2964,2964,2964,1.0,0
20260327,U1_internal_roll_top3000_60d,2934,2934,2934,1.0,0
20260330,U1_internal_roll_top3000_60d,2943,2943,2943,1.0,0
20260331,U1_internal_roll_top3000_60d,2957,2957,2957,1.0,0
20260401,U1_internal_roll_top3000_60d,2952,2952,2952,1.0,0
20260402,U1_internal_roll_top3000_60d,2966,2966,2966,1.0,0
20260403,U1_internal_roll_top3000_60d,2947,2947,2947,1.0,0
20260407,U1_internal_roll_top3000_60d,2933,2933,2933,1.0,0
20260408,U1_internal_roll_top3000_60d,2883,2883,2883,1.0,0
20260409,U1_internal_roll_top3000_60d,2952,2952,2952,1.0,0
20260410,U1_internal_roll_top3000_60d,2954,2954,2954,1.0,0
20260413,U1_internal_roll_top3000_60d,2953,2953,2953,1.0,0
20260414,U1_internal_roll_top3000_60d,2958,2958,2958,1.0,0
20260415,U1_internal_roll_top3000_60d,2949,2949,2949,1.0,0
20260416,U1_internal_roll_top3000_60d,2942,2942,2942,1.0,0
20260417,U1_internal_roll_top3000_60d,2945,2945,2945,1.0,0
20260420,U1_internal_roll_top3000_60d,2936,2936,2936,1.0,0
20260421,U1_internal_roll_top3000_60d,2956,2956,2956,1.0,0
20260422,U1_internal_roll_top3000_60d,2944,2944,2944,1.0,0
20260423,U1_internal_roll_top3000_60d,2945,2945,2945,1.0,0
20260424,U1_internal_roll_top3000_60d,2944,2944,2944,1.0,0
20260427,U1_internal_roll_top3000_60d,2928,2928,2928,1.0,0
20260428,U1_internal_roll_top3000_60d,2943,2943,2943,1.0,0
20260429,U1_internal_roll_top3000_60d,2909,2909,2909,1.0,0
20260430,U1_internal_roll_top3000_60d,2930,2930,2930,1.0,0
