trade_date,universe_id,v7_top10_count,retained_count,removed_count,retention_ratio,removed_codes
20260224,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260225,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260226,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260227,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260302,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260303,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260304,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260305,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260306,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260309,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260310,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260311,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260312,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260313,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260316,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260317,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260318,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260319,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260320,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260323,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260324,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260325,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260326,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260327,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260330,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260331,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260401,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260402,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260403,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260407,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260408,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260409,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260410,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260413,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260414,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260415,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260416,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260417,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260420,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260421,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260422,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260423,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260424,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260427,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260428,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260429,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260430,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260506,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260507,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260508,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260511,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260512,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260513,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260514,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260515,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260518,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260519,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260520,U1_internal_roll_top3000_60d,10,10,0,1.0,
20260224,U2_internal_roll_top2500_60d,10,5,5,0.5,"000850.SZ,002647.SZ,601089.SH,603222.SH,605288.SH"
20260225,U2_internal_roll_top2500_60d,10,8,2,0.8,"301067.SZ,301162.SZ"
20260226,U2_internal_roll_top2500_60d,10,9,1,0.9,601089.SH
20260227,U2_internal_roll_top2500_60d,10,9,1,0.9,002718.SZ
20260302,U2_internal_roll_top2500_60d,10,9,1,0.9,300991.SZ
20260303,U2_internal_roll_top2500_60d,10,5,5,0.5,"002443.SZ,600272.SH,603777.SH,605108.SH,605288.SH"
20260304,U2_internal_roll_top2500_60d,10,7,3,0.7,"300689.SZ,600173.SH,603726.SH"
20260305,U2_internal_roll_top2500_60d,10,3,7,0.3,"300588.SZ,300947.SZ,301001.SZ,301333.SZ,301367.SZ,600173.SH,688651.SH"
20260306,U2_internal_roll_top2500_60d,10,6,4,0.6,"301043.SZ,688081.SH,688651.SH,688716.SH"
20260309,U2_internal_roll_top2500_60d,10,6,4,0.6,"001221.SZ,301043.SZ,301189.SZ,600429.SH"
20260310,U2_internal_roll_top2500_60d,10,4,6,0.4,"002825.SZ,002893.SZ,300546.SZ,300701.SZ,301092.SZ,603680.SH"
20260311,U2_internal_roll_top2500_60d,10,10,0,1.0,
20260312,U2_internal_roll_top2500_60d,10,8,2,0.8,"001288.SZ,301161.SZ"
20260313,U2_internal_roll_top2500_60d,10,7,3,0.7,"300600.SZ,301209.SZ,688478.SH"
20260316,U2_internal_roll_top2500_60d,10,10,0,1.0,
20260317,U2_internal_roll_top2500_60d,10,4,6,0.4,"300293.SZ,300605.SZ,301161.SZ,301380.SZ,688448.SH,688478.SH"
20260318,U2_internal_roll_top2500_60d,10,5,5,0.5,"001288.SZ,301161.SZ,688448.SH,688560.SH,688767.SH"
20260319,U2_internal_roll_top2500_60d,10,6,4,0.6,"002043.SZ,301321.SZ,301398.SZ,301538.SZ"
20260320,U2_internal_roll_top2500_60d,10,2,8,0.2,"002295.SZ,002976.SZ,300521.SZ,301319.SZ,301321.SZ,600191.SH,688716.SH,688767.SH"
20260323,U2_internal_roll_top2500_60d,10,2,8,0.2,"001318.SZ,002098.SZ,002679.SZ,003033.SZ,301019.SZ,603344.SH,605179.SH,605339.SH"
20260324,U2_internal_roll_top2500_60d,10,2,8,0.2,"002098.SZ,300978.SZ,301077.SZ,301567.SZ,600622.SH,605398.SH,688478.SH,688651.SH"
20260325,U2_internal_roll_top2500_60d,10,5,5,0.5,"300478.SZ,301096.SZ,301161.SZ,301181.SZ,605398.SH"
20260326,U2_internal_roll_top2500_60d,10,4,6,0.4,"002513.SZ,300542.SZ,301010.SZ,301321.SZ,688682.SH,688767.SH"
20260327,U2_internal_roll_top2500_60d,10,7,3,0.7,"002983.SZ,003033.SZ,688478.SH"
20260330,U2_internal_roll_top2500_60d,10,8,2,0.8,"001216.SZ,300632.SZ"
20260331,U2_internal_roll_top2500_60d,10,1,9,0.1,"002574.SZ,002712.SZ,300306.SZ,300771.SZ,300862.SZ,300937.SZ,603130.SH,688399.SH,688478.SH"
20260401,U2_internal_roll_top2500_60d,10,4,6,0.4,"002513.SZ,301259.SZ,603355.SH,603815.SH,688448.SH,688651.SH"
20260402,U2_internal_roll_top2500_60d,10,4,6,0.4,"002513.SZ,002836.SZ,300686.SZ,301001.SZ,301067.SZ,301398.SZ"
20260403,U2_internal_roll_top2500_60d,10,1,9,0.1,"003016.SZ,301043.SZ,301067.SZ,301181.SZ,600191.SH,603536.SH,603666.SH,688399.SH,688500.SH"
20260407,U2_internal_roll_top2500_60d,10,8,2,0.8,"301043.SZ,688399.SH"
20260408,U2_internal_roll_top2500_60d,10,9,1,0.9,301067.SZ
20260409,U2_internal_roll_top2500_60d,10,8,2,0.8,"002836.SZ,300640.SZ"
20260410,U2_internal_roll_top2500_60d,10,7,3,0.7,"002836.SZ,301595.SZ,605288.SH"
20260413,U2_internal_roll_top2500_60d,10,9,1,0.9,001288.SZ
20260414,U2_internal_roll_top2500_60d,10,1,9,0.1,"002344.SZ,002614.SZ,300318.SZ,301077.SZ,600272.SH,600778.SH,603708.SH,603726.SH,603999.SH"
20260415,U2_internal_roll_top2500_60d,10,2,8,0.2,"300213.SZ,300350.SZ,603023.SH,603499.SH,603679.SH,605086.SH,605288.SH,688500.SH"
20260416,U2_internal_roll_top2500_60d,10,2,8,0.2,"002295.SZ,002591.SZ,002679.SZ,002836.SZ,002910.SZ,600778.SH,603028.SH,603536.SH"
20260417,U2_internal_roll_top2500_60d,10,9,1,0.9,688386.SH
20260420,U2_internal_roll_top2500_60d,10,6,4,0.6,"002374.SZ,600729.SH,605179.SH,688500.SH"
20260421,U2_internal_roll_top2500_60d,10,10,0,1.0,
20260422,U2_internal_roll_top2500_60d,10,8,2,0.8,"301001.SZ,603726.SH"
20260423,U2_internal_roll_top2500_60d,10,1,9,0.1,"001255.SZ,001266.SZ,002513.SZ,300542.SZ,300946.SZ,300978.SZ,301010.SZ,301567.SZ,688651.SH"
