scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days,group_id,group_type,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99,min_filled_notional_return,sample_count,active_days,no_trade_days,avg_daily_holdings,avg_amount_sofar_1450,avg_tail_1430_1450_amount,max_single_loss_target_return,top_industry,top_industry_count,top_industry_share,industry_hhi,industry_distribution_json,unique_stocks,top_stock,top_stock_count,top_stock_share,stock_hhi,v7_slot_weighted_sum_return_5bp_one_way_slippage,v7_slot_weighted_cumulative_return_5bp_one_way_slippage,v7_slot_weighted_sum_return_10bp_one_way_slippage,v7_slot_weighted_cumulative_return_10bp_one_way_slippage,v7_slot_weighted_sum_return_10bp_slippage_plus_impact,v7_slot_weighted_cumulative_return_10bp_slippage_plus_impact
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.13673531490034407,0.0023649205076230026,0.43962848297213625,0.5862068965517241,-0.05930274931742763,1.1397103887871392,0.543144208037825,323,58,5.568965517241379,1.0,0,0,20260414,0.04790525403756751,20260512,-0.038352691823991036,0.08476917213699875,0.01115223694859968,-0.04341374768251627,323,0,0,0,0,20260430,20260519,11,A1_v7_top10_in_U2,A_keep_drop,0.0,0.0,0.0,-0.0724135121371573,323,58,0,5.568965517241379,532403207.9920123,47497207.79473682,-0.0724135121371573,软件服务,30,0.09287925696594428,0.03934668213056773,"{""软件服务"": 30, ""电气设备"": 24, ""化工原料"": 22, ""专用机械"": 19, ""元器件"": 18, ""半导体"": 18, ""汽车配件"": 17, ""机械基件"": 13, ""医疗保健"": 9, ""环境保护"": 9}",263,001270.SZ,9,0.02786377708978328,0.00518551888736593,0.044358272708921474,0.04297395488903577,0.012021950000276657,0.009800643338720105,0.007552167911453765,0.005298309679083513
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,0.07266456393500698,0.0013628046125394267,0.43653250773993807,0.5172413793103449,-0.06866518703285529,1.0358478064607721,0.543144208037825,323,58,5.568965517241379,1.0,0,0,20260414,0.04685760912289849,20260512,-0.039314100222540616,0.024651829042662277,-0.042972671320052225,-0.0928048176954861,323,0,0,0,0,20260430,20260519,11,A1_v7_top10_in_U2,A_keep_drop,0.0,0.0,0.0,-0.07334086817739194,323,58,0,5.568965517241379,532403207.9920123,47497207.79473682,-0.0724135121371573,软件服务,30,0.09287925696594428,0.03934668213056773,"{""软件服务"": 30, ""电气设备"": 24, ""化工原料"": 22, ""专用机械"": 19, ""元器件"": 18, ""半导体"": 18, ""汽车配件"": 17, ""机械基件"": 13, ""医疗保健"": 9, ""环境保护"": 9}",263,001270.SZ,9,0.02786377708978328,0.00518551888736593,0.044358272708921474,0.04297395488903577,0.012021950000276657,0.009800643338720105,0.007552167911453765,0.005298309679083513
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.06306922419504435,0.001207491088085465,0.43653250773993807,0.5172413793103449,-0.07013401001765451,1.0223623010717215,0.543144208037825,323,58,5.568965517241379,1.0,0,0,20260414,0.046568041140218064,20260512,-0.039387509810122456,0.015766947208561755,-0.05095326494349539,-0.10000864504375229,323,0,0,0,0,20260226,20260320,17,A1_v7_top10_in_U2,A_keep_drop,0.0022590267886691733,0.010146015634920062,0.03132271093474741,-0.073378862732145,323,58,0,5.568965517241379,532403207.9920123,47497207.79473682,-0.0724135121371573,软件服务,30,0.09287925696594428,0.03934668213056773,"{""软件服务"": 30, ""电气设备"": 24, ""化工原料"": 22, ""专用机械"": 19, ""元器件"": 18, ""半导体"": 18, ""汽车配件"": 17, ""机械基件"": 13, ""医疗保健"": 9, ""环境保护"": 9}",263,001270.SZ,9,0.02786377708978328,0.00518551888736593,0.044358272708921474,0.04297395488903577,0.012021950000276657,0.009800643338720105,0.007552167911453765,0.005298309679083513
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.008953812045796594,0.0002596504942405555,0.45525291828793774,0.39655172413793105,-0.07603231206960381,1.0853261936807495,0.5247611865258924,257,58,4.431034482758621,1.0,0,0,20260520,0.04578239412513807,20260320,-0.0332269006242779,-0.03521629574778873,-0.09894114580259528,-0.13652059393768068,257,0,0,0,0,20260409,20260429,15,A2_v7_top10_dropped_by_U2,A_keep_drop,0.0,0.0,0.0,-0.08914158773351832,257,54,4,4.431034482758621,60757102.99202334,6907713.557159532,-0.0891415877335183,软件服务,20,0.07782101167315175,0.03489833305576163,"{""软件服务"": 20, ""元器件"": 16, ""汽车配件"": 15, ""电气设备"": 13, ""医疗保健"": 12, ""广告包装"": 12, ""专用机械"": 11, ""互联网"": 10, ""家用电器"": 9, ""化工原料"": 9}",150,301001.SZ,6,0.023346303501945526,0.009523232751442111,0.015536864972950159,0.014246018264512772,-0.010172283178350377,-0.011489250843486731,-0.016349575450248434,-0.017574068579155
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,-0.04409775427709084,-0.0006714122702645546,0.4357976653696498,0.3620689655172414,-0.09544910846758003,0.94813260636888,0.5247611865258924,257,58,4.431034482758621,1.0,0,0,20260520,0.04473687154298256,20260320,-0.03419343354058649,-0.08503062181472798,-0.1437539790929333,-0.1778213417691391,257,0,0,0,0,20260224,20260512,52,A2_v7_top10_dropped_by_U2,A_keep_drop,0.0,0.0,0.0,-0.09005221985404444,257,54,4,4.431034482758621,60757102.99202334,6907713.557159532,-0.0891415877335183,软件服务,20,0.07782101167315175,0.03489833305576163,"{""软件服务"": 20, ""元器件"": 16, ""汽车配件"": 15, ""电气设备"": 13, ""医疗保健"": 12, ""广告包装"": 12, ""专用机械"": 11, ""互联网"": 10, ""家用电器"": 9, ""化工原料"": 9}",150,301001.SZ,6,0.023346303501945526,0.009523232751442111,0.015536864972950159,0.014246018264512772,-0.010172283178350377,-0.011489250843486731,-0.016349575450248434,-0.017574068579155
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.05563197202311432,-0.0008805908592528912,0.4280155642023346,0.3620689655172414,-0.10510263298889544,0.9180189441771055,0.5247611865258924,257,58,4.431034482758621,1.0,0,0,20260520,0.04461315071570571,20260320,-0.03435188682079185,-0.0959638720517142,-0.15372255822371939,-0.18699854778685954,257,0,0,0,0,20260224,20260512,52,A2_v7_top10_dropped_by_U2,A_keep_drop,0.007290361995634531,0.019443597111419426,0.04648167624699427,-0.09014183482235782,257,54,4,4.431034482758621,60757102.99202334,6907713.557159532,-0.0891415877335183,软件服务,20,0.07782101167315175,0.03489833305576163,"{""软件服务"": 20, ""元器件"": 16, ""汽车配件"": 15, ""电气设备"": 13, ""医疗保健"": 12, ""广告包装"": 12, ""专用机械"": 11, ""互联网"": 10, ""家用电器"": 9, ""化工原料"": 9}",150,301001.SZ,6,0.023346303501945526,0.009523232751442111,0.015536864972950159,0.014246018264512772,-0.010172283178350377,-0.011489250843486731,-0.016349575450248434,-0.017574068579155
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.2834479682043496,0.004587368174011021,0.43455497382198954,0.5,-0.08783002573109167,1.2064086912544787,0.5148148148148148,191,58,3.293103448275862,1.0,0,0,20260429,0.09511520030282283,20260402,-0.05242796039748193,0.17197530255214133,0.06883710767752316,-0.011639796960587478,191,0,0,0,0,20260310,20260402,18,A3_v7_top10_in_U3,A_keep_drop,0.0,0.0,0.0,-0.0724135121371573,191,51,7,3.293103448275862,822945249.5321466,71518711.46335074,-0.0724135121371573,电气设备,20,0.10471204188481675,0.045475727090814426,"{""电气设备"": 20, ""半导体"": 18, ""化工原料"": 14, ""专用机械"": 13, ""软件服务"": 12, ""汽车配件"": 9, ""机械基件"": 8, ""元器件"": 8, ""医疗保健"": 5, ""船舶"": 4}",168,001270.SZ,9,0.04712041884816754,0.008250870316054933,0.04328176634386999,0.042990076255801535,0.024143240494021265,0.023224837350563465,0.022219422741166867,0.021258407647999578
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,0.2196175762515482,0.0037036900546906252,0.4293193717277487,0.4827586206896552,-0.10051459736843738,1.1095634782580963,0.5148148148148148,191,58,3.293103448275862,1.0,0,0,20260429,0.09402035717062773,20260402,-0.053375297024288004,0.11480336563913873,0.01873245480701402,-0.05608545893306627,191,0,0,0,0,20260310,20260402,18,A3_v7_top10_in_U3,A_keep_drop,0.0,0.0,0.0,-0.07334086817739194,191,51,7,3.293103448275862,822945249.5321466,71518711.46335074,-0.0724135121371573,电气设备,20,0.10471204188481675,0.045475727090814426,"{""电气设备"": 20, ""半导体"": 18, ""化工原料"": 14, ""专用机械"": 13, ""软件服务"": 12, ""汽车配件"": 9, ""机械基件"": 8, ""元器件"": 8, ""医疗保健"": 5, ""船舶"": 4}",168,001270.SZ,9,0.04712041884816754,0.008250870316054933,0.04328176634386999,0.042990076255801535,0.024143240494021265,0.023224837350563465,0.022219422741166867,0.021258407647999578
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.21197039081344515,0.003594672897770109,0.4293193717277487,0.4827586206896552,-0.10239983869118807,1.1003689351725896,0.5148148148148148,191,58,3.293103448275862,1.0,0,0,20260429,0.09385402214144478,20260402,-0.053455811306316214,0.10798183878390222,0.012941296263860425,-0.061196739633305075,191,0,0,0,0,20260310,20260402,18,A3_v7_top10_in_U3,A_keep_drop,0.0010936057636523283,0.0063398033139419885,0.02609829282074395,-0.073378862732145,191,51,7,3.293103448275862,822945249.5321466,71518711.46335074,-0.0724135121371573,电气设备,20,0.10471204188481675,0.045475727090814426,"{""电气设备"": 20, ""半导体"": 18, ""化工原料"": 14, ""专用机械"": 13, ""软件服务"": 12, ""汽车配件"": 9, ""机械基件"": 8, ""元器件"": 8, ""医疗保健"": 5, ""船舶"": 4}",168,001270.SZ,9,0.04712041884816754,0.008250870316054933,0.04328176634386999,0.042990076255801535,0.024143240494021265,0.023224837350563465,0.022219422741166867,0.021258407647999578
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,-0.04579419982523536,-0.0007154804546700514,0.4524421593830334,0.46551724137931033,-0.08328315289600019,1.0573072828956074,0.5368239355581128,389,58,6.706896551724138,1.0,0,0,20260407,0.031720929229655276,20260306,-0.037251432515390794,-0.07513187612930206,-0.11598592955429121,-0.14927725271596826,389,0,0,0,0,20260224,20260320,19,A4_v7_top10_dropped_by_U3,A_keep_drop,0.0,0.0,0.0,-0.08914158773351832,389,58,0,6.706896551724138,78144650.35920307,8886392.319768636,-0.0891415877335183,软件服务,38,0.09768637532133675,0.03653822007520436,"{""软件服务"": 38, ""元器件"": 26, ""汽车配件"": 23, ""电气设备"": 17, ""化工原料"": 17, ""专用机械"": 17, ""医疗保健"": 16, ""广告包装"": 16, ""互联网"": 14, ""机械基件"": 12}",238,301001.SZ,7,0.017994858611825194,0.006192134601278079,0.016613371338001677,0.01397044038145867,-0.02229357367209497,-0.024708049113950192,-0.031016830279961535,-0.033175012089727285
