dimension_type,dimension_value,trade_count,cumulative_return_5bp,cumulative_return_10bp,cumulative_return_10bp_impact,mean_trade_return_5bp,mean_trade_return_10bp,mean_trade_return_10bp_impact,decay_5bp_to_10bp_sum,decay_10bp_to_impact_sum,decay_5bp_to_10bp_contribution,decay_10bp_to_impact_contribution,avg_participation
avg_amount_60d,Q1_low,116,0.05275678075599166,0.019593660970379734,0.011668379622124414,0.0006172363861632852,-0.0003831322589897804,-0.0006371347935760851,0.11604276283775561,0.02946429401201134,0.19991699803374607,0.276736059256904,0.010885946180138804
avg_amount_60d,Q2,116,-0.0178539580261019,-0.06014186492496898,-0.06892925945004802,0.0010102979498720786,9.536340806685198e-06,-0.00022084118222126525,0.11608834665158563,0.026723792671242252,0.19999552924928227,0.2509965814630857,0.00995157554919891
avg_amount_60d,Q3,116,-0.13202394150791963,-0.17271268518857064,-0.1803143175234786,-0.0009753799797255099,-0.001974156404178949,-0.00217295594753736,0.11585806523659892,0.023060747029575723,0.1995988033521966,0.21659233558705246,0.00715294764251705
avg_amount_60d,Q4,116,0.1220137165003794,0.07155777723986967,0.06391861075229133,0.0024408645762288984,0.0014386727559440977,0.0012832842304909716,0.11625425115303689,0.018025068952562617,0.20028134741733805,0.16929598067860296,0.005687489930986438
avg_amount_60d,Q5_high,116,0.2221874649075346,0.17896059424145605,0.1748386037454377,0.002070355005553631,0.0010685336027909022,0.0009892504912235101,0.11621128272047654,0.009196840941817497,0.200207321947437,0.08637904301435491,0.0024923885845136305
amount_sofar_1450,Q1_low,116,-0.05408813800697787,-0.08296870935730538,-0.0906383146822145,-0.0010324872478795365,-0.002031206579252418,-0.0023023723067753243,0.11585144243925427,0.03145522439265713,0.19958739368104306,0.29543537808565856,0.012234182983548647
amount_sofar_1450,Q2,116,0.00041695341139069697,-0.035931033029385384,-0.04391372669142479,0.0029065284067034546,0.0019038710382767213,0.0016748171442674954,0.11630825473750106,0.026570251705070214,0.20037438410678876,0.2495544860951931,0.009012612706616128
amount_sofar_1450,Q3,116,0.057504779692471475,0.01602919690057303,0.007599912778944562,0.0016586095431851105,0.0006571997835915624,0.0004490169671566597,0.11616353211285158,0.02414920670644871,0.20012505780706993,0.22681542260604162,0.008511889199684295
amount_sofar_1450,Q4,116,-0.07844688759046559,-0.10926064273290403,-0.11322200742528332,9.581704803110204e-05,-0.0009040303073241547,-0.00103162290038816,0.11598229322120979,0.014800740795424594,0.19981282174634593,0.13901227974914224,0.0028889259910356985
amount_sofar_1450,Q5_high,116,0.2219978278384045,0.17642187291007438,0.17219091110829465,0.0015349061880522525,0.0005336201010812449,0.00045176389411910026,0.11614918608863689,0.009495320007608776,0.20010034265875232,0.08918243346396448,0.003522737006470061
tail_1430_1450_amount,Q1_low,116,0.16106400614068783,0.11999897719090846,0.10933200018814815,0.003783650151021909,0.0027801158787611356,0.002505827611419941,0.11640997558224975,0.03181743901157852,0.20054962748623198,0.298837388878949,0.013953969894148103
tail_1430_1450_amount,Q2,116,-0.06039728847040371,-0.09995359978315155,-0.1084100748759036,0.0008971633637131905,-0.00010348513887296666,-0.00032648412651671327,0.11607522629999423,0.025867882566674605,0.19997292567419359,0.24295765851045506,0.008197624337274017
