dimension_type,dimension_value,trade_count,cumulative_return_5bp,cumulative_return_10bp,cumulative_return_10bp_impact,mean_trade_return_5bp,mean_trade_return_10bp,mean_trade_return_10bp_impact,decay_5bp_to_10bp_sum,decay_10bp_to_impact_sum,decay_5bp_to_10bp_contribution,decay_10bp_to_impact_contribution,avg_participation
industry,软件服务,50,-0.004034706293405965,-0.029602415469618726,-0.03444575409377593,-0.0015066943827158764,-0.0025049396247649658,-0.0027060956904421916,0.049912262102454474,0.0100578032838613,0.08598821124715304,0.09446541785193523,0.007502210485373543
industry,元器件,34,-0.1126052201034663,-0.13365438980844457,-0.1375651051108604,-0.006158587677427836,-0.00715218218188873,-0.007331760769242429,0.033782213151670404,0.006105671970025761,0.058199567771931075,0.05734600664151208,0.006077828444143249
industry,汽车配件,32,0.2706190585173396,0.23676294112558405,0.23085922526892633,0.007578511250380497,0.006571183059807643,0.006398973536471762,0.03223450209833134,0.005510704746748196,0.0555331908257031,0.051757924853781626,0.006010565627318993
industry,专用机械,30,-0.1086963449207472,-0.12983823387418392,-0.13329244907042292,-0.0066808017181629094,-0.007673874138320847,-0.007835770628257832,0.0297921726047381,0.004856894698109571,0.05132557659256818,0.04561717645203613,0.00590388250330267
industry,医疗保健,21,0.07658766463730138,0.058435835446163376,0.05430613075063917,0.005277121171206521,0.0042720937989603296,0.004044799177063553,0.021105574817170014,0.004773187059832318,0.036360416246935895,0.044830973261927254,0.010570206766080333
industry,电气设备,37,-0.010861147615581546,-0.03914124529633434,-0.0426464808367103,0.0019409894403299704,0.0009392973709931562,0.000813348760162228,0.03706260656546212,0.0046600986007443446,0.06385098788308288,0.04376881801386044,0.003282033464396311
industry,化工原料,31,-0.05377652377426456,-0.07529664750835174,-0.07844241075058112,-0.002280034097198293,-0.003277506191659788,-0.003413612535301491,0.030921634928306352,0.004219296652892779,0.05327139993905023,0.03962869526354166,0.004205796559406494
industry,半导体,24,0.34791831314555144,0.32122109262688014,0.3166209588137443,0.014334080728010868,0.013319998646299796,0.01314783350771966,0.024337969961065742,0.004131963325923249,0.04192914554830549,0.03880843869342021,0.008239653395419558
industry,广告包装,18,-0.012998332025803139,-0.02866860453705422,-0.03195072166407309,0.0018596364575258915,0.0008580257209607139,0.0006481707797080486,0.018028993258173198,0.0037773889425479767,0.03106012061074384,0.03547818691380117,0.007718844655820504
industry,互联网,17,0.16858286955418755,0.1488799532561611,0.1446636206780323,0.00969624221179938,0.008686796816389704,0.008468855455846903,0.0171605717219645,0.003705003129227613,0.029564015017416737,0.03479832115098271,0.009461368324136755
industry,机械基件,20,-0.0022447484227123837,-0.019067422038698933,-0.021892566019435677,0.00011297550343669082,-0.0008868890061111079,-0.0010529395054433733,0.019997290190955974,0.003321009986645307,0.03445107756849162,0.031191760986446534,0.006481476062667653
industry,服饰,10,0.07546829135575073,0.06583008890381503,0.06316360730145965,0.007099961376212505,0.00609311161662387,0.005813972925210386,0.01006849759588635,0.00279138691413483,0.01734587978479847,0.026217407895945396,0.011960973319698661
industry,家用电器,14,-0.029793987588191295,-0.04232817039078407,-0.04453881459918141,-0.002176287000717631,-0.0031738628165009102,-0.003358549211652874,0.013966061420965903,0.0025856095321274974,0.024060553242239734,0.024284694973731907,0.00648921034119238
industry,建筑工程,12,0.10537718620296332,0.09328164160167196,0.09076429893771465,0.008276048618050461,0.007268023063404673,0.007054938946685435,0.012096306655749456,0.002557009400630861,0.020839363479255687,0.02401607534614531,0.00935378774740503
industry,IT设备,11,-0.025805767476341668,-0.03453636540846117,-0.0362981825240426,-0.0015976762781672947,-0.002595830560924212,-0.0028210333296027875,0.010979697110326092,0.00247723045546433,0.018915682735726934,0.023266771429748798,0.010905933450811641
