liquidity_metric,bucket,sample_scope,sample_count,v7_top10_selected_count,selected_trade_count,score_mean,score_target_pearson,score_target_spearman,auc,cumulative_return_5bp,cumulative_return_10bp,cumulative_return_10bp_impact,profit_factor,max_drawdown,trade_win_rate,daily_win_rate,avg_fill_ratio,partial_fill_count,zero_fill_count,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99
avg_amount_60d,Q1_low,all_candidates_bucket_top10_by_score,34101,288,580,0.3708063490993494,0.02119237293221428,0.043951568879468814,0.5470591760964985,-0.013590532678068756,-0.06918834379751648,-0.08096117527858393,0.8415672588197419,-0.12164155581670832,0.40344827586206894,0.46551724137931033,1.0,0,0,0.006453411985907676,0.017643386852676367,0.04411927822719419
avg_amount_60d,Q1_low,v7_top10_trades_in_bucket,288,288,288,0.5079015356193306,0.0473074804828801,0.0724744704194447,0.5462662337662337,-0.06350712429398453,-0.11363566986769291,-0.12422916319915234,0.8849215060649605,-0.14479226171180315,0.4166666666666667,0.3793103448275862,1.0,0,0,0.00703859550723035,0.019835347857243422,0.044599235203082226
avg_amount_60d,Q2,all_candidates_bucket_top10_by_score,34101,131,580,0.37513970957085163,0.011099973923789568,0.02000344989591637,0.5421527062464764,-0.025461305472592177,-0.080390034425318,-0.08923416197024836,0.8399923796256252,-0.10496158999162164,0.4362068965517241,0.4827586206896552,1.0,0,0,0.003650329929262936,0.010450825951042634,0.02778270467601292
avg_amount_60d,Q2,v7_top10_trades_in_bucket,131,131,131,0.4990588144257042,-0.03387106539134365,0.052399508888058506,0.5383709981167608,-0.027023074402467873,-0.07356115552843512,-0.08146519288523346,0.9559192451358586,-0.1573727045169987,0.4732824427480916,0.39655172413793105,1.0,0,0,0.004480557739827454,0.010901677768208527,0.02814365770045705
avg_amount_60d,Q3,all_candidates_bucket_top10_by_score,34101,62,580,0.3719641185770591,-0.001432199648358024,0.0040863394655245655,0.5298374005003432,-0.05579893255809165,-0.1090177167907096,-0.11558102681863935,0.802330289249267,-0.12710708847435703,0.40344827586206894,0.39655172413793105,1.0,0,0,0.0019579502515402166,0.006491797174875646,0.01512050023557078
avg_amount_60d,Q3,v7_top10_trades_in_bucket,62,62,62,0.46024030412849215,-0.10588229785399102,-0.02535821308957216,0.4462719298245614,0.10705179953372657,0.07217832058026019,0.06798714949036055,1.0668142722352092,-0.10343498228294234,0.3870967741935484,0.2413793103448276,1.0,0,0,0.001806844811347557,0.005006217016733091,0.05538014557990464
avg_amount_60d,Q4,all_candidates_bucket_top10_by_score,34101,46,580,0.3688900307794132,-0.0009676762388181382,-0.008695817252616969,0.5239985701794543,-0.05608544458203324,-0.10928807990092015,-0.11380443961828524,0.8341494275903134,-0.11390388535953344,0.4224137931034483,0.43103448275862066,1.0,0,0,0.0009311032679422488,0.002905913156763437,0.010382210509870787
avg_amount_60d,Q4,v7_top10_trades_in_bucket,46,46,46,0.41698220222888993,0.040973761964105876,-0.026333641689793397,0.47563352826510724,0.11724380978777305,0.09292679638010726,0.09057153988644617,1.1585967075478754,-0.07144658384765479,0.43478260869565216,0.15517241379310345,1.0,0,0,0.0006645544411581225,0.002698081941950702,0.0394890013817273
avg_amount_60d,Q5_high,all_candidates_bucket_top10_by_score,34101,53,580,0.3703446528739894,-0.0037918207128061206,-0.011543152564325818,0.5235397328229572,-0.10580549419044383,-0.15620571730775057,-0.15867769011723853,0.7871362565908563,-0.16111868746895763,0.4206896551724138,0.4827586206896552,1.0,0,0,0.00029859111039110757,0.0009897113309772754,0.01057584329038043
avg_amount_60d,Q5_high,v7_top10_trades_in_bucket,53,53,53,0.4395313841816717,0.10678119894582222,0.08861473955813579,0.5857142857142856,0.13464149064127606,0.09999862818846439,0.09708240660309642,1.158385298855782,-0.13573035145012247,0.4716981132075472,0.29310344827586204,1.0,0,0,0.00034568864469390994,0.009162674082445879,0.02298160459592035
amount_sofar_1450,Q1_low,all_candidates_bucket_top10_by_score,34101,363,580,0.38610011459865146,-0.008914345941598628,0.01858586206314277,0.538879331931664,-0.016731195963662793,-0.072151987285626,-0.08410313926033486,0.8274449317716205,-0.1017855932384788,0.4,0.4482758620689655,1.0,0,0,0.0065289580750546115,0.016493818220476294,0.03910571781585658
amount_sofar_1450,Q1_low,v7_top10_trades_in_bucket,363,363,363,0.520746065717855,-0.0024679148421438706,0.03176657596547099,0.5252405347994502,0.057881543732276164,0.0012553113793725146,-0.01097689289136794,0.982427328394381,-0.08796996848556415,0.44077134986225897,0.43103448275862066,1.0,0,0,0.007033603179863864,0.019217244233222363,0.04407131776712467
amount_sofar_1450,Q2,all_candidates_bucket_top10_by_score,34101,48,580,0.3703410538363873,-0.0010307750606249207,0.006191953783778291,0.5366032582453144,-0.09581713618538201,-0.14678034137063833,-0.15422972976803173,0.7197423578850086,-0.1652766304854416,0.38620689655172413,0.43103448275862066,1.0,0,0,0.0031080462259515385,0.007218667794496748,0.013872120107892755
amount_sofar_1450,Q2,v7_top10_trades_in_bucket,48,48,48,0.46325960566431096,-0.1298007568279544,0.08184976118106817,0.6043956043956045,-0.0898289174687299,-0.11230670621799987,-0.11542042156578491,0.46879753422853204,-0.14499342911646207,0.2916666666666667,0.15517241379310345,1.0,0,0,0.0030141705506319576,0.00625155934642669,0.0125748064975532
amount_sofar_1450,Q3,all_candidates_bucket_top10_by_score,34101,48,580,0.3679215860357022,0.020292284806931977,0.020381105287029376,0.5390981071719978,-0.059491909385990915,-0.11250254331698595,-0.11804437015186153,0.8141901196555285,-0.13973584239670633,0.41206896551724137,0.4827586206896552,1.0,0,0,0.0015682887044113237,0.003319626345356335,0.007320899913145581
