scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days,group_id,group_type,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99,min_filled_notional_return,regime_field,regime_value,regime_trade_days,regime_trade_count
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.004895483837018988,0.0005057605411360245,0.45,0.5833333333333334,-0.032001628249901715,1.0649743053023892,0.5175339366515838,120,12,10.0,1.0,0,0,20260323,0.02180388583340658,20260320,-0.032001628249901735,-0.01654760001484723,-0.039935261092298946,-0.05510823427314426,120,0,0,0,0,20260319,20260320,2,E_market_tail_breadth_positive_qbucket_Q1_low,E_market_regime,0.0,0.0,0.0,-0.0724135121371573,market_tail_breadth_positive_qbucket,Q1_low,12,120
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,-0.007094196384139773,-0.0004944966558668439,0.44166666666666665,0.5,-0.032969386134180656,0.9406562221643583,0.5175339366515838,120,12,10.0,1.0,0,0,20260323,0.0207823358023727,20260320,-0.0329693861341806,-0.027308987635057957,-0.0485392323994327,-0.061701033549444784,120,0,0,0,0,20260319,20260320,2,E_market_tail_breadth_positive_qbucket_Q1_low,E_market_regime,0.0,0.0,0.0,-0.07334086817739194,market_tail_breadth_positive_qbucket,Q1_low,12,120
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.009684207835260472,-0.0007123740411691552,0.44166666666666665,0.5,-0.03312811669692106,0.9156695103349307,0.5175339366515838,120,12,10.0,1.0,0,0,20260323,0.020535868102504316,20260320,-0.033128116696921006,-0.02961196845923042,-0.05027802310843954,-0.06297458964210845,120,0,0,0,0,20260319,20260320,2,E_market_tail_breadth_positive_qbucket_Q1_low,E_market_regime,0.006420419531980944,0.017426573886485313,0.03765026269874771,-0.073378862732145,market_tail_breadth_positive_qbucket,Q1_low,12,120
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.10633764948043822,0.009301994894319777,0.6,0.8181818181818182,-0.01083230866885776,2.53470943004214,0.4502688172043011,110,11,10.0,1.0,0,0,20260407,0.03133403000173749,20260302,-0.010832308668857793,0.07272485663890538,0.025503445606538167,0.003014170728911747,110,0,0,0,0,20260224,20260302,2,E_market_tail_breadth_positive_qbucket_Q2,E_market_regime,0.0,0.0,0.0,-0.033082383176962105,market_tail_breadth_positive_qbucket,Q2,11,110
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,0.0942315950490582,0.008292943648281616,0.6,0.7272727272727273,-0.011821230613456635,2.284747719858989,0.4502688172043011,110,11,10.0,1.0,0,0,20260407,0.03030295219418422,20260302,-0.011821230613456635,0.06204839335724355,0.017330098750133693,-0.002987401467551609,110,0,0,0,0,20260224,20260302,2,E_market_tail_breadth_positive_qbucket_Q2,E_market_regime,0.0,0.0,0.0,-0.03404906057481427,market_tail_breadth_positive_qbucket,Q2,11,110
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.09221553246746939,0.008123772911035413,0.5909090909090909,0.7272727272727273,-0.011866433487828565,2.2475383077951787,0.4502688172043011,110,11,10.0,1.0,0,0,20260407,0.030104859907573923,20260302,-0.011866433487828532,0.06029548541831797,0.015966147004572884,-0.004074684489251745,110,0,0,0,0,20260224,20260302,2,E_market_tail_breadth_positive_qbucket_Q2,E_market_regime,0.003865869139169078,0.01460673392075613,0.04822497961813717,-0.034085583307691736,market_tail_breadth_positive_qbucket,Q2,11,110
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,-0.035657512270866665,-0.0029200294686681804,0.35833333333333334,0.5,-0.05777613473527288,0.7158610261822875,0.49711168164313224,120,12,10.0,1.0,0,0,20260417,0.01509081913483037,20260306,-0.03382598351049495,-0.049993882763071706,-0.07175358771608664,-0.0837232886397401,120,0,0,0,0,20260225,20260311,4,E_market_tail_breadth_positive_qbucket_Q3,E_market_regime,0.0,0.0,0.0,-0.0696355047794236,market_tail_breadth_positive_qbucket,Q3,12,120
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,-0.047163343710570294,-0.003916861726757284,0.3333333333333333,0.4166666666666667,-0.06341316173691469,0.6413002246410802,0.49711168164313224,120,12,10.0,1.0,0,0,20260417,0.014075980502714969,20260306,-0.03479191749275214,-0.060389285803739035,-0.08007240745143795,-0.09011643191673768,120,0,0,0,0,20260225,20260416,7,E_market_tail_breadth_positive_qbucket_Q3,E_market_regime,0.0,0.0,0.0,-0.07056563813685379,market_tail_breadth_positive_qbucket,Q3,12,120
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.04893609465046134,-0.00407157558843907,0.3333333333333333,0.4166666666666667,-0.06420263842552876,0.6305826207620302,0.49711168164313224,120,12,10.0,1.0,0,0,20260417,0.013935766473965449,20260306,-0.03496015667654036,-0.06200773579875607,-0.08129604161477699,-0.0910110378251936,120,0,0,0,0,20260225,20260416,7,E_market_tail_breadth_positive_qbucket_Q3,E_market_regime,0.0030038488130631237,0.012463707422586477,0.03139297659586278,-0.07062030179147338,market_tail_breadth_positive_qbucket,Q3,12,120
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.01975331886966858,0.0018507033084480603,0.45454545454545453,0.36363636363636365,-0.03632205359028173,1.1951038971805603,0.5444106720702466,110,11,10.0,1.0,0,0,20260513,0.02394654063347289,20260327,-0.011047883018484916,-0.00409515692216722,-0.04039602778143003,-0.04143950642614691,110,0,0,0,0,20260305,20260512,8,E_market_tail_breadth_positive_qbucket_Q4,E_market_regime,0.0,0.0,0.0,-0.08914158773351832,market_tail_breadth_positive_qbucket,Q4,11,110
