trade_date,experiment_id,filter_id,ref_method,capital,order_notional,threshold,candidates_before_filter,candidates_after_filter,filtered_removed_count,selected_count,below_top10
20260224,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2893,2893,0,10,False
20260225,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2933,2933,0,10,False
20260226,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2936,2936,0,10,False
20260227,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2937,2937,0,10,False
20260302,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2911,2911,0,10,False
20260303,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2872,2872,0,10,False
20260304,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2951,2951,0,10,False
20260305,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2938,2938,0,10,False
20260306,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2939,2939,0,10,False
20260309,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2958,2958,0,10,False
20260310,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2948,2948,0,10,False
20260311,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2959,2959,0,10,False
20260312,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2958,2958,0,10,False
20260313,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2947,2947,0,10,False
20260316,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2954,2954,0,10,False
20260317,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2966,2966,0,10,False
20260318,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2957,2957,0,10,False
20260319,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2973,2973,0,10,False
20260320,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2974,2974,0,10,False
20260323,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2905,2905,0,10,False
20260324,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2947,2947,0,10,False
20260325,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2945,2945,0,10,False
20260326,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2964,2964,0,10,False
20260327,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2934,2934,0,10,False
20260330,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2943,2943,0,10,False
20260331,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2957,2957,0,10,False
20260401,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2952,2952,0,10,False
20260402,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2966,2966,0,10,False
20260403,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2947,2947,0,10,False
20260407,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2933,2933,0,10,False
20260408,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2883,2883,0,10,False
20260409,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2952,2952,0,10,False
20260410,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2954,2954,0,10,False
20260413,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2953,2953,0,10,False
20260414,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2958,2958,0,10,False
20260415,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2949,2949,0,10,False
20260416,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2942,2942,0,10,False
20260417,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2945,2945,0,10,False
20260420,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2936,2936,0,10,False
20260421,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2956,2956,0,10,False
20260422,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2944,2944,0,10,False
20260423,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2945,2945,0,10,False
20260424,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2944,2944,0,10,False
20260427,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2928,2928,0,10,False
20260428,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2943,2943,0,10,False
20260429,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2909,2909,0,10,False
20260430,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2930,2930,0,10,False
20260506,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2908,2908,0,10,False
20260507,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2919,2919,0,10,False
20260508,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2934,2934,0,10,False
20260511,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2926,2926,0,10,False
20260512,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2952,2952,0,10,False
20260513,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2921,2921,0,10,False
20260514,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2948,2948,0,10,False
20260515,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2949,2949,0,10,False
20260518,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2923,2923,0,10,False
20260519,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2922,2922,0,10,False
20260520,F0_no_capacity_filter_none_capital_100000,F0_no_capacity_filter,none,100000,10000.0,,2935,2935,0,10,False
20260224,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2893,2893,0,10,False
20260225,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2933,2933,0,10,False
20260226,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2936,2936,0,10,False
20260227,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2937,2937,0,10,False
20260302,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2911,2911,0,10,False
20260303,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2872,2872,0,10,False
20260304,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2951,2951,0,10,False
20260305,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2938,2938,0,10,False
20260306,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2939,2939,0,10,False
20260309,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2958,2958,0,10,False
20260310,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2948,2948,0,10,False
20260311,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2959,2959,0,10,False
20260312,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2958,2958,0,10,False
20260313,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2947,2947,0,10,False
20260316,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2954,2954,0,10,False
20260317,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2966,2966,0,10,False
20260318,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2957,2957,0,10,False
20260319,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2973,2973,0,10,False
20260320,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2974,2974,0,10,False
20260323,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2905,2905,0,10,False
20260324,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2947,2947,0,10,False
20260325,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2945,2945,0,10,False
20260326,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2964,2964,0,10,False
20260327,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2934,2934,0,10,False
