group_id,strategy_id,regime_id,scenario_id,matched_day_count,random_runs,actual_cumulative_return,random_cumulative_return_mean,random_cumulative_return_median,random_cumulative_return_p05,random_cumulative_return_p95,random_cumulative_return_min,random_cumulative_return_max,actual_percentile_vs_random,random_max_drawdown_mean,random_max_drawdown_p05,random_max_drawdown_p95
S0_v7_original_top10__C1_tail_up,S0_v7_original_top10,C1_tail_up,5bp_one_way_slippage,35,1000,-0.049870091706497255,0.03686769783194201,0.034816065089548265,-0.04807544915619547,0.12478217500501347,-0.11245291268404256,0.19954610160075736,0.045,-0.06355543641901255,-0.10585085316187784,-0.030538862983456386
S0_v7_original_top10__C1_tail_up,S0_v7_original_top10,C1_tail_up,10bp_one_way_slippage,35,1000,-0.08255749494824138,-0.001468676357938843,-0.0034620736283612064,-0.08458127031442612,0.08412422724042468,-0.14264718053475045,0.20883679159459612,0.057,-0.07566672116783948,-0.12560806801299787,-0.03799072554953864
S0_v7_original_top10__C1_tail_up,S0_v7_original_top10,C1_tail_up,10bp_slippage_plus_impact,35,1000,-0.08821543300057777,-0.009505461072388869,-0.009872040058944431,-0.08903777187041537,0.07302615574727925,-0.1477937676811215,0.1540071848179314,0.054,-0.07802258502246123,-0.12915959092489288,-0.039511178508521615
S0_v7_original_top10__C2_market_up,S0_v7_original_top10,C2_market_up,5bp_one_way_slippage,29,1000,-8.704864974529158e-05,0.027121904845368104,0.02620436297455664,-0.06039715747046211,0.11629306390571066,-0.1158829681914959,0.1828107674856947,0.299,-0.05890458376894253,-0.10195121639042731,-0.02717686974328226
S0_v7_original_top10__C2_market_up,S0_v7_original_top10,C2_market_up,10bp_one_way_slippage,29,1000,-0.028675184550249977,-0.0019337488760917795,-0.0025023542022307166,-0.0849616339961945,0.08413993229468299,-0.145117387092218,0.18800883006343483,0.3,-0.0679862175966555,-0.11786972503275342,-0.03154009610041986
S0_v7_original_top10__C2_market_up,S0_v7_original_top10,C2_market_up,10bp_slippage_plus_impact,29,1000,-0.03391352593317676,-0.0046655155418325175,-0.005337490634317932,-0.08780467252136101,0.07507586875759885,-0.1697368940158629,0.13020515917782838,0.281,-0.06960829284344382,-0.11953451963030443,-0.032147915087723904
S0_v7_original_top10__C3_tail_breadth_Q5_high,S0_v7_original_top10,C3_tail_breadth_Q5_high,5bp_one_way_slippage,12,1000,-0.033823299983456234,0.013574522157396003,0.011919404913126153,-0.05439194357217124,0.0808424859948349,-0.10835387927868456,0.16075421989672245,0.121,-0.03438745036876932,-0.07030494616676473,-0.010267501995042672
S0_v7_original_top10__C3_tail_breadth_Q5_high,S0_v7_original_top10,C3_tail_breadth_Q5_high,10bp_one_way_slippage,12,1000,-0.04535101590680879,-0.0005374551932047437,-0.0009037687225626478,-0.065586119131613,0.06541963948460656,-0.12388506350609862,0.16249616950375678,0.128,-0.039309030449487734,-0.07817295718606765,-0.011670066774590926
S0_v7_original_top10__C3_tail_breadth_Q5_high,S0_v7_original_top10,C3_tail_breadth_Q5_high,10bp_slippage_plus_impact,12,1000,-0.04755227237233206,-0.0033881803412790313,-0.003934312853920596,-0.07061560755036217,0.06757006260097399,-0.122677807733368,0.13482404384258917,0.139,-0.04058921709980888,-0.08146551673637481,-0.011866433487828676
S0_v7_original_top10__C4_tail_ret_median_Q5_high,S0_v7_original_top10,C4_tail_ret_median_Q5_high,5bp_one_way_slippage,12,1000,-0.01136271345605211,0.011081951720006799,0.010738154599349126,-0.0513429173970242,0.07722953534758258,-0.09872146903067214,0.14208695486688105,0.313,-0.03568078995815816,-0.0704983627670608,-0.01083230866885776
S0_v7_original_top10__C4_tail_ret_median_Q5_high,S0_v7_original_top10,C4_tail_ret_median_Q5_high,10bp_one_way_slippage,12,1000,-0.023158412721329125,-0.0013194683893332875,-0.0008938551718262744,-0.0674228633319129,0.0657623429405962,-0.1161372013196248,0.1418062849646584,0.302,-0.039502498405401806,-0.07929144491853479,-0.011670066774591032
