total_trades,unique_stocks,top_stock,top_stock_count,top_stock_share,stock_hhi,unique_industries,top_industry,top_industry_count,top_industry_share,industry_hhi,top1_profit_day_return,top3_profit_day_return_sum,top5_profit_day_return_sum,top3_profit_day_positive_contribution_share,group_id,strategy_id,strategy_name,regime_id,regime_side,regime_field,regime_value,regime_description,gate_day_count,no_trade_days,active_trade_days,zero_holding_gate_days,avg_daily_holdings,avg_daily_holdings_all_legacy_days
230,190,301043.SZ,5,0.021739130434782608,0.006502835538752363,56,软件服务,16,0.06956521739130435,0.03568998109640832,0.030104859907573923,0.0743512554791014,0.10559901767903164,0.45202717810535875,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,S0: v7 original Top10,R1_tail_down,positive_diagnostic,tail_direction,tail_down,market_tail_ret_median < 0,23,35,23,0,10.0,3.9655172413793105
290,242,688500.SH,3,0.010344827586206896,0.004875148632580259,63,软件服务,23,0.07931034482758621,0.03674197384066588,0.023710527469023156,0.06370713611153037,0.09661681791010221,0.4154424490457329,S0_v7_original_top10__R2_market_down,S0_v7_original_top10,S0: v7 original Top10,R2_market_down,positive_diagnostic,market_direction,market_down,market_ret_median_1450 < 0,29,29,29,0,10.0,5.0
290,218,001270.SZ,7,0.02413793103448276,0.006206896551724137,59,软件服务,22,0.07586206896551724,0.03438763376932224,0.030104859907573923,0.055827648041466726,0.07585024787759222,0.4333813789051585,S0_v7_original_top10__R3_low_tail_vol,S0_v7_original_top10,S0: v7 original Top10,R3_low_tail_vol,positive_diagnostic,tail_vol_regime,low_tail_vol,market_tail_vol_proxy below validation median,29,29,29,0,10.0,5.0
110,104,301043.SZ,4,0.03636363636363636,0.010578512396694214,44,电气设备,8,0.07272727272727272,0.03570247933884298,0.030104859907573923,0.07327612791659996,0.09329872775272545,0.6754535366021689,S0_v7_original_top10__R4_tail_breadth_Q2,S0_v7_original_top10,S0: v7 original Top10,R4_tail_breadth_Q2,positive_diagnostic,market_tail_breadth_positive_qbucket,Q2,market_tail_breadth_positive second quintile,11,47,11,0,10.0,1.896551724137931
110,100,301043.SZ,3,0.02727272727272727,0.011074380165289256,39,软件服务,9,0.08181818181818182,0.041157024793388446,0.030104859907573923,0.07327612791659996,0.09329872775272545,0.7237654196204757,S0_v7_original_top10__R5_tail_ret_median_Q2,S0_v7_original_top10,S0: v7 original Top10,R5_tail_ret_median_Q2,positive_diagnostic,market_tail_ret_median_qbucket,Q2,market_tail_ret_median second quintile,11,47,11,0,10.0,1.896551724137931
120,104,688478.SH,3,0.025,0.010694444444444444,42,软件服务,15,0.125,0.04527777777777777,0.030104859907573923,0.05410376893677725,0.07158297293345446,0.6695071918338263,S0_v7_original_top10__R6_market_dispersion_Q1_low,S0_v7_original_top10,S0: v7 original Top10,R6_market_dispersion_Q1_low,positive_diagnostic,market_dispersion_proxy_qbucket,Q1_low,market_dispersion_proxy lowest quintile,12,46,12,0,10.0,2.0689655172413794
350,276,001270.SZ,8,0.022857142857142857,0.004914285714285714,71,软件服务,34,0.09714285714285714,0.036048979591836734,0.022817280446094757,0.05791638066781396,0.08599415142005595,0.4508474907506762,S0_v7_original_top10__C1_tail_up,S0_v7_original_top10,S0: v7 original Top10,C1_tail_up,negative_control,tail_direction,tail_up,market_tail_ret_median >= 0,35,23,35,0,10.0,6.0344827586206895
290,231,001270.SZ,8,0.027586206896551724,0.005945303210463731,64,软件服务,27,0.09310344827586207,0.03617122473246136,0.030104859907573923,0.0690473252507815,0.09562707709739389,0.4946172310130196,S0_v7_original_top10__C2_market_up,S0_v7_original_top10,S0: v7 original Top10,C2_market_up,negative_control,market_direction,market_up,market_ret_median_1450 >= 0,29,29,29,0,10.0,5.0
120,105,001270.SZ,4,0.03333333333333333,0.01125,43,化工原料,9,0.075,0.039027777777777765,0.014142004278276544,0.024583055645172547,0.025051375720067926,0.9813056145048265,S0_v7_original_top10__C3_tail_breadth_Q5_high,S0_v7_original_top10,S0: v7 original Top10,C3_tail_breadth_Q5_high,negative_control,market_tail_breadth_positive_qbucket,Q5_high,market_tail_breadth_positive highest quintile,12,46,12,0,10.0,2.0689655172413794
120,104,001270.SZ,4,0.03333333333333333,0.01138888888888889,43,化工原料,12,0.1,0.04347222222222222,0.018973915324606395,0.04184248466446669,0.04402529104467432,0.950419262918838,S0_v7_original_top10__C4_tail_ret_median_Q5_high,S0_v7_original_top10,S0: v7 original Top10,C4_tail_ret_median_Q5_high,negative_control,market_tail_ret_median_qbucket,Q5_high,market_tail_ret_median highest quintile,12,46,12,0,10.0,2.0689655172413794
