horizon,group,sample_rows,trading_days,score_spearman_mean_by_day,score_spearman_positive_day_ratio,all_avg_return,all_win_rate,top10_rows,top10_avg_return,top10_win_rate
3d,all,164647,56,0.0168031337725995,0.6071428571428571,0.000647410950351286,0.4702727653707629,560,0.002056590480276207,0.5
3d,U2_liquidity_top2500,137211,56,0.016242532684544325,0.6071428571428571,0.000669575261787311,0.47015180998607986,341,-0.0007537753625972723,0.49560117302052786
3d,tail_down,67660,23,0.06951912894283892,0.7391304347826086,0.011511104054026201,0.569361513449601,230,0.017685858443680345,0.6217391304347826
3d,trend_ma20_positive,71415,56,0.02213119169442254,0.5535714285714286,0.002483390073238887,0.47576839599523907,184,-0.0019846312687467472,0.46195652173913043
3d,prev5_nonoverheat,110978,56,0.01586073567648585,0.5535714285714286,-0.0008889999567629773,0.4508911676188073,291,0.0037267397617159834,0.49140893470790376
3d,U2_and_tail_down,56401,23,0.0723659225357969,0.7391304347826086,0.011850853237073728,0.5706813708976791,130,0.018288785492188434,0.6615384615384615
3d,U2_and_trend_positive,59612,56,0.021965935090004298,0.5892857142857143,0.0025208938853766077,0.4772864523921358,122,-0.0025082665123977977,0.45081967213114754
5d,all,158775,54,0.019735635955854487,0.5,0.0007349485981197498,0.4586175405447961,540,-0.0008810606122396419,0.4462962962962963
5d,U2_liquidity_top2500,132321,54,0.021097009512077897,0.5,0.0007208623474049881,0.45850620838717965,333,-0.00435624219875328,0.43243243243243246
5d,tail_down,67659,23,0.07484924129087453,0.6956521739130435,0.013079269796387256,0.5577676288446475,230,0.018421953965585682,0.5869565217391305
5d,trend_ma20_positive,68788,54,0.028097866376887697,0.5740740740740741,0.002870275440831905,0.46263883235448044,172,-0.005175098588509171,0.38372093023255816
5d,prev5_nonoverheat,107258,54,0.01655301531701348,0.46296296296296297,-0.0018714256033171845,0.44211154412724457,282,0.0030655606008428227,0.46099290780141844
5d,U2_and_tail_down,56400,23,0.07900049843731854,0.6956521739130435,0.01334987040899134,0.5591489361702128,130,0.02113402957897276,0.6076923076923076
5d,U2_and_trend_positive,57440,54,0.029491718519603336,0.5370370370370371,0.0027483360622411477,0.46389275766016713,117,-0.0038404506833382844,0.39316239316239315
10d,all,144094,49,0.03801655090026922,0.6530612244897959,0.006762263132824706,0.46983219287409606,490,0.007719273781864809,0.45510204081632655
10d,U2_liquidity_top2500,120092,49,0.04198152769946326,0.673469387755102,0.006884073917089397,0.46968157745728273,297,0.0076151948856421165,0.4478114478114478
10d,tail_down,61778,21,0.05427443661522247,0.7142857142857143,0.014230586614165886,0.5049532195927353,210,0.0186057211576362,0.48095238095238096
10d,trend_ma20_positive,59151,49,0.03980566673779056,0.5714285714285714,0.01273073367483578,0.4820374972527937,133,0.010423783695422212,0.43609022556390975
10d,prev5_nonoverheat,97367,49,0.026534357109678074,0.6122448979591837,0.005175716892231236,0.4604537471627964,246,0.01582615787910488,0.483739837398374
10d,U2_and_tail_down,51499,21,0.060600761571404475,0.7619047619047619,0.014514297613523831,0.5038932794811549,117,0.02061152880286312,0.49572649572649574
10d,U2_and_trend_positive,49386,49,0.040392636829841094,0.5306122448979592,0.012795020291810354,0.48282914186206616,89,0.015398723132694801,0.43820224719101125
