horizon,year,rows,mean,median,win_rate,p05,p95,abs_gt_20pct
3d,2018,817875,-0.002148942209043075,-0.0024330900243310083,0.46418095674766924,-0.08000000000000007,0.07288689317688914,3671
3d,2019,889270,0.004102905859476274,0.0014144271570013522,0.5080740382560976,-0.06493506493506496,0.08201058201058209,5474
3d,2020,957649,0.0033961182757067036,0.0,0.486923705867181,-0.07700790585761365,0.0955555555555554,9090
3d,2021,1079936,0.003839692822606244,0.0,0.4948098776223776,-0.07428571428571418,0.09469696969696972,9650
3d,2022,1175320,1.3219125446015617e-05,-0.002577319587628746,0.4660203178708777,-0.078125,0.0875553478712359,8599
3d,2023,1257821,0.001196547889069797,-0.0022050716648290836,0.4595717514654311,-0.056509873173864134,0.0700261780104714,6582
3d,2024,1292930,0.0014265259903990756,-0.0030487804878047697,0.46490219888161,-0.09326424870466321,0.10711281128325395,22661
3d,2025,1312344,0.005813544475698774,0.00177935943060481,0.5159310363746091,-0.06219216267813582,0.08867924528301874,12191
3d,2026,475844,0.002510889476135344,-0.0003937308371982917,0.48797505064685065,-0.07537688442211044,0.09259259259259256,3992
5d,2018,816091,-0.004479718359503721,-0.004143646408839796,0.45805553547337247,-0.10839160839160839,0.09293141735525157,9371
5d,2019,888617,0.0064656573798143905,0.0030188679245282124,0.5209983603734792,-0.08450704225352113,0.10712366453901315,12213
5d,2020,956841,0.004521091372458937,-0.0017113519680548306,0.4802271223745638,-0.09995209963276397,0.12580877066858354,19392
5d,2021,1079344,0.006146483707238877,0.0,0.49988418891474823,-0.09431921709051944,0.12458471760797352,21429
5d,2022,1174619,-0.0003176062112166597,-0.0036496350364965124,0.4648877636067525,-0.10171059973264292,0.11320754716981107,19869
5d,2023,1257485,0.0015347902641137845,-0.002984877942059372,0.46052000620285727,-0.07377421757849768,0.09022588223923556,13161
5d,2024,1292562,0.0025153866473613283,-0.0055248618784530246,0.4566875708863482,-0.11855670103092786,0.14730878186968832,50096
5d,2025,1311724,0.009365134869178534,0.00363196125907983,0.5311345984368663,-0.07890873845131448,0.11663888485910441,23984
5d,2026,464668,0.003905147426531313,-0.0014256843457287616,0.48400148062702836,-0.09565217391304344,0.1245246094388437,9207
10d,2018,813070,-0.010176977281200258,-0.010697674418604697,0.4317463441032137,-0.15370370370370368,0.12676056338028163,28429
10d,2019,887601,0.012342229300553823,0.005137426149499191,0.5276762869802986,-0.11520449578520142,0.16033057851239652,34448
10d,2020,955540,0.006359533037421546,-0.0039525691699603405,0.4722680369215313,-0.13659799884427304,0.17999999999999994,49594
10d,2021,1078440,0.0122643023792952,0.002645502645502562,0.5117197062423501,-0.12494625948598038,0.1791304347826086,53081
10d,2022,1173408,-0.0014933159960895243,-0.005813953488371992,0.46471389320679596,-0.14254108875113672,0.15581854043392496,50537
10d,2023,1256854,0.0021658457467425294,-0.005006257822277871,0.45856241059025155,-0.10288953946090619,0.1264806926198948,31478
10d,2024,1291821,0.004935529184958113,-0.009199632014719294,0.45240942824121916,-0.15873015873015872,0.2142857142857142,105381
10d,2025,1310694,0.018711711497509442,0.009646302250803984,0.5634274666703288,-0.10537917879856051,0.17088356034735663,56581
10d,2026,436957,0.006785442844600316,-0.0034924330616996624,0.476934801364894,-0.12693312410290894,0.1805516827388555,21526
