trade_date,rows,status
20180102,3282,ok
20180103,3286,ok
20180104,3296,ok
20180105,3297,ok
20180108,3301,ok
20180109,3302,ok
20180110,3306,ok
20180111,3311,ok
20180112,3314,ok
20180115,3299,ok
20180116,3307,ok
20180117,3305,ok
20180118,3299,ok
20180119,3313,ok
20180122,3312,ok
20180123,3303,ok
20180124,3311,ok
20180125,3304,ok
20180126,3302,ok
20180129,3301,ok
20180130,3291,ok
20180131,3291,ok
20180201,3290,ok
20180202,3247,ok
20180205,3203,ok
20180206,3198,ok
20180207,3183,ok
20180208,3177,ok
20180209,3186,ok
20180212,3201,ok
20180213,3208,ok
20180214,3210,ok
20180222,3224,ok
20180223,3225,ok
20180226,3250,ok
20180227,3258,ok
20180228,3258,ok
20180301,3250,ok
20180302,3263,ok
20180305,3258,ok
20180306,3254,ok
20180307,3264,ok
20180308,3254,ok
20180309,3261,ok
20180312,3261,ok
20180313,3260,ok
20180314,3256,ok
20180315,3266,ok
20180316,3268,ok
20180319,3273,ok
20180320,3275,ok
20180321,3277,ok
20180322,3276,ok
20180323,3284,ok
20180326,3288,ok
20180327,3275,ok
20180328,3279,ok
20180329,3275,ok
20180330,3278,ok
20180402,3285,ok
20180403,3285,ok
20180404,3290,ok
20180409,3292,ok
20180410,3295,ok
20180411,3291,ok
20180412,3300,ok
20180413,3295,ok
20180416,3296,ok
20180417,3293,ok
20180418,3283,ok
20180419,3284,ok
20180420,3289,ok
20180423,3301,ok
20180424,3302,ok
20180425,3301,ok
20180426,3302,ok
20180427,3311,ok
20180502,3297,ok
20180503,3310,ok
20180504,3309,ok
20180507,3312,ok
20180508,3311,ok
20180509,3311,ok
20180510,3316,ok
20180511,3326,ok
20180514,3328,ok
20180515,3329,ok
20180516,3335,ok
20180517,3332,ok
20180518,3337,ok
20180521,3334,ok
20180522,3337,ok
20180523,3333,ok
20180524,3330,ok
20180525,3335,ok
20180528,3343,ok
20180529,3339,ok
20180530,3333,ok
20180531,3326,ok
20180601,3333,ok
20180604,3334,ok
20180605,3343,ok
20180606,3334,ok
20180607,3327,ok
20180608,3330,ok
20180611,3331,ok
