year,trend_regime,days,ew_ret_mean,breadth_positive_mean,extreme_selloff_days,high_vol_days,industry_crowding_high_days
2018,insufficient_history,60,-0.0003249485437161857,0.4868101179876675,7,0,0
2018,neutral,82,-0.0017034677807742083,0.45304757000530377,13,0,0
2018,strong,9,0.0016075134983761325,0.4877785914601192,0,0,0
2018,weak,92,-0.0020497117767115424,0.4641524753245507,24,0,0
2019,neutral,150,0.0008967880899345293,0.47730822677275425,20,5,101
2019,strong,69,0.0020408886232402574,0.5228432162105449,8,49,19
2019,weak,25,0.000986585996046993,0.5043032022473696,4,0,4
2020,neutral,139,-2.1731176103466745e-05,0.4624414271669823,16,100,27
2020,strong,104,0.002378204338551062,0.5033892762893196,12,94,32
2021,neutral,128,0.00045942752848732236,0.47132480582075453,5,73,29
2021,strong,99,0.002936062791319603,0.5002840593086987,1,64,64
2021,weak,16,-0.003699054933414087,0.4282312632900975,2,16,3
2022,neutral,143,3.4933191119006796e-05,0.4664337101369875,20,7,9
2022,strong,45,-0.0001695079051272964,0.46675467006120264,3,13,24
2022,weak,54,-0.0015157329529190383,0.4852387432370126,10,16,0
2023,neutral,218,6.643101839321133e-05,0.45235563067562634,24,0,105
2023,strong,23,0.0049210220698141125,0.5522340866332298,0,0,10
2023,weak,1,-0.02400320381992029,0.08938019652305366,1,0,1
2024,neutral,75,0.0016024390282562328,0.48267267145390247,14,0,12
2024,strong,71,0.0034790637926021767,0.5147478346802286,13,34,45
2024,weak,96,-0.00260743366839402,0.44546325314353447,26,22,23
2025,neutral,141,0.0011714642382440023,0.49469774691940144,13,0,83
2025,strong,102,0.0018455331462766994,0.4924075599500199,8,0,74
2026,neutral,56,0.0009804370321470923,0.4879038488434522,10,0,56
2026,strong,34,0.0011444071374244486,0.48273432454299736,2,0,33
