industry,days,first_date,last_date,avg_stock_count,avg_amount_share,p95_amount_share,crowding_high_days,crowding_low_days,avg_ret_20d,avg_ret_60d,latest_crowding_state
电气设备,2032,20180102,20260522,265.8228346456693,0.07012170464708939,0.11846101856841923,615,269,0.018522766144105404,0.05878143650166047,crowding_normal
专用机械,2032,20180102,20260522,205.70472440944883,0.030055692192144583,0.04687791361770157,572,271,0.015981011507550734,0.0480731441523182,crowding_high
半导体,2032,20180102,20260522,118.28887795275591,0.05155231767824125,0.0933293563666691,562,380,0.022827282932614136,0.066557574685555,crowding_high
通信设备,2032,20180102,20260522,114.2992125984252,0.03886027528363976,0.07280889855865451,557,437,0.01825560738124373,0.054217123806433246,crowding_normal
化工原料,2032,20180102,20260522,199.81938976377953,0.032949345969648984,0.05323702086111618,515,418,0.013903941978134066,0.043109601749908126,crowding_normal
元器件,2032,20180102,20260522,225.33956692913387,0.0615982702338214,0.09909602636000932,512,459,0.017062990432975392,0.04937839283664089,crowding_high
陶瓷,2032,20180102,20260522,4.66240157480315,0.00065890086081317,0.0014568739097455936,506,428,0.009493108248019796,0.03200434029691709,crowding_high
摩托车,2032,20180102,20260522,9.36466535433071,0.0014665831958821718,0.003776008003443507,497,486,0.022836186570253818,0.07746756955824331,crowding_low
玻璃,2032,20180102,20260522,16.171751968503937,0.0037878562323220267,0.007819935137705762,486,502,0.017452929747102535,0.053880464737206764,crowding_high
新型电力,2032,20180102,20260522,27.13435039370079,0.006457079035258962,0.015368615179124105,482,547,0.008629170348890238,0.02707545303076161,crowding_normal
电器仪表,2032,20180102,20260522,76.85925196850394,0.008691563957328336,0.013758729373404877,479,356,0.01900957936857066,0.058642999427923434,crowding_high
水运,2032,20180102,20260522,15.089566929133857,0.0038908738164559423,0.008790108857321373,479,431,0.010180148724018193,0.03149646711152159,crowding_normal
纺织机械,2032,20180102,20260522,10.294291338582678,0.0008701018051309022,0.0019005976260255612,476,447,0.01086336309107014,0.03075254256501488,crowding_high
机械基件,2032,20180102,20260522,91.74360236220473,0.010363808449761256,0.021063908168274175,474,301,0.02008292521986908,0.06117163701873239,crowding_high
农药化肥,2032,20180102,20260522,51.343503937007874,0.00862506072855455,0.019978593479309185,471,565,0.010430254129271534,0.03440948117975732,crowding_low
铅锌,2032,20180102,20260522,12.861220472440944,0.0030727801292341167,0.006544601023913341,470,434,0.01692506470718302,0.0488846719002405,crowding_normal
轻工机械,2032,20180102,20260522,6.3484251968503935,0.0009642543915986038,0.002214987575065852,469,445,0.010197219404986043,0.03088817149509703,crowding_normal
火力发电,2032,20180102,20260522,30.22244094488189,0.005870805610142057,0.012715833065755187,467,445,0.010316549378273905,0.029000866419135383,crowding_high
航空,2032,20180102,20260522,41.44881889763779,0.011764662930321404,0.02253217810962123,466,409,0.01756895790446957,0.05290960494448957,crowding_low
船舶,2032,20180102,20260522,10.607775590551181,0.0031600692457442086,0.006626310285716461,464,311,0.014937095135226857,0.04541653951454501,crowding_low
汽车配件,2032,20180102,20260522,195.72293307086613,0.028696121503839808,0.047995048076772844,463,423,0.015048433734060234,0.04624389684031834,crowding_normal
互联网,2032,20180102,20260522,72.27903543307086,0.02272529187693664,0.047303084070410284,457,551,0.011894455279757007,0.03613443569003098,crowding_low
林业,2032,20180102,20260522,3.9621062992125986,0.0004692069699743161,0.0013911759553245939,457,429,0.008262257169736774,0.0293818663954818,crowding_normal
工程机械,2032,20180102,20260522,29.61564960629921,0.0066072452774953,0.011721495976580117,455,442,0.018957693247491483,0.05905012009798155,crowding_low
铜,2032,20180102,20260522,15.857775590551181,0.0062773570056797925,0.01365044660090053,454,469,0.014710478785365523,0.04434421722254791,crowding_normal
广告包装,2032,20180102,20260522,46.208169291338585,0.008282830597778044,0.014541359220038871,450,468,0.010503314079849866,0.03251118510447603,crowding_low
纺织,2032,20180102,20260522,35.134350393700785,0.002340995651276297,0.0040974389165533125,446,409,0.009536359499298774,0.028881572466886378,crowding_normal
小金属,2032,20180102,20260522,54.430610236220474,0.026980132564581573,0.0532164197472886,443,584,0.019138776139625408,0.0589500213137607,crowding_normal
钢加工,2032,20180102,20260522,20.757874015748033,0.002038611445028939,0.0035188450224394392,442,467,0.007925795850842767,0.025162796235146175,crowding_low
旅游服务,2032,20180102,20260522,7.590551181102362,0.003187745203694134,0.006545867478670642,439,552,0.010079341122705088,0.034637735631525626,crowding_low
生物制药,2032,20180102,20260522,57.539370078740156,0.013546012341082901,0.02510150164224799,438,502,0.011890558283385763,0.03787086468529282,crowding_low
石油开采,2032,20180102,20260522,19.33562992125984,0.004918014603132094,0.011116711781339885,435,519,0.008964271588240728,0.028700471663129088,crowding_normal
商品城,2032,20180102,20260522,3.9872047244094486,0.0006890900498802966,0.0019423353580553416,435,435,0.007911135555420758,0.025556693218186342,crowding_normal
铝,2032,20180102,20260522,27.043799212598426,0.00591363473032507,0.011760740321351966,434,508,0.011806665780814412,0.036788614179364076,crowding_normal
路桥,2032,20180102,20260522,18.92765748031496,0.0013163205030861632,0.002746024942790362,431,593,0.005952533904799325,0.01863953425133789,crowding_low
塑料,2032,20180102,20260522,59.15501968503937,0.006539909505478567,0.010111767758422483,430,381,0.01363052744418559,0.040781143224152216,crowding_normal
软件服务,2032,20180102,20260522,224.83415354330708,0.060789323981219855,0.10047895417600687,429,564,0.015862368867416692,0.04721574352879651,crowding_low
化工机械,2032,20180102,20260522,11.51771653543307,0.0016877255229941323,0.0029214126143914756,427,446,0.015106778326889354,0.04818698896067426,crowding_normal
汽车整车,2032,20180102,20260522,21.450295275590552,0.013660380155070387,0.03042649625168354,424,606,0.010007565663973653,0.03263335359436637,crowding_low
黄金,2032,20180102,20260522,9.306594488188976,0.005014931409433334,0.011079096998758482,423,391,0.020674031899782147,0.06555766967086607,crowding_low
综合类,2032,20180102,20260522,18.257381889763778,0.0019442062677911742,0.003979178774677099,421,490,0.00856598781292781,0.02728073157767439,crowding_normal
矿物制品,2032,20180102,20260522,25.95472440944882,0.005862349179407627,0.010654416162081138,419,493,0.02181803152829396,0.06881295002146576,crowding_normal
渔业,2032,20180102,20260522,6.920767716535433,0.0007638457221465328,0.002156009795288385,415,491,0.0017599826093774081,0.0065063855086897205,crowding_low
焦炭加工,2032,20180102,20260522,6.950787401574803,0.0019062958534042402,0.005389022192194428,412,664,0.004719397094695922,0.01755023855899234,crowding_low
文教休闲,2032,20180102,20260522,43.275590551181104,0.005409437064191261,0.009679550361593276,411,511,0.008817772165579798,0.027085058670343415,crowding_low
日用化工,2032,20180102,20260522,14.4251968503937,0.0019680835476533734,0.004017867242376916,411,502,0.009808638864156624,0.03050547617297467,crowding_low
医疗保健,2032,20180102,20260522,133.99507874015748,0.023830267123147626,0.04422222987379087,408,512,0.00984226227318854,0.03176988026420755,crowding_normal
机床制造,2032,20180102,20260522,19.09251968503937,0.0025798473256390094,0.005506244961272305,408,439,0.015578265074886802,0.045082953536570644,crowding_normal
水力发电,2032,20180102,20260522,21.953740157480315,0.004142845438494196,0.008681830668933986,407,482,0.010758148547271537,0.03274489123670686,crowding_normal
服饰,2032,20180102,20260522,58.67765748031496,0.005401045707313874,0.00925133534640093,406,463,0.004813100390522415,0.015208176795725491,crowding_low
多元金融,2032,20180102,20260522,21.281988188976378,0.00417929621314684,0.008327485985009084,406,421,0.0076347223523335886,0.023570543729161886,crowding_low
石油贸易,2032,20180102,20260522,3.7303149606299213,0.00034305846972555666,0.0008541299138809271,406,406,0.008322915316251542,0.02514869856457351,crowding_normal
化学制药,2032,20180102,20260522,124.16781496062993,0.026022980920465948,0.0423294875598566,403,485,0.01310416083639378,0.040532692056427934,crowding_low
煤炭开采,2032,20180102,20260522,24.304133858267715,0.007467708545418317,0.016692237370173946,403,661,0.011950478023798663,0.035847951006455867,crowding_low
化纤,2032,20180102,20260522,27.124507874015748,0.005087454914719825,0.008823193555615805,403,558,0.009810062379539105,0.028788193322372785,crowding_normal
酒店餐饮,2032,20180102,20260522,8.238681102362206,0.0012561062120995388,0.0030633637247811578,402,559,0.005816531332901363,0.018540514468017858,crowding_low
农用机械,2032,20180102,20260522,11.009350393700787,0.001067563827373248,0.0022524216738011656,398,505,0.012653415525925886,0.037229757440698764,crowding_low
橡胶,2032,20180102,20260522,11.575295275590552,0.0011226164072439867,0.0018599509682205176,395,419,0.018925751448935497,0.05987807979402164,crowding_low
