universe,horizon,factor,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n,factor_group,point_in_time_status,direction_adjusted_mean_spread,abs_mean_ic,candidate_flag
screened,10d,log_amount,2022,-0.08092797953451496,-0.08877286445189844,0.1492228218029235,-8.609218296569827,0.29376854599406527,4237.438674579624,liquidity,usable_after_t_close,0.01103299492813537,0.08092797953451496,True
screened,10d,turnover_rate,2022,-0.06742755096012658,-0.07567108907188816,0.16788303731989992,-6.375743524869499,0.3486646884272997,4232.507912957468,liquidity,usable_after_t_close,0.005825915989627664,0.06742755096012658,True
screened,5d,log_amount,2027,-0.0632037543090167,-0.07051209992776197,0.14399561333445735,-6.967771251706737,0.31820424272323633,4243.211149481993,liquidity,usable_after_t_close,0.005049589922424069,0.0632037543090167,True
screened,5d,turnover_rate,2027,-0.05410916718260954,-0.06044128512209403,0.16797294920430614,-5.113659098997315,0.3734583127775037,4238.285150468673,liquidity,usable_after_t_close,0.001826901460606969,0.05410916718260954,True
screened,10d,stock_ret_20d,2002,-0.04981956450806205,-0.041520531664665176,0.14185861672035682,-5.574994927817758,0.3691308691308691,4247.925074925075,price_momentum,usable_after_t_close,0.006717904044662261,0.04981956450806205,True
screened,10d,stock_ret_60d,1962,-0.04969425749294563,-0.04797650144761404,0.14987949605706843,-5.2633742589158485,0.3730886850152905,4268.555555555556,price_momentum,usable_after_t_close,0.006251536804348985,0.04969425749294563,True
screened,3d,log_amount,2029,-0.04913865959051971,-0.05676381999378827,0.14349602453662372,-5.43605330344435,0.354361754558896,4246.087235091178,liquidity,usable_after_t_close,0.0020362423721772575,0.04913865959051971,True
screened,10d,stock_amount_share_in_industry,2022,-0.047757715883366726,-0.04728977440789644,0.12683452456257488,-5.977317604065891,0.3545994065281899,4237.438674579624,liquidity_crowding,usable_after_t_close,0.010371926563187814,0.047757715883366726,True
screened,10d,stock_rel_industry_ret_20d,2002,-0.045155085194168575,-0.038406866230186396,0.10340512920166255,-6.932100570410619,0.3196803196803197,4247.925074925075,relative_strength,diagnostic_industry_snapshot,0.006911028686252084,0.045155085194168575,True
screened,3d,turnover_rate,2029,-0.0435075162103312,-0.04705009673640631,0.17047978218832716,-4.051274582020062,0.38984721537703304,4241.163134549039,liquidity,usable_after_t_close,0.0003524307546356714,0.0435075162103312,True
screened,5d,stock_ret_20d,2007,-0.041275498686429754,-0.040776422569390194,0.14690784941368856,-4.460130831686827,0.3866467364225212,4253.22869955157,price_momentum,usable_after_t_close,0.003572093168558866,0.041275498686429754,True
screened,5d,stock_ret_60d,1967,-0.04035734912095861,-0.03807076292052796,0.156276557513548,-4.099482777713901,0.4072191154041688,4273.597864768683,price_momentum,usable_after_t_close,0.0032678404341276775,0.04035734912095861,True
screened,10d,stock_rel_industry_ret_60d,1962,-0.038464399828459804,-0.03520460526092457,0.10953927008290686,-5.574287807382815,0.3659531090723751,4268.555555555556,relative_strength,diagnostic_industry_snapshot,0.00590767832584814,0.038464399828459804,True
screened,5d,stock_rel_industry_ret_20d,2007,-0.038094133277598134,-0.035879130684487934,0.10584689637536478,-5.713210675860623,0.34728450423517687,4253.22869955157,relative_strength,diagnostic_industry_snapshot,0.0037890577842933986,0.038094133277598134,True
screened,5d,stock_amount_share_in_industry,2027,-0.03563659610332773,-0.03733713980813409,0.12512877985700496,-4.521049640378811,0.36901825357671436,4243.211149481993,liquidity_crowding,usable_after_t_close,0.004947836234120521,0.03563659610332773,True
screened,10d,log_total_mv,2022,-0.03424122029807453,-0.042504966146246714,0.18122840988662675,-2.999322905920413,0.39119683481701284,4232.507912957468,size,usable_after_t_close,0.010703784635616333,0.03424122029807453,True
