universe,horizon,factor,decile,days,observations,mean_daily_return,median_daily_return,positive_daily_rate
screened,3d,stock_ret_1d,1,2028,860371,0.002094169173667574,0.0018093699775608703,0.5241617357001972
screened,3d,stock_ret_1d,2,2028,861356,0.0023563352927498415,0.002778348379236314,0.5502958579881657
screened,3d,stock_ret_1d,3,2028,860862,0.0023181848227632022,0.003087019072295726,0.5576923076923077
screened,3d,stock_ret_1d,4,2028,861427,0.0023714865903417945,0.003071496234295346,0.5586785009861933
screened,3d,stock_ret_1d,5,2028,861341,0.002395762433648492,0.002992720793283836,0.5611439842209073
screened,3d,stock_ret_1d,6,2028,860638,0.0024588079629149413,0.003382462514438355,0.5626232741617357
screened,3d,stock_ret_1d,7,2028,862332,0.0025043127756051602,0.0030286408563286963,0.564595660749507
screened,3d,stock_ret_1d,8,2028,860592,0.0024587662062639662,0.00314486023687088,0.5636094674556213
screened,3d,stock_ret_1d,9,2028,861204,0.0022434070593115607,0.002789203545944867,0.5507889546351085
screened,3d,stock_ret_1d,10,2028,862104,0.0016533960484919103,0.0021634300108220204,0.5399408284023669
screened,3d,stock_ret_5d,1,2024,858989,0.002475508969767655,0.0022560606823813804,0.5340909090909091
screened,3d,stock_ret_5d,2,2024,860132,0.002396136287356141,0.0024904957768146496,0.5444664031620553
screened,3d,stock_ret_5d,3,2024,859712,0.0023473835646097957,0.0023114634543332092,0.5503952569169961
screened,3d,stock_ret_5d,4,2024,860224,0.002394769833555988,0.0029564395153690347,0.5548418972332015
screened,3d,stock_ret_5d,5,2024,859997,0.0024731026270861296,0.003123736679440719,0.5602766798418972
screened,3d,stock_ret_5d,6,2024,859731,0.0024393102143107355,0.003032694886514863,0.5612648221343873
screened,3d,stock_ret_5d,7,2024,859780,0.0025412096749939995,0.003471278204258566,0.5681818181818182
screened,3d,stock_ret_5d,8,2024,860037,0.0025048968325391556,0.003098485717751572,0.5617588932806324
screened,3d,stock_ret_5d,9,2024,859825,0.0023088596449748157,0.0026200660177901885,0.5657114624505929
screened,3d,stock_ret_5d,10,2024,860846,0.0010374049555857124,0.0017452041188345466,0.5301383399209486
screened,3d,stock_ret_20d,1,2009,854121,0.002746679507201262,0.002615753134223158,0.5360876057740169
screened,3d,stock_ret_20d,2,2009,855144,0.002214050318554988,0.0022628443882191126,0.5345943255350921
screened,3d,stock_ret_20d,3,2009,854878,0.0022982422996197303,0.002579188371987219,0.547536087605774
screened,3d,stock_ret_20d,4,2009,855109,0.002352960751666058,0.002821052991889885,0.5559980089596814
screened,3d,stock_ret_20d,5,2009,855351,0.0025051107751440983,0.0031257599839617342,0.5614733698357391
screened,3d,stock_ret_20d,6,2009,854722,0.0026363140144389265,0.0034016647760035223,0.5689397710303634
screened,3d,stock_ret_20d,7,2009,854872,0.0026502290637722492,0.0032687683439737874,0.5684420109507218
screened,3d,stock_ret_20d,8,2009,855143,0.0026424228567456763,0.0036048876438351477,0.5664509706321553
screened,3d,stock_ret_20d,9,2009,854903,0.002402762420367025,0.003354858928690674,0.5609756097560976
screened,3d,stock_ret_20d,10,2009,855937,0.001331487973447683,0.00198949227304467,0.5316077650572424
screened,3d,stock_ret_60d,1,1969,841084,0.002951527792661261,0.0023746682060481867,0.5403758252920264
screened,3d,stock_ret_60d,2,1969,842078,0.0024091332605202915,0.002321446119910013,0.5418994413407822
screened,3d,stock_ret_60d,3,1969,841864,0.0023553235875708807,0.0025547697185627685,0.5469781615033011
screened,3d,stock_ret_60d,4,1969,842039,0.002239666232917568,0.0027479061450595903,0.5611985779583545
screened,3d,stock_ret_60d,5,1969,842293,0.0023275850566629166,0.002771851891602883,0.563737938039614
screened,3d,stock_ret_60d,6,1969,841660,0.0023907409859138793,0.002793423659010208,0.5617064499746064
screened,3d,stock_ret_60d,7,1969,841865,0.0025200662425562638,0.0034293507567214783,0.5693245302183849
screened,3d,stock_ret_60d,8,1969,842057,0.002320425886255029,0.003744085764260869,0.5622143219908583
screened,3d,stock_ret_60d,9,1969,841874,0.0023243738227941794,0.0032802965332901805,0.5561198577958355
screened,3d,stock_ret_60d,10,1969,842860,0.0015592159567628687,0.002290203315117677,0.5368207211782631
screened,3d,stock_rel_industry_ret_1d,1,2028,860315,0.002322824107082146,0.0020908356482908777,0.5374753451676528
screened,3d,stock_rel_industry_ret_1d,2,2028,861301,0.0024289133514040166,0.003386552819491206,0.5512820512820513
screened,3d,stock_rel_industry_ret_1d,3,2028,861109,0.0024823898567922823,0.003393751150048474,0.5591715976331361
screened,3d,stock_rel_industry_ret_1d,4,2028,861325,0.0024644798332251073,0.003174792753166151,0.5552268244575936
screened,3d,stock_rel_industry_ret_1d,5,2028,861571,0.00240782116224197,0.00292845635143176,0.5571992110453649
screened,3d,stock_rel_industry_ret_1d,6,2028,860869,0.0024040396078524435,0.003137152265404728,0.5562130177514792
screened,3d,stock_rel_industry_ret_1d,7,2028,861166,0.002339302761151217,0.002952316690031598,0.5621301775147929
screened,3d,stock_rel_industry_ret_1d,8,2028,861300,0.0022767058596708982,0.00302203581883959,0.5636094674556213
screened,3d,stock_rel_industry_ret_1d,9,2028,861122,0.0020683511533901035,0.002683145494919621,0.5542406311637081
screened,3d,stock_rel_industry_ret_1d,10,2028,862149,0.0016627083380046034,0.002318728154186064,0.5428994082840237
screened,3d,stock_rel_industry_ret_5d,1,2024,859020,0.0028627479305752524,0.0028378336527498903,0.5459486166007905
screened,3d,stock_rel_industry_ret_5d,2,2024,860020,0.0026373010646416123,0.002941948521024084,0.5469367588932806
screened,3d,stock_rel_industry_ret_5d,3,2024,859821,0.002585224012337945,0.0033562143541291875,0.5523715415019763
screened,3d,stock_rel_industry_ret_5d,4,2024,860017,0.002597188495312655,0.0030900459109708136,0.5602766798418972
screened,3d,stock_rel_industry_ret_5d,5,2024,860260,0.0024231993634376754,0.003032297775618897,0.5563241106719368
screened,3d,stock_rel_industry_ret_5d,6,2024,859628,0.002390869312886158,0.0029334659505877315,0.5612648221343873
screened,3d,stock_rel_industry_ret_5d,7,2024,859800,0.0021703983065543826,0.002958500604321831,0.5617588932806324
screened,3d,stock_rel_industry_ret_5d,8,2024,860030,0.002241481213681249,0.0030640678394867425,0.5642292490118577
screened,3d,stock_rel_industry_ret_5d,9,2024,859826,0.0020116789765392967,0.002726868937014213,0.5597826086956522
screened,3d,stock_rel_industry_ret_5d,10,2024,860851,0.0009986935387685232,0.0017616156257869195,0.5375494071146245
screened,3d,stock_rel_industry_ret_20d,1,2009,854121,0.003003761127863271,0.003018409377962535,0.5435540069686411
screened,3d,stock_rel_industry_ret_20d,2,2009,855113,0.00276992607574648,0.003416516646677746,0.5520159283225485
screened,3d,stock_rel_industry_ret_20d,3,2009,854912,0.002632755544173412,0.0029843915803081976,0.5559980089596814
screened,3d,stock_rel_industry_ret_20d,4,2009,855111,0.002632088502996721,0.0029083810949087525,0.560477849676456
screened,3d,stock_rel_industry_ret_20d,5,2009,855333,0.00244308789467974,0.003315732928691414,0.560477849676456
screened,3d,stock_rel_industry_ret_20d,6,2009,854716,0.002373274567070679,0.003112311139935742,0.5644599303135889
screened,3d,stock_rel_industry_ret_20d,7,2009,854916,0.002287945567953151,0.002901198495736031,0.5619711299153808
screened,3d,stock_rel_industry_ret_20d,8,2009,855103,0.0022127625386731634,0.0029946153719239603,0.554006968641115
screened,3d,stock_rel_industry_ret_20d,9,2009,854919,0.0021426337151056966,0.0031357549236815893,0.5599800895968143
screened,3d,stock_rel_industry_ret_20d,10,2009,855936,0.0012826187178884728,0.002068567190334138,0.5331010452961672
screened,3d,stock_rel_industry_ret_60d,1,1969,841081,0.0030480633073299494,0.002809224477047004,0.5500253936008126
screened,3d,stock_rel_industry_ret_60d,2,1969,842071,0.002540855241936126,0.002754109313212485,0.5454545454545454
screened,3d,stock_rel_industry_ret_60d,3,1969,841862,0.0024488084757212565,0.0024306284303979918,0.558151345860843
screened,3d,stock_rel_industry_ret_60d,4,1969,842054,0.0024529502464729932,0.0029703449685487,0.5556119857795836
screened,3d,stock_rel_industry_ret_60d,5,1969,842274,0.0024067296037615506,0.002880769983474923,0.5642458100558659
screened,3d,stock_rel_industry_ret_60d,6,1969,841679,0.0021713529781005802,0.002629801571759793,0.5566277298120873
screened,3d,stock_rel_industry_ret_60d,7,1969,841860,0.0022305712957953034,0.0028493918555081606,0.5576434738445911
screened,3d,stock_rel_industry_ret_60d,8,1969,842055,0.0022497221288264855,0.00309567899518301,0.5642458100558659
screened,3d,stock_rel_industry_ret_60d,9,1969,841877,0.0022409154301768555,0.00294811570180498,0.5485017775520569
screened,3d,stock_rel_industry_ret_60d,10,1969,842861,0.0016081753254723657,0.0020578298731671347,0.531742001015744
screened,3d,industry_ret_5d,1,2024,857850,0.0014588406154634847,0.0018643568384967392,0.5286561264822134
screened,3d,industry_ret_5d,2,2024,862950,0.0018603430784153484,0.002380601786807033,0.5419960474308301
screened,3d,industry_ret_5d,3,2024,860500,0.0019047412136801382,0.0020030769431757705,0.5355731225296443
screened,3d,industry_ret_5d,4,2024,859200,0.00221977856027297,0.002952577486126662,0.5518774703557312
screened,3d,industry_ret_5d,5,2024,859166,0.002538661362056046,0.0030123827091743374,0.5469367588932806
screened,3d,industry_ret_5d,6,2024,859233,0.002377751777320052,0.0028614899179286906,0.558300395256917
screened,3d,industry_ret_5d,7,2024,862370,0.0026501265055692653,0.0029712485240543153,0.5607707509881423
screened,3d,industry_ret_5d,8,2024,861874,0.002793813675228073,0.0036735667594390694,0.5681818181818182
screened,3d,industry_ret_5d,9,2024,856205,0.00276699558751401,0.0026220538868668543,0.5518774703557312
screened,3d,industry_ret_5d,10,2024,860530,0.002268376884866887,0.0030210719175968893,0.5513833992094862
screened,3d,industry_ret_20d,1,2009,853840,0.0015499239565199827,0.0022597280964999,0.5370831259333001
screened,3d,industry_ret_20d,2,2009,855999,0.0018480417916391999,0.0021208755138340933,0.532105525136884
screened,3d,industry_ret_20d,3,2009,853135,0.002048020118766415,0.0022380834738562976,0.5470383275261324
screened,3d,industry_ret_20d,4,2009,859272,0.0019185280946109938,0.0020307481118079446,0.5430562468889994
screened,3d,industry_ret_20d,5,2009,850316,0.0025466940834131795,0.0023911499309031406,0.5559980089596814
screened,3d,industry_ret_20d,6,2009,860305,0.0026788923233921494,0.0033928908648545183,0.5574912891986062
screened,3d,industry_ret_20d,7,2009,856349,0.002876879981468496,0.003355421301563082,0.5559980089596814
screened,3d,industry_ret_20d,8,2009,855360,0.002807301378190176,0.003550542400089967,0.5584868093578895
screened,3d,industry_ret_20d,9,2009,851886,0.0029318731460210488,0.0034037903918548605,0.5550024888003982
screened,3d,industry_ret_20d,10,2009,856934,0.002581457739084497,0.0030979167350383818,0.5530114484818317
screened,3d,industry_ret_60d,1,1969,841680,0.002188526007518186,0.001883787570757543,0.5398679532757745
screened,3d,industry_ret_60d,2,1969,842868,0.0019600850500880907,0.0016723197299116283,0.5327577450482478
screened,3d,industry_ret_60d,3,1969,845438,0.0024047694788448992,0.002455064147296121,0.5505332656170645
screened,3d,industry_ret_60d,4,1969,840549,0.00208130619524797,0.0025531989653000795,0.5500253936008126
screened,3d,industry_ret_60d,5,1969,847127,0.0025250757714025155,0.0030397202827512895,0.553580497714576
screened,3d,industry_ret_60d,6,1969,841170,0.0023687653740776947,0.0023135839332103347,0.5418994413407822
screened,3d,industry_ret_60d,7,1969,842756,0.0023335459228098505,0.002857494548205237,0.5591670898933468
screened,3d,industry_ret_60d,8,1969,841322,0.0027338995520716724,0.003220963928801018,0.5571356018283392
screened,3d,industry_ret_60d,9,1969,841320,0.0024376438481609384,0.0032352132699081776,0.5449466734382935
screened,3d,industry_ret_60d,10,1969,848264,0.0022815389427140844,0.0029598379924486037,0.5444388014220416
screened,3d,industry_breadth_20d,1,2020,860424,0.001432126899281966,0.001964006641550543,0.5361386138613862
screened,3d,industry_breadth_20d,2,2020,857478,0.0017265656532471322,0.0027511049628839547,0.5445544554455446
screened,3d,industry_breadth_20d,3,2020,856818,0.002102549506568232,0.0021096321572742437,0.5445544554455446
screened,3d,industry_breadth_20d,4,2020,854298,0.0019136651790832304,0.0026279294204799098,0.5455445544554456
screened,3d,industry_breadth_20d,5,2020,865333,0.001881401757400597,0.0017513017719269779,0.5376237623762377
screened,3d,industry_breadth_20d,6,2020,857081,0.002808701502836666,0.0036745981713563664,0.5594059405940595
screened,3d,industry_breadth_20d,7,2020,857093,0.0027579392954497624,0.0030187750445040042,0.5534653465346535
screened,3d,industry_breadth_20d,8,2020,862559,0.002976768883882648,0.0036898728818415298,0.5638613861386138
screened,3d,industry_breadth_20d,9,2020,858864,0.0028659931112692133,0.0032725169234425746,0.5495049504950495
screened,3d,industry_breadth_20d,10,2020,857535,0.0027919321999138286,0.003122775363120032,0.5554455445544555
screened,3d,industry_breadth_60d,1,2000,849396,0.0020608041386455138,0.0023139893696209907,0.553
screened,3d,industry_breadth_60d,2,2000,853677,0.0019798902780517754,0.0018615251471663847,0.543
screened,3d,industry_breadth_60d,3,2000,855693,0.002208669054169764,0.002586723722660181,0.549
screened,3d,industry_breadth_60d,4,2000,846587,0.002166555444316738,0.00271005491294167,0.551
