universe,horizon,factor,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n,factor_group,point_in_time_status
all_valid,3d,industry_amount_share,2029,-0.011489174035706597,-0.009215885476131933,0.1496240063972059,-1.2189553534874853,0.47806801379990144,4563.326269098078,industry_crowding,diagnostic_industry_snapshot
all_valid,3d,stock_amount_share_in_industry,2029,-0.027966787112285757,-0.031584821584122715,0.11352573189212466,-3.9106462879572392,0.39083292262198127,4563.326269098078,liquidity_crowding,usable_after_t_close
all_valid,3d,turnover_rate,2029,-0.04779301094734896,-0.050025387808936526,0.1654810990748503,-4.584756401085218,0.38294726466239526,4540.662888122228,liquidity,usable_after_t_close
all_valid,3d,log_amount,2029,-0.05125151387243308,-0.05480837164318849,0.1386327495013048,-5.868689491183696,0.34351897486446525,4563.326269098078,liquidity,usable_after_t_close
all_valid,3d,log_total_mv,2029,-0.017445429304351532,-0.024566626229835003,0.16671017974902605,-1.6611919268598478,0.4425825529817644,4540.662888122228,size,usable_after_t_close
all_valid,3d,stock_ret_1d,2028,-0.009061256944619307,-0.005289137050177296,0.127533991005531,-1.1278796618266236,0.47633136094674555,4562.832840236686,price_momentum_reversal,usable_after_t_close
all_valid,3d,stock_rel_industry_ret_1d,2028,-0.009510361215372251,-0.005501829869139651,0.08888894356537118,-1.6984373744366188,0.46942800788954636,4562.832840236686,relative_strength,diagnostic_industry_snapshot
all_valid,3d,stock_ret_5d,2024,-0.026002585722989354,-0.02024598067438823,0.13651048368953203,-3.0237842578068883,0.42638339920948615,4560.835968379447,price_momentum_reversal,usable_after_t_close
all_valid,3d,stock_rel_industry_ret_5d,2024,-0.026020695146741858,-0.021330125499875785,0.09963971049683572,-4.14559343595186,0.39377470355731226,4560.835968379447,relative_strength,diagnostic_industry_snapshot
all_valid,3d,industry_ret_5d,2024,-0.0044357301602301,-0.0008887621530688004,0.1290565338382664,-0.5456138579546022,0.4980237154150198,4566.537549407115,industry_strength,diagnostic_industry_snapshot
all_valid,3d,industry_breadth_20d,2020,-0.0034361192175502695,-0.001706160218480457,0.12796545439265616,-0.4262611484305217,0.49603960396039604,4569.110891089109,industry_breadth,diagnostic_industry_snapshot
all_valid,3d,industry_amount_share_roll20d,2020,-0.009789468080415701,-0.006171785856863056,0.15160937650754097,-1.0250222752059082,0.4866336633663366,4569.110891089109,industry_crowding,diagnostic_industry_snapshot
all_valid,3d,stock_ret_20d,2009,-0.0340514866723538,-0.029704483346306473,0.1459891300714816,-3.7026769923061935,0.4131408661025386,4553.3598805375805,price_momentum,usable_after_t_close
all_valid,3d,stock_rel_industry_ret_20d,2009,-0.03193228339227974,-0.03031040614005529,0.1056461633521786,-4.798179771210857,0.366351418616227,4553.3598805375805,relative_strength,diagnostic_industry_snapshot
