rule_id,horizon,top_n,random_sims,random_cumret_mean,random_cumret_median,random_cumret_p05,random_cumret_p95,random_cumret_min,random_cumret_max,rule_cumret_percentile
low_log_amount,3d,20,500,47.327291327654336,42.88468270571033,19.653963229821862,88.22835896721683,10.785696275633558,253.46044816523084,0.986
low_turnover_rate,3d,20,500,47.527924348155224,44.19315834103776,21.499268230477746,84.82384354568022,10.344745868446807,127.46312342959177,0.0
low_stock_amount_share_in_industry,3d,20,500,47.25522480254456,43.174769086254386,21.640636052264554,86.06833125857116,12.054318415855956,145.23512321750175,1.0
low_log_total_mv,3d,20,500,46.65474833768481,42.639118508764305,20.10558956609877,87.52419358210805,10.919698039260082,151.61149205218302,1.0
low_stock_ret_5d,3d,20,500,48.52979895763017,43.650433954158274,19.5743536632993,95.36331250460212,8.91062614919208,166.76120505956462,0.0
low_stock_ret_20d,3d,20,500,55.27802799932825,49.562721874601834,23.071578523732487,99.14135648489105,9.608884455293918,204.74263603921378,0.994
low_stock_ret_60d,3d,20,500,45.37412346747686,41.3729297724732,19.371723642028233,81.21338648875937,12.590175639732395,128.7969062114621,1.0
high_stock_ret_20d,3d,20,500,54.88862500737107,49.60915307544158,23.238150248022823,104.98322605294905,13.490968209907688,210.48467688860438,0.0
high_stock_ret_60d,3d,20,500,48.627084096603326,42.39659720384679,19.993935286622115,97.44073052353386,10.964647679416453,136.50362502752256,0.0
low_stock_rel_industry_ret_20d,3d,20,500,55.752220670823284,50.50219412760704,25.039148225129328,109.62438176069843,10.960218396642597,239.23544938061673,0.936
low_stock_rel_industry_ret_60d,3d,20,500,45.60530959475023,41.96976334238531,20.244866836187946,81.91644453636783,10.039734792303959,145.04242417827294,1.0
low_industry_crowding_score,3d,20,500,46.844317412326824,42.46134677315436,21.42996523470516,87.15305849572165,12.420069214227334,146.25672512601,0.034
high_industry_ret_20d,3d,20,500,52.47921438675068,48.58369060696482,24.0567909878429,91.25498792557958,9.510765352669534,150.42158106561178,0.0
low_industry_ret_60d,3d,20,500,47.513144184987404,42.335430011329635,20.500460631503053,88.89915812686674,11.853389565188095,191.89617873237427,0.0
