rule_id,rule_group,horizon,top_n,factors,directions,uses_industry_snapshot,primary_rule,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return,random_sims,random_cumret_mean,random_cumret_median,random_cumret_p05,random_cumret_p95,random_cumret_min,random_cumret_max,rule_cumret_percentile,eligible_for_training_plan
low_log_total_mv,size_inverse,10d,20,log_total_mv,low,False,True,2022,40440,20.0,5793460113.173466,0.015177921908974884,0.0039853375379394875,0.5316518298714145,0.491839762611276,1.6994775397228894,1.5359766757616773,-0.996459142863129,0.015177921908974887,1.224846807378454,-0.2390571474506234,500,11136.569812428901,7939.932454647021,2135.08598309472,26719.095249700866,859.9602431447763,99856.05958519918,1.0,True
low_stock_amount_share_in_industry,liquidity_crowding_inverse,10d,20,stock_amount_share_in_industry,low,False,True,2022,40440,20.0,52357512.53313346,0.011017191198098821,0.004761637916706712,0.549455984174085,0.5028437190900099,1.6710208911641868,1.4728701747550708,-0.9926810269270534,0.011017191198098823,0.8317090722412507,-0.21507111049109945,500,11648.188019306494,8201.906719513594,2671.824526700885,30441.9409182432,489.0605766599883,73053.71279002652,1.0,True
low_log_amount,liquidity_inverse,10d,20,log_amount,low,False,True,2022,40440,20.0,2619562.4400753924,0.009476454131167935,0.0031978778784230943,0.5301681503461919,0.4979970326409496,1.5899255566389687,1.4353295938254627,-0.9951006788518085,0.009476454131167936,0.7743388104725403,-0.22053875526726013,500,11446.439781378054,8099.324730458828,2233.1532851054794,30281.244683841713,793.123438350831,145506.60872712277,1.0,True
low_log_total_mv,size_inverse,5d,20,log_total_mv,low,False,True,2027,40540,20.0,210416.81947605,0.00796667721496163,0.0020706513918240963,0.5209669462259496,0.4892698569314258,1.498413343216287,1.3797086600057538,-0.9490676611415909,0.007966677214961632,0.8360219767519196,-0.1873332405624371,500,249.9047850908654,202.6795131571418,73.31787049210696,568.1787882456922,37.70016959396647,1129.2452009651427,1.0,True
combo_low_size_low_liquidity,combo,10d,20,log_total_mv|log_amount|turnover_rate,low|low|low,False,True,2022,40440,20.0,132079.86014452938,0.007767416178109583,0.0044699677472641065,0.539564787339268,0.5067754698318496,1.466978008827714,1.3492330119649947,-0.990594991635384,0.007767416178109581,0.7944254042038678,-0.28819887471928685,500,10706.731732532975,8257.959135258388,2114.4163012677723,28845.421987611266,782.0173398698547,81471.7955855388,1.0,True
low_stock_amount_share_in_industry,liquidity_crowding_inverse,5d,20,stock_amount_share_in_industry,low,False,True,2027,40540,20.0,13863.297402321035,0.0057601616152103685,0.0023751040482757222,0.5328071040947213,0.4980759743463246,1.4963370844565367,1.349973718294825,-0.883207702552175,0.0057601616152103685,0.709650002325744,-0.1896592183056902,500,247.07964668718864,213.08542617283808,76.84739973012985,564.967585060573,25.734028402870837,951.9321354706443,1.0,True
low_log_amount,liquidity_inverse,5d,20,log_amount,low,False,True,2027,40540,20.0,3328.258391085165,0.004964489070742337,0.0018677881426912458,0.5323137641835225,0.49674395658608783,1.4464532395983063,1.3239851191109084,-0.9024614423285247,0.004964489070742338,0.5790057781756983,-0.1922285893773429,500,243.39763775435975,205.31141884136437,75.05585304427399,537.2836122897331,31.748908223260848,1559.8177399249967,1.0,True
low_log_total_mv,size_inverse,3d,20,log_total_mv,low,False,True,2029,40580,20.0,2922.0204815757,0.004974783994604902,0.0002838246399930244,0.5036964021685559,0.4818383440118285,1.4200107319183415,1.3084756663726609,-0.8092994394650468,0.004974783994604903,0.6050482856886121,-0.1750906128382441,500,46.65474833768481,42.639118508764305,20.10558956609877,87.52419358210805,10.919698039260082,151.61149205218302,1.0,True
low_stock_ret_60d,medium_reversal,3d,20,stock_ret_60d,low,False,True,1969,39380,20.0,415.01702387211975,0.003962036164868288,0.0009952439793933898,0.5114271203656678,0.462798374809548,1.3002437392958868,1.1879801785949609,-0.8334109691098514,0.0039620361648682895,0.38764050721857457,-0.18600850999527102,500,45.37412346747686,41.3729297724732,19.371723642028233,81.21338648875937,12.590175639732395,128.7969062114621,1.0,True
low_stock_amount_share_in_industry,liquidity_crowding_inverse,3d,20,stock_amount_share_in_industry,low,False,True,2029,40580,20.0,272.5155966373837,0.0032892318898613024,0.0015540103819849215,0.5332676195170034,0.4924100542138985,1.382173688505725,1.262278115228985,-0.7156280356416418,0.0032892318898613024,0.5355075848286952,-0.18595769283495106,500,47.25522480254456,43.174769086254386,21.640636052264554,86.06833125857116,12.054318415855956,145.23512321750175,1.0,True
combo_low_liquidity_weak_momentum,combo,10d,20,log_amount|turnover_rate|stock_ret_20d|stock_ret_60d,low|low|low|low,False,True,1962,39240,20.0,125972.9274723249,0.007651491877062872,0.00551908996219293,0.5555555555555556,0.5048929663608562,1.4692804496166734,1.3109405882252063,-0.9866710185012929,0.00765149187706287,0.46998821507604854,-0.26234085661079315,500,16204.527810148307,11583.251421930228,2945.7743300622697,44610.56367967086,1125.6434824746884,212944.8614075282,0.998,True
combo_low_liquidity_weak_momentum,combo,5d,20,log_amount|turnover_rate|stock_ret_20d|stock_ret_60d,low|low|low|low,False,True,1967,39340,20.0,1198.8287140007444,0.004481165725271738,0.0034950630399203596,0.5460091509913574,0.4949415353329944,1.3824080466605486,1.256510238865084,-0.9141151551298855,0.004481165725271739,0.5914288577738238,-0.22707616071038067,500,264.9382313626469,222.4189534118866,83.91972600970652,566.7991750074311,34.93346218777858,1367.3641982218921,0.996,True
low_stock_ret_60d,medium_reversal,5d,20,stock_ret_60d,low,False,True,1967,39340,20.0,1138.9051216875944,0.005148756985119134,0.0015621706960094628,0.5078800203355364,0.46514997458057955,1.293406236330062,1.184511161684988,-0.9401913787283557,0.005148756985119135,0.5038933438839511,-0.23264626820832907,500,266.77229169632096,224.73134890049874,85.09395471082898,592.5284111338988,29.63827013608596,1675.9173306833197,0.996,True
combo_low_size_low_liquidity,combo,5d,20,log_total_mv|log_amount|turnover_rate,low|low|low,False,True,2027,40540,20.0,797.9159853960557,0.0041635089761313145,0.003251888549025189,0.5441539220522941,0.5044153922052294,1.365081115757021,1.2691958662413,-0.8881259261654656,0.004163508976131314,0.5266750184450688,-0.23747716216166376,500,237.5016793502483,208.96372090828106,82.51777441452307,545.0441799310578,41.98938238826302,1039.8322572673546,0.994,True
low_stock_ret_20d,medium_reversal,3d,20,stock_ret_20d,low,False,True,2009,40180,20.0,192.051406218964,0.0034287915814195597,0.0025848893988592468,0.5355898456943753,0.47105525136884024,1.2684782416391944,1.161911843536678,-0.7352071065780218,0.00342879158141956,0.3202119502291455,-0.18058486766798434,500,55.27802799932825,49.562721874601834,23.071578523732487,99.14135648489105,9.608884455293918,204.74263603921378,0.994,True
low_log_amount,liquidity_inverse,3d,20,log_amount,low,False,True,2029,40580,20.0,120.43347179749892,0.002851411172298096,0.0010507730000479886,0.5229176934450468,0.4916707737801873,1.3457134638158046,1.2448462744125788,-0.752762960020634,0.002851411172298096,0.5452888866418881,-0.1655610244951414,500,47.327291327654336,42.88468270571033,19.653963229821862,88.22835896721683,10.785696275633558,253.46044816523084,0.986,True
combo_weak_momentum,combo,5d,20,stock_ret_20d|stock_ret_60d|stock_rel_industry_ret_20d|stock_rel_industry_ret_60d,low|low|low|low,True,True,1967,39340,20.0,2247.645552542959,0.005330138395814467,0.0026069860784070863,0.5221148957803762,0.4722419928825623,1.3262807828167296,1.2016125793010222,-0.9199791848776433,0.005330138395814467,0.4902365340134713,-0.24343842081183342,500,263.18907578267994,225.36174155807566,89.47972422983963,548.3986550820599,48.18965397363564,1078.5025017531018,1.0,False
combo_weak_momentum,combo,3d,20,stock_ret_20d|stock_ret_60d|stock_rel_industry_ret_20d|stock_rel_industry_ret_60d,low|low|low|low,True,True,1969,39380,20.0,406.2541723452917,0.003858405570876096,0.002226806719090291,0.5312341289994922,0.47262569832402235,1.308807560892108,1.1916757832494265,-0.8053777994173723,0.003858405570876097,0.35152033309944086,-0.1774769153804942,500,47.18257544916957,43.62112992616538,20.42844738392223,90.04879024328092,11.354554976684694,172.30732013377352,1.0,False
low_stock_rel_industry_ret_60d,relative_strength_inverse,3d,20,stock_rel_industry_ret_60d,low,True,True,1969,39380,20.0,202.03941717779128,0.003454263073008783,0.0025140597498917285,0.537328593194515,0.46615033011681056,1.2784909455181341,1.17107028569199,-0.8637814777194993,0.003454263073008783,0.3372446981908165,-0.19020985178945046,500,45.60530959475023,41.96976334238531,20.244866836187946,81.91644453636783,10.039734792303959,145.04242417827294,1.0,False
low_stock_rel_industry_ret_60d,relative_strength_inverse,5d,20,stock_rel_industry_ret_60d,low,True,True,1967,39340,20.0,1254.9571486299776,0.004945287367170379,0.0017506821480935187,0.5155058464667006,0.46835282155566854,1.3043658480082172,1.1856635057106895,-0.9510026998816342,0.004945287367170378,0.44343007348822266,-0.22339557131057788,500,265.1750324909184,221.79325838090926,89.21733922950186,529.0289633559355,39.64989350643649,1459.633922183702,0.994,False
combo_low_liquidity,combo,10d,20,log_amount|turnover_rate|stock_amount_share_in_industry,low|low|low,False,True,2022,40440,20.0,29347.577025886952,0.0066357006905411724,0.004271827034888487,0.5420375865479723,0.49609297725024726,1.4423541758244092,1.3129230310108957,-0.9927191084596056,0.006635700690541173,0.7782830847702817,-0.192160201585943,500,10319.609425650977,7159.821839815222,1845.791183238557,30531.426766478184,437.5141474547552,59350.611800315506,0.946,False
low_stock_rel_industry_ret_20d,relative_strength_inverse,3d,20,stock_rel_industry_ret_20d,low,True,True,2009,40180,20.0,103.986185443376,0.0030607123602840293,0.0018982758028487923,0.5251368840219014,0.46948730711796915,1.243558495818762,1.1440855102982919,-0.7145612629656727,0.0030607123602840298,0.35878307846804447,-0.1740453579385771,500,55.752220670823284,50.50219412760704,25.039148225129328,109.62438176069843,10.960218396642597,239.23544938061673,0.936,False
combo_weak_momentum,combo,10d,20,stock_ret_20d|stock_ret_60d|stock_rel_industry_ret_20d|stock_rel_industry_ret_60d,low|low|low|low,True,True,1962,39240,20.0,20279.990562411534,0.007795601435539678,0.003287031400697521,0.5214067278287462,0.47428644240570844,1.3385123955375302,1.2068152940207992,-0.9854378235012076,0.007795601435539677,0.6275861478684639,-0.282875031901816,500,16668.932426738487,11312.80644105557,2759.640288866744,47071.54769195074,688.2574194064039,146928.48818173658,0.756,False
low_stock_ret_20d,medium_reversal,5d,20,stock_ret_20d,low,False,True,2007,40140,20.0,418.50949149202563,0.004380350530588991,0.00203358279513447,0.5246636771300448,0.46920777279521675,1.2641545916067753,1.1583026853464686,-0.8827569864637711,0.004380350530588991,0.48537986910608116,-0.2077060474760314,500,347.9901991303465,301.56475664112486,112.22678423981529,716.5796614763765,58.238170974695194,1434.2674587077986,0.708,False
combo_low_liquidity,combo,5d,20,log_amount|turnover_rate|stock_amount_share_in_industry,low|low|low,False,True,2027,40540,20.0,253.13727256192695,0.0034250839808776553,0.00264548376218382,0.5441539220522941,0.4955106068080908,1.3360951004226351,1.2337572009257305,-0.8869891862315352,0.003425083980877655,0.512884289504596,-0.18831331656432157,500,237.98085830973625,201.8436036983038,80.72620173461475,507.75237259176606,47.75368787313874,1093.5437948687666,0.632,False
combo_low_liquidity_weak_momentum,combo,3d,20,log_amount|turnover_rate|stock_ret_20d|stock_ret_60d,low|low|low|low,False,True,1969,39380,20.0,46.96102091443337,0.002451877511830959,0.0013473891211568834,0.5236160487557135,0.48905535804977146,1.273523832956353,1.1822173097119857,-0.8468736683452908,0.0024518775118309586,0.46445144292412577,-0.19896789732154163,500,47.034891676608325,42.522131801488975,20.400899240282357,88.97703498156186,10.841250566510494,151.9127652751971,0.596,False
combo_low_size_low_liquidity,combo,3d,20,log_total_mv|log_amount|turnover_rate,low|low|low,False,True,2029,40580,20.0,42.23660252318188,0.0023025328967031487,0.0016522121079260155,0.5332676195170034,0.4974371611631345,1.2722144616461524,1.1939861752838439,-0.7466007952905523,0.0023025328967031483,0.4852930931643972,-0.15017181378819075,500,48.198955857820394,43.636490996222484,20.917098311954597,89.53103191723059,10.62577180941014,156.46046618075013,0.468,False
combo_low_liquidity,combo,3d,20,log_amount|turnover_rate|stock_amount_share_in_industry,low|low|low,False,True,2029,40580,20.0,24.64167361819533,0.001961717394162288,0.0015507980696790324,0.5332676195170034,0.49041399704287825,1.26007685282044,1.1770386689657257,-0.7529729819053885,0.0019617173941622874,0.4712413929070964,-0.15766503085452482,500,47.32137375968294,42.504460817644485,20.051543927354096,90.43791846762427,9.937049441638239,160.10776340554378,0.128,False
low_stock_rel_industry_ret_20d,relative_strength_inverse,5d,20,stock_rel_industry_ret_20d,low,True,True,2007,40140,20.0,155.0391742766183,0.0037341915183984305,0.0020475479589181942,0.5226706527154957,0.46659192825112106,1.2326807942348317,1.1350016419657236,-0.8771748677609128,0.00373419151839843,0.4741280856281003,-0.20599311422443015,500,351.8353009963784,296.24314838809903,120.14484437355708,759.9301059838122,64.64004145728812,1272.7450632312327,0.126,False
low_industry_crowding_score,industry_crowding_inverse,5d,20,industry_crowding_score,low,True,True,1967,39340,20.0,90.24367776630129,0.0030285680969527272,0.0034117727959396605,0.5404168784951703,0.4949923741738688,1.2476277464644117,1.169362429964439,-0.8161539982289051,0.0030285680969527264,0.2395852058990779,-0.21191271498628042,500,277.0825499998163,236.0797893112198,81.92360691801736,620.9810513161972,40.01844483177204,1183.4309897794046,0.06,False
low_industry_crowding_score,industry_crowding_inverse,3d,20,industry_crowding_score,low,True,True,1969,39380,20.0,20.03165237023547,0.0019637109264388883,0.0020458246627599263,0.5413915693245303,0.4914169629253428,1.2114333996215554,1.1445230880962225,-0.6544702168559124,0.001963710926438888,0.19257251725952493,-0.16334533112592484,500,46.844317412326824,42.46134677315436,21.42996523470516,87.15305849572165,12.420069214227334,146.25672512601,0.034,False
low_stock_rel_industry_ret_60d,relative_strength_inverse,10d,20,stock_rel_industry_ret_60d,low,True,True,1962,39240,20.0,2004.6634822719714,0.0063915893127232,0.002199084701425294,0.5127420998980632,0.46735474006116207,1.2747760889946895,1.1679559252336842,-0.9949759574437138,0.0063915893127231985,0.5062688883956656,-0.231039252531322,500,16459.997958677985,11387.928082483788,3110.2380515334526,43362.81502629665,1546.145058808417,182778.9394824278,0.008,False
low_stock_ret_60d,medium_reversal,10d,20,stock_ret_60d,low,False,True,1962,39240,20.0,1758.6515622808613,0.006849191180701461,0.0022180811155630533,0.5132517838939857,0.46590214067278285,1.2716180102771824,1.1720696567191045,-0.9947350091142398,0.006849191180701462,0.5851351796459621,-0.2752767836365791,500,16656.031906222102,11702.586411491715,3465.84420178079,46319.636209645316,954.3558003237446,215871.844489511,0.006,False
low_turnover_rate,liquidity_inverse,5d,20,turnover_rate,low,False,True,2027,40540,20.0,38.37541217056485,0.0020685382692205018,0.001531194709424033,0.5313270843611249,0.4854958066107548,1.317582247610073,1.1873700366218827,-0.6571519541361261,0.0020685382692205018,0.2536967822848308,-0.10575696600351434,500,241.82196078676736,208.21055111003085,67.9620872451022,528.0301491373369,23.954928217854434,1347.155440664032,0.004,False
low_turnover_rate,liquidity_inverse,10d,20,turnover_rate,low,False,True,2022,40440,20.0,935.8000511660399,0.003944090832173528,0.0035416182722262848,0.5712166172106825,0.4944856577645895,1.4419235694169952,1.2492108965733428,-0.8631035128124678,0.003944090832173528,0.38936086612458054,-0.13141072951093055,500,11014.38166659197,7799.516340391157,2369.0560378361583,30684.25279534872,642.08118225053,105941.63315130789,0.002,False
low_industry_crowding_score,industry_crowding_inverse,10d,20,industry_crowding_score,low,True,True,1962,39240,20.0,976.7211488493175,0.00495872477829849,0.004984333750012185,0.545361875637105,0.49954128440366974,1.2853990917291012,1.1924759891830417,-0.9684017158647223,0.004958724778298489,0.41324645289541095,-0.2109194104846419,500,15482.054445487978,11270.424389712001,2662.345899011029,42018.75271915233,1336.9529591781068,150462.585267633,0.0,False
low_stock_ret_20d,medium_reversal,10d,20,stock_ret_20d,low,False,True,2002,40040,20.0,541.9057020097199,0.005674016130426804,0.0030801770969362237,0.524975024975025,0.46550949050949053,1.2469595952325776,1.144798840885948,-0.9925221463931204,0.0056740161304268035,0.5671014999158326,-0.2282064323044629,500,35596.06883340675,26533.199865098624,6380.369301576174,95960.01852033967,2392.936467046007,233812.96950456811,0.0,False
low_stock_rel_industry_ret_20d,relative_strength_inverse,10d,20,stock_rel_industry_ret_20d,low,True,True,2002,40040,20.0,341.9927273171476,0.005220410716950217,0.00348669573872675,0.5254745254745254,0.46296203796203794,1.2349343248566695,1.1337876133877656,-0.993305256774224,0.005220410716950217,0.5432330606950437,-0.254842475878046,500,34817.14330651721,25287.776892503076,6239.23748094315,94506.79050094353,1328.545733022402,314908.7636701269,0.0,False
low_industry_ret_60d,industry_reversal,10d,20,industry_ret_60d,low,True,True,1962,39240,20.0,28.445526000485337,0.0034154626589879156,0.0029259675675620657,0.5259938837920489,0.4922782874617737,1.1739604085456201,1.118051817019479,-0.9982665531030028,0.003415462658987916,0.4594744244888222,-0.24299863533566096,500,15125.460751859855,10711.104154645269,2955.949937065287,44710.60182743321,1312.5229388513308,100243.81753593386,0.0,False
low_turnover_rate,liquidity_inverse,3d,20,turnover_rate,low,False,True,2029,40580,20.0,8.214384468140194,0.00122881363026862,0.0010076991408044245,0.531296205027107,0.48178905864958105,1.255502265072561,1.1481386853509747,-0.4933085945425414,0.0012288136302686203,0.221541590421306,-0.10028308663236751,500,47.527924348155224,44.19315834103776,21.499268230477746,84.82384354568022,10.344745868446807,127.46312342959177,0.0,False
low_stock_ret_5d,short_reversal,3d,20,stock_ret_5d,low,False,True,2024,40480,20.0,7.088574966574958,0.001832045717300666,-0.0004465682419350386,0.4935770750988142,0.4608695652173913,1.1312859054158833,1.0788874110222666,-0.8486404754761948,0.0018320457173006657,0.3290318329201449,-0.17788197890450247,500,48.52979895763017,43.650433954158274,19.5743536632993,95.36331250460212,8.91062614919208,166.76120505956462,0.0,False
high_industry_ret_20d,industry_momentum_control,3d,20,industry_ret_20d,high,True,True,2009,40180,20.0,6.798461944558263,0.00179385914809553,0.00016484827584290485,0.5027376804380289,0.46085116973618717,1.1280982400842188,1.0843379213670734,-0.6977593265214472,0.0017938591480955298,0.2334319523818229,-0.1669338848169059,500,52.47921438675068,48.58369060696482,24.0567909878429,91.25498792557958,9.510765352669534,150.42158106561178,0.0,False
