factor,factor_group,description,point_in_time_status,batch3C_5d_candidate_flag,batch3C_5d_mean_ic,batch3C_5d_icir,batch3C_5d_positive_ic_rate,batch3C_5d_direction_adjusted_spread,expected_direction,training_status,feature_role,transform_freeze,missing_value_policy,reason
stock_ret_1d,price_momentum_reversal,Stock 1-day adjusted return at signal date.,usable_after_t_close,False,-0.008673143248046,-1.0534728266325035,0.4817374136229023,0.0013952217510872,low_factor,blocked_not_candidate,not_selected,not_used_in_primary_training,not_applicable,Did not pass Batch3C 5d candidate screen.
stock_ret_5d,price_momentum_reversal,Stock 5-day adjusted return at signal date.,usable_after_t_close,True,-0.023606530487586,-2.755642151267355,0.4446092977250247,0.0029732928605156,low_factor,primary_training_feature,primary_feature,daily_cross_sectional_rank_pct_then_center,cross_sectional_median_rank,Candidate in Batch3C for 5d and available after T close without concept/theme data.
stock_ret_20d,price_momentum,Stock 20-day adjusted return at signal date.,usable_after_t_close,True,-0.0412754986864297,-4.460130831686827,0.3866467364225212,0.0035720931685588,low_factor,primary_training_feature,primary_feature,daily_cross_sectional_rank_pct_then_center,cross_sectional_median_rank,Candidate in Batch3C for 5d and available after T close without concept/theme data.
stock_ret_60d,price_momentum,Stock 60-day adjusted return at signal date.,usable_after_t_close,True,-0.0403573491209586,-4.099482777713901,0.4072191154041688,0.0032678404341276,low_factor,primary_training_feature,primary_feature,daily_cross_sectional_rank_pct_then_center,cross_sectional_median_rank,Candidate in Batch3C for 5d and available after T close without concept/theme data.
stock_rel_industry_ret_1d,relative_strength,Stock 1-day return minus industry 1-day return.,diagnostic_industry_snapshot,False,-0.0098086269050532,-1.8006178160541195,0.456071076011846,0.0017413855516159,low_factor,blocked_diagnostic_only,diagnostic_grouping,not_used_in_primary_training,not_applicable,Current-snapshot industry dependency; blocked until point-in-time industry source is locked.
stock_rel_industry_ret_5d,relative_strength,Stock 5-day return minus industry 5-day return.,diagnostic_industry_snapshot,True,-0.0243534979562729,-3.9949854641637144,0.4075173095944609,0.0035562252244103,low_factor,blocked_diagnostic_only,diagnostic_grouping,not_used_in_primary_training,not_applicable,Current-snapshot industry dependency; blocked until point-in-time industry source is locked.
stock_rel_industry_ret_20d,relative_strength,Stock 20-day return minus industry 20-day return.,diagnostic_industry_snapshot,True,-0.0380941332775981,-5.713210675860623,0.3472845042351768,0.0037890577842933,low_factor,blocked_diagnostic_only,diagnostic_grouping,not_used_in_primary_training,not_applicable,Current-snapshot industry dependency; blocked until point-in-time industry source is locked.
stock_rel_industry_ret_60d,relative_strength,Stock 60-day return minus industry 60-day return.,diagnostic_industry_snapshot,True,-0.0319571096492181,-4.514040542586672,0.3894255210981189,0.0031622407543799,low_factor,blocked_diagnostic_only,diagnostic_grouping,not_used_in_primary_training,not_applicable,Current-snapshot industry dependency; blocked until point-in-time industry source is locked.
industry_ret_5d,industry_strength,Industry 5-day equal-weight return.,diagnostic_industry_snapshot,False,-0.0032461311299866,-0.3868269185317207,0.5024727992087042,0.001225516393699,low_factor,blocked_diagnostic_only,diagnostic_grouping,not_used_in_primary_training,not_applicable,Current-snapshot industry dependency; blocked until point-in-time industry source is locked.
industry_ret_20d,industry_strength,Industry 20-day equal-weight return.,diagnostic_industry_snapshot,True,-0.0116366401147112,-1.3071076727929485,0.476831091180867,0.001231846233836,low_factor,blocked_diagnostic_only,diagnostic_grouping,not_used_in_primary_training,not_applicable,Current-snapshot industry dependency; blocked until point-in-time industry source is locked.
