model_id,split,industry,trade_count,avg_trade_return,median_trade_return,trade_win_rate,positive_trade_return_sum,negative_trade_return_sum,avg_score,trade_profit_factor
ridge_primary_alpha1,train,电气设备,1543,-0.0020433797775852125,-0.003724394785847407,0.4594944912508101,29.058540645601678,-32.211475642415664,0.005739992,0.9021176480141679
ridge_primary_alpha1,train,房产服务,265,-0.0019959003992490584,0.0007911392405062223,0.5056603773584906,3.7290918443294454,-4.258005450130446,0.005716345,0.8757837179882434
ridge_primary_alpha1,train,专用机械,1424,0.007050514713826752,0.00518396046222902,0.5491573033707865,31.937389086167784,-21.89745613367849,0.005761307,1.4584976853566012
ridge_primary_alpha1,train,文教休闲,166,0.011637973029670255,0.009179146896745705,0.5481927710843374,4.463859953069832,-2.5319564301445707,0.005678153,1.7630082018492526
ridge_primary_alpha1,train,公共交通,124,0.008073884841913842,0.01251482882174737,0.6209677419354839,2.6811848477984475,-1.6800231274011306,0.0057430933,1.5959213918358606
ridge_primary_alpha1,train,百货,564,0.0035261769061170644,0.0015871337032657973,0.5106382978723404,11.31529239849198,-9.326528623441956,0.0056853076,1.2132372992510123
ridge_primary_alpha1,train,装修装饰,357,0.0017253237781973659,0.0,0.4957983193277311,8.867644603410312,-8.251704014593853,0.00582815,1.0746440477902643
ridge_primary_alpha1,train,纺织,295,0.0017053299376277658,0.0020790020790022457,0.5186440677966102,6.057581780465206,-5.554509448865014,0.005676223,1.0905700739608946
ridge_primary_alpha1,train,啤酒,75,0.008163299998177628,0.00870827285921627,0.64,1.3556802178028298,-0.7434327179395077,0.005602161,1.8235412366033907
ridge_primary_alpha1,train,通信设备,247,0.0037188231776836057,0.0,0.4939271255060729,5.12194186958556,-4.20339254469771,0.0058218897,1.218525706347968
ridge_primary_alpha1,train,UNKNOWN,1787,0.006776981790877302,0.0013793103448276334,0.5058757694459989,51.08957416479465,-38.97910770449691,0.0057936176,1.3106912182830852
ridge_primary_alpha1,train,元器件,566,0.003346236015556321,0.0,0.49646643109540634,13.069546894460046,-11.175577309655168,0.0058049895,1.1694739817305526
ridge_primary_alpha1,train,塑料,645,0.0021613836718463275,0.0026200873362445254,0.524031007751938,11.879759657885797,-10.485667189544916,0.005779658,1.1329521949476813
ridge_primary_alpha1,train,化工原料,1085,0.010124124261153328,0.008045977011494232,0.5695852534562212,26.709975495672087,-15.725300672320726,0.0057197683,1.69853512198252
ridge_primary_alpha1,train,种植业,141,-0.0026017222705591357,-0.004405286343612369,0.475177304964539,2.7581978318472786,-3.125040671996117,0.00564468,0.8826118189640976
ridge_primary_alpha1,train,小金属,523,0.002552660486511887,0.0015797788309634964,0.5124282982791587,11.017922040337584,-9.682880605891864,0.0058154627,1.1378764738288079
ridge_primary_alpha1,train,水务,95,0.00958043347502801,0.007561436672967936,0.5578947368421052,2.330398669922979,-1.4202574897953182,0.0056583514,1.6408282911141885
ridge_primary_alpha1,train,水力发电,86,-0.0076743379593194015,-0.004424778761061843,0.43023255813953487,1.3073812156357396,-1.967374280137208,0.0056713666,0.6645310090892114
ridge_primary_alpha1,train,环境保护,845,0.004440902424750938,0.0008278145695364003,0.5029585798816568,17.606064907869175,-13.853502358954634,0.0058258926,1.270874646113512
ridge_primary_alpha1,train,家用电器,339,0.009647370788286362,0.008241758241758212,0.5634218289085545,7.8976826215705085,-4.627223924341431,0.0057620215,1.7067863476467795
ridge_primary_alpha1,train,建筑工程,848,-0.0013748278275288258,-0.0023148148148149916,0.4339622641509434,12.60137494683754,-13.767228944581985,0.0058954596,0.9153167276844582
ridge_primary_alpha1,train,软件服务,816,0.001806450540899845,-0.0019290439234186385,0.47058823529411764,15.157791242860718,-13.683727601486446,0.0059046694,1.1077238369765667
ridge_primary_alpha1,train,化学制药,396,0.008116836082763146,0.00697322002582379,0.5505050505050505,9.225832495861841,-6.011565407087635,0.0056788097,1.5346805484282988
ridge_primary_alpha1,train,商贸代理,340,0.005100117764790721,0.0051259660306508525,0.538235294117647,7.510283781582276,-5.77624374155343,0.0057670595,1.3002020201388702
ridge_primary_alpha1,train,电器仪表,607,-0.001218123324408561,-0.0025423728813560587,0.4728171334431631,11.157629707719064,-11.89703056563506,0.0058919317,0.9378499656837246
ridge_primary_alpha1,train,生物制药,112,0.00547054526539662,0.004563673367669163,0.5446428571428571,2.394108863676729,-1.781407793952308,0.005679105,1.3439420618931142
ridge_primary_alpha1,train,汽车整车,30,0.028487832570137636,0.03641955752679649,0.7,1.101452201170401,-0.24681722406627205,0.005620969,4.4626229200059955
ridge_primary_alpha1,train,医药商业,138,0.003792012513479162,0.0016428265786416762,0.5072463768115942,1.885601254261025,-1.3623035274009005,0.005629174,1.3841271172941239
ridge_primary_alpha1,train,汽车配件,1116,0.0002967876920038239,0.0,0.48566308243727596,19.675156000222547,-19.34394093594628,0.005806773,1.0171224191271584
ridge_primary_alpha1,train,橡胶,35,-0.007969287762082135,-0.013392857142857206,0.34285714285714286,0.6822896451177372,-0.9612147167906119,0.00598549,0.7098202235144981
ridge_primary_alpha1,train,供气供热,383,0.007396886282714089,0.0040000000000000036,0.5430809399477807,7.500788063192125,-4.66778061691263,0.0057532773,1.6069281482541713
ridge_primary_alpha1,train,石油加工,68,0.03091552313827679,0.013671329755885697,0.6323529411764706,2.7549736748461466,-0.6527181014433244,0.0056074625,4.220771062966087
ridge_primary_alpha1,train,机械基件,568,0.002668446844273263,0.001152712154716684,0.5052816901408451,11.978274536307183,-10.462596728759971,0.0058157668,1.1448663125264935
ridge_primary_alpha1,train,造纸,111,-0.001372909524561181,0.0026954177897573484,0.5225225225225225,1.7933426526129812,-1.9457356098392722,0.005683565,0.9216784868120498
ridge_primary_alpha1,train,服饰,541,0.002010762671411495,0.0031969309462915874,0.5175600739371534,9.755042989310805,-8.667220384077186,0.005754095,1.1255099740202859
ridge_primary_alpha1,train,其他建材,206,0.009570542563338167,0.0019532442165659525,0.5145631067961165,4.309981831104814,-2.3384500630571523,0.0056750257,1.843093380181143
ridge_primary_alpha1,train,旅游服务,117,-0.0037186650063441257,0.0,0.49572649572649574,2.0622011042457973,-2.49728490998806,0.005730333,0.8257772655406215
ridge_primary_alpha1,train,乳制品,53,-0.0166313806592107,-0.005434782608695454,0.41509433962264153,1.1138017041481354,-1.9952648790863021,0.0056720353,0.5582224775380109
ridge_primary_alpha1,train,轻工机械,12,0.022228013780810945,0.021482265860076954,0.6666666666666666,0.31894466890070783,-0.0522085035309765,0.00544194,6.109055945483491
ridge_primary_alpha1,train,综合类,94,0.016648788906306757,0.012680218858580616,0.6063829787234043,2.780964699639301,-1.2159785424464662,0.005712525,2.2870179057964206
ridge_primary_alpha1,train,公路,126,0.0020112638091380284,0.0056886271511742414,0.5476190476190477,2.13638372655969,-1.8829644866082988,0.0057002427,1.134585246696747
ridge_primary_alpha1,train,铝,127,0.0044851764176646845,0.0014992503748125774,0.5039370078740157,2.646869285247184,-2.0772518802037694,0.005734534,1.274216820055321
ridge_primary_alpha1,train,新型电力,119,0.01040296377121508,0.012048192771084487,0.5798319327731093,3.103332255360142,-1.8653795665855477,0.0056541814,1.663646536581605
ridge_primary_alpha1,train,农药化肥,121,0.004660300553149747,0.0,0.49586776859504134,2.475475822214578,-1.9115794552834584,0.0056216684,1.294989761148852
ridge_primary_alpha1,train,林业,159,0.005439915083503685,0.0032941176470586697,0.5283018867924528,3.2538938280796117,-2.3889473298025266,0.0057772105,1.362061769837589
ridge_primary_alpha1,train,船舶,105,0.00448484788583487,-0.0035739814152967453,0.42857142857142855,2.1977046323221865,-1.726795604309525,0.0057356046,1.2727068721031165
ridge_primary_alpha1,train,软饮料,12,0.04262069370456007,0.04068504792030592,0.9166666666666666,0.6688762623704638,-0.15742793791574294,0.0057333517,4.248777384916604
ridge_primary_alpha1,train,互联网,174,0.0036088658346428827,0.0,0.4942528735632184,4.350798051066704,-3.722855395838844,0.0057571256,1.1686723196205073
ridge_primary_alpha1,train,中成药,278,0.010639741783093766,-0.009611493915848146,0.41007194244604317,8.372836940329929,-5.414988724629862,0.005782187,1.5462334948633247
ridge_primary_alpha1,train,纺织机械,139,0.0011240250187076542,-0.0033333333333332993,0.4748201438848921,2.3642758005634223,-2.208036322963059,0.005680809,1.0707594689342335
ridge_primary_alpha1,train,广告包装,379,0.004062339600543502,0.0013774104683195176,0.5171503957783641,8.198053343922002,-6.6584266353160135,0.00572798,1.2312298074202506
ridge_primary_alpha1,train,铜,86,0.007289678006829844,0.01135453323033786,0.5697674418604651,1.8122436520758627,-1.1853313434884962,0.005666909,1.5288920368395293
ridge_primary_alpha1,train,农业综合,345,0.003975420394096506,-0.0007352941176469452,0.4753623188405797,6.195119093403639,-4.823599057440346,0.0058422103,1.2843354142064811
ridge_primary_alpha1,train,钢加工,123,0.01348153543687701,0.0071428571428571175,0.5609756097560976,3.1344825125753495,-1.4762536538394775,0.0056862137,2.1232682502922913
ridge_primary_alpha1,train,渔业,122,0.018005631292814562,0.015199328458014305,0.5983606557377049,4.097253155953527,-1.9005661382301509,0.0056566275,2.1558066691480566
ridge_primary_alpha1,train,半导体,102,0.010466336613853126,0.004262595373210054,0.5098039215686274,2.5862275167769555,-1.518661182163937,0.0056345505,1.7029654455853316
ridge_primary_alpha1,train,医疗保健,328,0.0008877368846179843,-0.007866341802993393,0.4176829268292683,7.294074539355323,-7.0028968412006245,0.005866207,1.0415796069480265
ridge_primary_alpha1,train,酒店餐饮,95,0.0039750347656319195,-0.0018450184501844769,0.4842105263157895,1.9450592174152797,-1.5674309146802474,0.005701003,1.240921816201429
ridge_primary_alpha1,train,区域地产,115,0.0010151530581328885,0.007017543859649145,0.5478260869565217,2.606292627601995,-2.489550025916712,0.005689675,1.0468930531501555
ridge_primary_alpha1,train,白酒,4,0.00419896889546878,-0.01477272727272727,0.25,0.08082408874801916,-0.06402821316614404,0.0055059483,1.2623199172885275
ridge_primary_alpha1,train,焦炭加工,3,0.007053552508097878,0.01298701298701288,0.6666666666666666,0.04595404595404573,-0.024793388429752095,0.0054940036,1.8534798534798422
ridge_primary_alpha1,train,化纤,94,0.0026970336126499817,-0.003086419753086489,0.43617021276595747,1.5478082638349366,-1.2942871042458384,0.005695119,1.1958770652642956
ridge_primary_alpha1,train,水泥,109,-0.007283449773603592,-0.00455580865603622,0.42201834862385323,1.2760250825519357,-2.069921107874727,0.0056792027,0.6164607325841917
ridge_primary_alpha1,train,石油贸易,1,0.008869179600886845,0.008869179600886845,1.0,0.008869179600886845,0.0,0.0053715627,
ridge_primary_alpha1,train,石油开采,81,0.010469176562997074,0.010273972602739878,0.6049382716049383,2.6741491503610764,-1.8261458487583133,0.0057797367,1.4643677843034073
ridge_primary_alpha1,train,食品,161,0.006592096708622496,0.0009165902841430373,0.5031055900621118,3.800584305227844,-2.739256735139622,0.005805583,1.3874509302006426
ridge_primary_alpha1,train,农用机械,255,-2.258064879225645e-05,-0.0006811989100816707,0.4823529411764706,5.51184808967753,-5.517606155119555,0.0057970695,0.9989564196355909
ridge_primary_alpha1,train,化工机械,96,-0.010375292595527197,0.000889679715302405,0.5,1.7303575070957142,-2.7263855962663257,0.005790156,0.6346708658765541
ridge_primary_alpha1,train,运输设备,230,0.006000359162765333,0.005369601568355975,0.5869565217391305,4.953660875442122,-3.573578268006095,0.00567908,1.386190676105173
ridge_primary_alpha1,train,染料涂料,99,-0.004735689627362255,-0.005617977528089901,0.41414141414141414,1.981024252902371,-2.4498575260112343,0.0057275672,0.8086283515955314
ridge_primary_alpha1,train,园区开发,101,0.013515518516512231,0.011627906976744207,0.6633663366336634,2.028560318995627,-0.6634929488278917,0.0057335105,3.057395444185542
ridge_primary_alpha1,train,摩托车,75,0.0110413713112946,0.004938271604938427,0.56,1.7590110992698162,-0.9309082509227212,0.0056902175,1.889564409302716
ridge_primary_alpha1,train,全国地产,118,0.001024926799596937,0.003628861616589263,0.5423728813559322,2.072633801652728,-1.9516924393002895,0.005719953,1.0619674288412972
ridge_primary_alpha1,train,路桥,54,0.0029976320164719814,-0.0015625000000000777,0.48148148148148145,0.9703882795507273,-0.8085161506612403,0.0057320753,1.2002088996702178
ridge_primary_alpha1,train,旅游景点,255,0.005668989364402711,0.0032679738562091387,0.5176470588235295,4.12730656398872,-2.681714276066028,0.005626818,1.5390552978833076
ridge_primary_alpha1,train,家居用品,651,-0.0005171636695071976,-0.0022222222222221255,0.46543778801843316,13.11991761067933,-13.456591159528518,0.0058335685,0.9749807700287608
ridge_primary_alpha1,train,陶瓷,12,-0.006149676549097584,-0.006416770709329056,0.3333333333333333,0.10781023504477161,-0.18160635363394262,0.00565155,0.5936479252376864
ridge_primary_alpha1,train,玻璃,36,0.005105794911872812,0.0015541332985832268,0.5277777777777778,0.7925513185680502,-0.6087427017406289,0.005596211,1.3019479597896482
ridge_primary_alpha1,train,仓储物流,50,0.04561513281575038,0.021239952020337682,0.66,2.684499792315215,-0.40374315152769635,0.0056385817,6.649028676170774
ridge_primary_alpha1,train,IT设备,213,-0.009242755802309878,-0.00917431192660545,0.3755868544600939,3.094850281984078,-5.0635572678760825,0.005938995,0.6112008057296483
ridge_primary_alpha1,train,机床制造,125,0.003987520471875052,-0.007977207977208023,0.432,2.584590715722533,-2.0861506567381514,0.0057565244,1.238928122172983
ridge_primary_alpha1,train,出版业,17,-0.011744482617860914,0.001290322580645098,0.5294117647058824,0.17204892316448772,-0.37170512766812325,0.0056809196,0.4628640025598504
ridge_primary_alpha1,train,饲料,60,-0.0026923520085755954,-0.0016558054348752016,0.48333333333333334,0.7559842664916798,-0.9175253870062156,0.0057132486,0.8239382552218782
ridge_primary_alpha1,train,影视音像,30,-0.0027177640378222862,-0.011977648851696554,0.43333333333333335,0.28491937398061284,-0.36645229511528143,0.005878809,0.7775074075903404
ridge_primary_alpha1,train,批发业,18,0.005141101575699827,0.004723452392413563,0.6111111111111112,0.18518960805277995,-0.09264977969018307,0.00558924,1.9988132586180578
ridge_primary_alpha1,train,红黄酒,17,0.03313398892796201,-0.0014858841010401136,0.4117647058823529,0.7150974509181689,-0.1518196391428147,0.005462934,4.710177516925108
ridge_primary_alpha1,train,铅锌,18,0.014976979481882443,0.018277994387463692,0.6666666666666666,0.4372063378091573,-0.16762070713527333,0.005652988,2.6083074417310677
ridge_primary_alpha1,train,矿物制品,123,-0.008447790049346671,-0.014590347923681302,0.3333333333333333,1.6977041653098353,-2.7367823413794756,0.006013814,0.6203285294708921
ridge_primary_alpha1,train,汽车服务,104,-0.0006374578787513243,-0.0037045115067878,0.375,1.8377026900537519,-1.9039983094438897,0.0059577627,0.9651808412532146
ridge_primary_alpha1,train,工程机械,151,-0.006301689957220647,-0.013698630136986134,0.3443708609271523,2.106236199245246,-3.057791382785564,0.006029346,0.6888096457798644
ridge_primary_alpha1,train,超市连锁,1,0.20499999999999985,0.20499999999999985,1.0,0.20499999999999985,0.0,0.0057078367,
ridge_primary_alpha1,train,煤炭开采,20,0.028007596615009494,0.011367942402425113,0.6,0.6886030010962552,-0.12845106879606527,0.0057001007,5.360819552148005
ridge_primary_alpha1,train,其他商业,4,0.005984052944759649,0.006224531364333485,0.5,0.08751832350645539,-0.06358211172741679,0.005681057,1.3764614154631363
ridge_primary_alpha1,train,日用化工,11,0.015291068682204938,0.017151024297284545,0.7272727272727273,0.2331496616888511,-0.06494790618459678,0.0057685524,3.5897948892484157
ridge_primary_alpha1,train,黄金,2,-0.014162121076634115,-0.014162121076634115,0.0,0.0,-0.02832424215326823,0.0057884827,0.0
ridge_primary_alpha1,train,航空,83,-0.002062122161565811,-0.006564551422319598,0.46987951807228917,2.7510697283893752,-2.9222258677993374,0.0061283484,0.9414295310653533
ridge_primary_alpha1,validation,建筑工程,335,0.01745542182647013,-0.0044345898004434225,0.3850746268656716,10.515545911538702,-4.667979599671208,0.005939588,2.252697486569858
ridge_primary_alpha1,validation,电器仪表,856,0.009169935243597839,-0.006334600499007803,0.4427570093457944,28.207676102619104,-20.358211534099357,0.005927473,1.3855674922805543
ridge_primary_alpha1,validation,IT设备,183,-0.002625989467027161,-0.002192982456140302,0.453551912568306,5.225042308574857,-5.7055983810408275,0.0058518057,0.9157746409100905
ridge_primary_alpha1,validation,供气供热,34,0.027495948608928938,0.0012919896640826156,0.5,1.157356467545618,-0.22249421484203413,0.005832728,5.2017373501927455
ridge_primary_alpha1,validation,机械基件,491,0.012406117410621652,-0.0010893246187364536,0.48065173116089616,13.807208145959375,-7.715804497344143,0.0059177717,1.7894709684144996
ridge_primary_alpha1,validation,塑料,232,0.011122561102168322,-0.0018316001341831534,0.4698275862068966,7.082340957763437,-4.501906782060388,0.0058799093,1.573186940694952
ridge_primary_alpha1,validation,中成药,60,0.006315645417843478,-0.002886008895404135,0.45,1.3719427114307472,-0.9930039863601385,0.0059720674,1.3816084630834269
ridge_primary_alpha1,validation,软件服务,395,-0.004384675556388908,-0.0022831050228310223,0.4506329113924051,9.712922384754078,-11.444869229527699,0.005897609,0.8486704557265532
ridge_primary_alpha1,validation,工程机械,48,0.035123446175332224,0.022128515924900616,0.625,2.0270761530085046,-0.34115073659255757,0.006015258,5.941878283057844
ridge_primary_alpha1,validation,专用机械,637,0.007072024192259549,-0.0018691588785046953,0.46781789638932497,18.3502371369811,-13.845357726511768,0.0058484566,1.3253711099022865
ridge_primary_alpha1,validation,汽车配件,616,0.01034271275807554,-0.0007739915538081399,0.47564935064935066,16.62577978578387,-10.254668726809339,0.005896055,1.6212888225553488
ridge_primary_alpha1,validation,电气设备,498,0.00953087436519969,-0.004365006782812708,0.4357429718875502,12.490943403831569,-7.744567969962121,0.005868308,1.6128651013560233
