model_id,model_family,training_role,feature,rank_feature,coefficient,abs_coefficient,intercept
logistic_primary_sgd_l2,logistic_sgd,secondary_diagnostic,log_amount,rank_log_amount,-0.12278860062360764,0.12278860062360764,-0.0550202876329422
logistic_primary_sgd_l2,logistic_sgd,secondary_diagnostic,turnover_rate,rank_turnover_rate,-0.10159309208393097,0.10159309208393097,-0.0550202876329422
logistic_primary_sgd_l2,logistic_sgd,secondary_diagnostic,stock_ret_20d,rank_stock_ret_20d,-0.08777522295713425,0.08777522295713425,-0.0550202876329422
logistic_primary_sgd_l2,logistic_sgd,secondary_diagnostic,log_total_mv,rank_log_total_mv,-0.07422728091478348,0.07422728091478348,-0.0550202876329422
logistic_primary_sgd_l2,logistic_sgd,secondary_diagnostic,stock_ret_5d,rank_stock_ret_5d,0.036032866686582565,0.036032866686582565,-0.0550202876329422
logistic_primary_sgd_l2,logistic_sgd,secondary_diagnostic,stock_ret_60d,rank_stock_ret_60d,-0.02504890412092209,0.02504890412092209,-0.0550202876329422
ridge_conditional_industry_ablation,ridge,conditional_ablation_only,log_total_mv,rank_log_total_mv,-0.0030278221238404512,0.0030278221238404512,0.002435107948258519
ridge_conditional_industry_ablation,ridge,conditional_ablation_only,turnover_rate,rank_turnover_rate,-0.0013106324477121234,0.0013106324477121234,0.002435107948258519
ridge_conditional_industry_ablation,ridge,conditional_ablation_only,stock_amount_share_in_industry,rank_stock_amount_share_in_industry,-0.001259638462215662,0.001259638462215662,0.002435107948258519
ridge_conditional_industry_ablation,ridge,conditional_ablation_only,log_amount,rank_log_amount,-0.0012304906267672777,0.0012304906267672777,0.002435107948258519
ridge_conditional_industry_ablation,ridge,conditional_ablation_only,stock_ret_60d,rank_stock_ret_60d,-0.00105007435195148,0.00105007435195148,0.002435107948258519
ridge_conditional_industry_ablation,ridge,conditional_ablation_only,stock_ret_5d,rank_stock_ret_5d,-0.0008734458824619651,0.0008734458824619651,0.002435107948258519
ridge_conditional_industry_ablation,ridge,conditional_ablation_only,stock_ret_20d,rank_stock_ret_20d,-0.00023702374892309308,0.00023702374892309308,0.002435107948258519
ridge_primary_alpha1,ridge,primary_candidate,log_total_mv,rank_log_total_mv,-0.0030572107061743736,0.0030572107061743736,0.002435034606605768
ridge_primary_alpha1,ridge,primary_candidate,log_amount,rank_log_amount,-0.0020490605384111404,0.0020490605384111404,0.002435034606605768
ridge_primary_alpha1,ridge,primary_candidate,turnover_rate,rank_turnover_rate,-0.0011147715849801898,0.0011147715849801898,0.002435034606605768
ridge_primary_alpha1,ridge,primary_candidate,stock_ret_60d,rank_stock_ret_60d,-0.0010739160934463143,0.0010739160934463143,0.002435034606605768
ridge_primary_alpha1,ridge,primary_candidate,stock_ret_5d,rank_stock_ret_5d,-0.0008905680733732879,0.0008905680733732879,0.002435034606605768
ridge_primary_alpha1,ridge,primary_candidate,stock_ret_20d,rank_stock_ret_20d,-0.0002614363911561668,0.0002614363911561668,0.002435034606605768
