selector_type,selector_id,split,trades,amount_count,amount_p01,amount_p05,amount_p10,amount_median,amount_p90,amount_p99,total_mv_median,size_q1_share,liq_q1_share,both_size_q1_liq_q1_share
model,logistic_primary_sgd_l2,research_holdout,6560,6560,3936.13222,5699.63825,7003.31,16572.724,30346.714900000003,44310.20305999996,225918.1494,0.8138719512195122,1.0,0.8138719512195122
model,ridge_conditional_industry_ablation,research_holdout,6560,6560,3604.64932,5383.94595,6616.597000000002,14621.7125,29843.601000000006,47436.64132,179209.022,0.9824695121951219,0.9996951219512196,0.9821646341463415
model,ridge_primary_alpha1,research_holdout,6560,6560,3855.36643,5660.061650000001,6903.489600000001,15213.2395,29932.7452,46147.54660999999,175837.759,0.9902439024390244,0.9998475609756098,0.9900914634146342
simple_rule,combo_low_liquidity_weak_momentum,research_holdout,6560,6560,4946.0962,7449.31,10100.1757,26582.542,48291.792900000015,75692.54851,448714.51670000004,0.3132621951219512,0.9536585365853658,0.3132621951219512
simple_rule,combo_low_size_low_liquidity,research_holdout,6560,6560,3302.1060700000003,4707.65835,5718.0098,11473.7575,21646.3423,32927.71928,186743.74,0.9897865853658536,1.0,0.9897865853658536
simple_rule,low_log_amount,research_holdout,6560,6560,3113.28113,4240.66405,5059.2669000000005,9312.55,16146.2068,24663.3783,168384.03095,0.8535060975609756,1.0,0.8535060975609756
simple_rule,low_log_total_mv,research_holdout,6560,6560,4168.50422,6501.5403,8326.888600000002,21140.775,59648.475200000015,145588.29626999956,112044.12400000001,1.0,0.8629573170731707,0.8629573170731707
simple_rule,low_stock_amount_share_in_industry,research_holdout,6560,6560,3569.18794,5441.2968,6805.827200000001,15322.2345,30516.1048,47948.00303,193831.5248,0.8269817073170732,0.9989329268292683,0.8263719512195122
simple_rule,low_stock_ret_60d,research_holdout,6560,6560,10450.00978,24257.0452,38173.4763,143431.239,528130.0543000001,1728201.6707599992,513166.54099999997,0.2801829268292683,0.15365853658536585,0.13323170731707318
model,logistic_primary_sgd_l2,train,24300,24300,134.38730999999999,442.95535,939.171,5933.905,13171.889000000006,26438.235209999882,197500.6529,0.8552674897119341,0.9999588477366255,0.8552674897119341
model,ridge_conditional_industry_ablation,train,24300,24300,148.69594,445.10445000000004,887.8841000000002,6202.3585,14382.853100000006,28276.916919999992,169418.33265,0.9876954732510288,0.9981481481481481,0.9858436213991769
model,ridge_primary_alpha1,train,24300,24300,163.84188,493.3921,1000.3868000000002,6366.9485,14116.336400000017,27925.7218,168080.0,0.9933333333333333,0.9993827160493827,0.9927160493827161
simple_rule,combo_low_liquidity_weak_momentum,train,23100,23100,266.79588,892.8374,2092.7094,9193.074,22331.672900000005,43973.95107999993,333419.9507,0.38216450216450215,0.9393939393939394,0.3819480519480519
simple_rule,combo_low_size_low_liquidity,train,24300,24300,67.11451,180.8771,337.1263,4503.852000000001,9653.561200000002,20983.584289999988,170149.014,0.9930452674897119,0.9991769547325103,0.992798353909465
simple_rule,low_log_amount,train,24300,24300,63.43775,162.0064,262.5917,2761.4045,7518.210400000003,17668.39468999999,198360.0,0.5732098765432099,0.9991769547325103,0.572798353909465
simple_rule,low_log_total_mv,train,24300,24300,101.13239,333.53090000000003,678.0376000000001,10517.5045,32996.827200000014,110400.94301999979,122572.8,1.0,0.7890534979423869,0.7890534979423869
simple_rule,low_stock_amount_share_in_industry,train,24300,24300,64.44332,179.5901,319.14570000000003,4626.6615,14673.3054,30221.414569999975,194433.057,0.6390534979423869,0.9945267489711934,0.6363786008230453
simple_rule,low_stock_ret_60d,train,23100,23100,4042.9388400000003,17064.53915,27223.6006,100590.329,453063.01360000006,1603102.1632299987,502915.77605,0.2138095238095238,0.07532467532467532,0.05714285714285714
model,logistic_primary_sgd_l2,validation,9680,9680,57.17188,145.55610000000001,235.41190000000006,2297.051,17515.6051,33949.32386999991,110269.25,0.8830578512396694,1.0,0.8830578512396694
model,ridge_conditional_industry_ablation,validation,9680,9680,58.88323,149.79195,241.3426,1831.312,17805.260700000003,36363.07161999993,91180.6049,0.9831611570247933,0.999896694214876,0.9830578512396694
model,ridge_primary_alpha1,validation,9680,9680,64.80275999999999,163.2644,259.88370000000003,2219.6175000000003,18451.431900000003,36089.31922999988,93808.0,0.9862603305785124,1.0,0.9862603305785124
simple_rule,combo_low_liquidity_weak_momentum,validation,9680,9680,99.16329999999999,265.31095000000005,454.2432,9495.530999999999,28274.261100000003,60906.992679999865,262447.82395,0.4543388429752066,0.9574380165289256,0.4543388429752066
simple_rule,combo_low_size_low_liquidity,validation,9680,9680,18.7417,49.2282,74.25410000000001,766.9365,12092.026300000001,20464.117219999913,73296.50725,0.9805785123966942,1.0,0.9805785123966942
simple_rule,low_log_amount,validation,9680,9680,18.45404,47.731950000000005,69.4782,667.1134999999999,9072.206,16619.480789999867,66638.70375,0.9253099173553719,1.0,0.9253099173553719
simple_rule,low_log_total_mv,validation,9680,9680,31.770290000000003,79.84994999999999,135.70080000000002,2001.1779999999999,30206.518800000005,91334.60286999989,44693.45375,1.0,0.9314049586776859,0.9314049586776859
simple_rule,low_stock_amount_share_in_industry,validation,9680,9680,18.81253,56.8199,92.934,1016.139,16326.366800000002,36427.84502999989,69159.216,0.8923553719008265,1.0,0.8923553719008265
simple_rule,low_stock_ret_60d,validation,9680,9680,3574.11113,10395.76555,21915.051000000003,105437.313,495892.6155000001,1694129.667649994,563917.5109,0.2225206611570248,0.11993801652892562,0.09669421487603305
