model_id,model_family,training_role,feature,rank_feature,coefficient,abs_coefficient,intercept
logistic_primary_sgd_l2,logistic_sgd,secondary_diagnostic,log_amount,rank_log_amount,-0.1227886006236076,0.1227886006236076,-0.0550202876329422
logistic_primary_sgd_l2,logistic_sgd,secondary_diagnostic,turnover_rate,rank_turnover_rate,-0.1015930920839309,0.1015930920839309,-0.0550202876329422
logistic_primary_sgd_l2,logistic_sgd,secondary_diagnostic,stock_ret_20d,rank_stock_ret_20d,-0.0877752229571342,0.0877752229571342,-0.0550202876329422
logistic_primary_sgd_l2,logistic_sgd,secondary_diagnostic,log_total_mv,rank_log_total_mv,-0.0742272809147834,0.0742272809147834,-0.0550202876329422
logistic_primary_sgd_l2,logistic_sgd,secondary_diagnostic,stock_ret_5d,rank_stock_ret_5d,0.0360328666865825,0.0360328666865825,-0.0550202876329422
logistic_primary_sgd_l2,logistic_sgd,secondary_diagnostic,stock_ret_60d,rank_stock_ret_60d,-0.025048904120922,0.025048904120922,-0.0550202876329422
ridge_conditional_industry_ablation,ridge,conditional_ablation_only,log_total_mv,rank_log_total_mv,-0.0030278221238404,0.0030278221238404,0.0024351079482585
ridge_conditional_industry_ablation,ridge,conditional_ablation_only,turnover_rate,rank_turnover_rate,-0.0013106324477121,0.0013106324477121,0.0024351079482585
ridge_conditional_industry_ablation,ridge,conditional_ablation_only,stock_amount_share_in_industry,rank_stock_amount_share_in_industry,-0.0012596384622156,0.0012596384622156,0.0024351079482585
ridge_conditional_industry_ablation,ridge,conditional_ablation_only,log_amount,rank_log_amount,-0.0012304906267672,0.0012304906267672,0.0024351079482585
ridge_conditional_industry_ablation,ridge,conditional_ablation_only,stock_ret_60d,rank_stock_ret_60d,-0.0010500743519514,0.0010500743519514,0.0024351079482585
ridge_conditional_industry_ablation,ridge,conditional_ablation_only,stock_ret_5d,rank_stock_ret_5d,-0.0008734458824619,0.0008734458824619,0.0024351079482585
ridge_conditional_industry_ablation,ridge,conditional_ablation_only,stock_ret_20d,rank_stock_ret_20d,-0.000237023748923,0.000237023748923,0.0024351079482585
ridge_primary_alpha1,ridge,primary_candidate,log_total_mv,rank_log_total_mv,-0.0030572107061743,0.0030572107061743,0.0024350346066057
ridge_primary_alpha1,ridge,primary_candidate,log_amount,rank_log_amount,-0.0020490605384111,0.0020490605384111,0.0024350346066057
ridge_primary_alpha1,ridge,primary_candidate,turnover_rate,rank_turnover_rate,-0.0011147715849801,0.0011147715849801,0.0024350346066057
ridge_primary_alpha1,ridge,primary_candidate,stock_ret_60d,rank_stock_ret_60d,-0.0010739160934463,0.0010739160934463,0.0024350346066057
ridge_primary_alpha1,ridge,primary_candidate,stock_ret_5d,rank_stock_ret_5d,-0.0008905680733732,0.0008905680733732,0.0024350346066057
ridge_primary_alpha1,ridge,primary_candidate,stock_ret_20d,rank_stock_ret_20d,-0.0002614363911561,0.0002614363911561,0.0024350346066057
