selector_type,selector_id,split,group_type,group_value,trade_count,trade_share_within_selector_split,avg_trade_return,trade_win_rate,positive_trade_return_sum,negative_trade_return_sum,amount_median,amount_p10,amount_p90,total_mv_median,turnover_rate_median,trade_profit_factor
model,ridge_primary_alpha1,train,size_bucket,size_q1,24138,0.9933333333333333,0.0035474931526918115,0.5027342779020632,510.7751949552561,-425.1458052355812,6366.324500000001,990.2723000000002,14125.397599999998,167718.5909,0.43335,1.2014118184048084
model,ridge_primary_alpha1,train,size_bucket,size_q2,162,0.006666666666666667,0.01131194347136164,0.5246913580246914,3.789258707149302,-1.9567238647887162,6477.2345000000005,3006.1082000000006,13060.453900000002,293960.32725,0.2248,1.9365321675363019
model,ridge_primary_alpha1,validation,size_bucket,size_q1,9547,0.9862603305785124,0.007574355555768192,0.45689745469781085,262.8342576046066,-190.52188511368763,2131.403,256.99920000000003,18400.650799999996,92802.84,0.4216,1.3795489029922674
model,ridge_primary_alpha1,validation,size_bucket,size_q2,133,0.013739669421487603,-0.012721777493555766,0.2556390977443609,2.490790135197132,-4.1827865418400485,13000.011,5902.7402,20162.553,301584.6507,0.5674,0.5954858346898595
model,ridge_primary_alpha1,research_holdout,size_bucket,size_q1,6496,0.9902439024390244,0.009412369170295762,0.5424876847290641,165.55322051728456,-104.4104703870433,15120.239,6883.898999999999,29873.195,175286.08000000002,1.1232,1.5855997957253596
model,ridge_primary_alpha1,research_holdout,size_bucket,size_q2,64,0.00975609756097561,0.011923686607841906,0.5625,1.3929946015896417,-0.6298786586877597,20807.8255,13205.795100000001,34711.1546,320852.10245,0.66675,2.211528494220932
model,logistic_primary_sgd_l2,train,size_bucket,size_q1,20783,0.8552674897119341,0.0031836342011209847,0.5058461242361546,417.650422292591,-351.48495269069355,5693.384,772.9126,12676.830199999997,184500.0,0.3441,1.1882455254354032
model,logistic_primary_sgd_l2,train,size_bucket,size_q2,3168,0.13037037037037036,0.0024990708871384863,0.4845328282828283,57.24081176562021,-49.32375519516548,7249.505,3669.9316000000003,15774.062400000003,322955.3837,0.24945,1.1605120400733544
model,logistic_primary_sgd_l2,train,size_bucket,size_q3,330,0.013580246913580247,-0.0039944819278012805,0.43636363636363634,5.732295575035717,-7.05047461121014,8105.389499999999,4329.5937,17241.858300000004,454570.28185,0.2063,0.8130368366863503
model,logistic_primary_sgd_l2,train,size_bucket,size_q4,19,0.0007818930041152264,0.01860851496276203,0.5263157894736842,0.5700336000403718,-0.21647181574789331,10465.801,4243.3996,44669.71119999998,755158.2834,0.1611,2.633292459209759
model,logistic_primary_sgd_l2,validation,size_bucket,size_q1,8548,0.8830578512396694,0.00803623526135325,0.4584698175011699,225.6557165687518,-156.96197755470422,1605.622,215.6108,15263.7793,97535.6071,0.3134,1.4376457285020285
model,logistic_primary_sgd_l2,validation,size_bucket,size_q2,961,0.09927685950413223,-0.0009515882080198434,0.45265348595213317,22.98095165202715,-23.895427919934225,13156.467,4535.403,25168.28,302758.4465,0.4859,0.9617300735952006
model,logistic_primary_sgd_l2,validation,size_bucket,size_q3,162,0.016735537190082646,-0.013223877813031507,0.3888888888888889,1.6643344189005727,-3.806602624611677,14382.627,8003.5066,25337.102600000002,489876.67825,0.35019999999999996,0.43722305242469495
model,logistic_primary_sgd_l2,validation,size_bucket,size_q4,9,0.0009297520661157025,-0.03529505066951433,0.1111111111111111,0.0015179625569237132,-0.31917341858255266,14259.973,10325.9534,16587.427200000002,871588.8812,0.176,0.004755917844490235
model,logistic_primary_sgd_l2,research_holdout,size_bucket,size_q1,5339,0.8138719512195122,0.007768031091248382,0.5497284135605919,119.34103282163363,-77.86751482545853,15122.176,6587.543000000001,29195.399599999997,204660.2547,0.8878,1.5326164330419272
model,logistic_primary_sgd_l2,research_holdout,size_bucket,size_q2,1121,0.17088414634146343,0.011814683209482634,0.6030330062444246,24.50303926783255,-11.258779390002516,21675.43,12400.962,33142.0,369649.4111,0.6178,2.1763495330222535
model,logistic_primary_sgd_l2,research_holdout,size_bucket,size_q3,97,0.014786585365853658,0.011863170142330345,0.5876288659793815,2.001665285871661,-0.8509377820656177,22265.043,13754.5352,33188.8784,549866.4852,0.4247,2.3523051015700562
model,logistic_primary_sgd_l2,research_holdout,size_bucket,size_q4,3,0.00045731707317073173,0.012365050058468885,0.3333333333333333,0.09832635983263605,-0.06123120965722939,21730.895,16426.1486,25109.3822,745250.0,0.2386,1.6058209593288173
model,ridge_conditional_industry_ablation,train,size_bucket,size_q1,24001,0.9876954732510288,0.0035610712432734243,0.5052289487938002,509.2894723900213,-423.8202014802159,6180.589,871.141,14388.794,168804.0995,0.4238,1.2016639853676137
model,ridge_conditional_industry_ablation,train,size_bucket,size_q2,299,0.012304526748971194,0.0017083330539728332,0.4983277591973244,5.612126347032923,-5.101334763895047,7519.821,3919.4746,13943.914999999999,297832.141,0.2729,1.1001290067754481
model,ridge_conditional_industry_ablation,validation,size_bucket,size_q1,9517,0.9831611570247933,0.006682012651993019,0.44909110013659764,254.83406163695417,-191.2413472279366,1759.866,237.9348,17572.880799999995,90000.7937,0.3734,1.3325259695709148
model,ridge_conditional_industry_ablation,validation,size_bucket,size_q2,163,0.016838842975206613,-0.013850299143607064,0.3006134969325153,3.474415141799259,-5.7320139022072105,13246.16,6161.2238,22680.249200000002,304407.4583,0.5771,0.6061421345229773
model,ridge_conditional_industry_ablation,research_holdout,size_bucket,size_q1,6445,0.9824695121951219,0.009854557749939078,0.5474010861132661,164.31906429332332,-100.80643959496595,14492.128,6567.2078,29652.897000000008,178220.1023,1.0809,1.630045312120408
model,ridge_conditional_industry_ablation,research_holdout,size_bucket,size_q2,115,0.01753048780487805,0.012913323693404198,0.5478260869565217,2.769135493950661,-1.284103269209179,20854.228,12768.3088,34585.3148,335671.6505,0.6946,2.156474140632043
model,ridge_primary_alpha1,train,liquidity_bucket,liq_q1,24285,0.9993827160493827,0.0036044574786631804,0.5029030265596047,514.2697819964043,-426.735532127069,6365.289,998.7506000000001,14104.0912,168095.28,0.4315,1.2051252902073086
model,ridge_primary_alpha1,train,liquidity_bucket,liq_q2,15,0.0006172839506172839,-0.004821687153318743,0.4666666666666667,0.2946716660010342,-0.3669969733008154,15467.916,8747.9132,24701.192799999997,158298.32,0.9066,0.8029266926937338
model,ridge_primary_alpha1,validation,liquidity_bucket,liq_q1,9680,1.0,0.007295493397135952,0.4541322314049587,265.3250477398037,-194.70467165552768,2219.6175000000003,259.88370000000003,18451.431900000003,93808.0,0.4255,1.36270509322559
model,ridge_primary_alpha1,research_holdout,liquidity_bucket,liq_q1,6559,0.9998475609756098,0.009451013783576231,0.5427656654977893,166.9462151188742,-104.95701571239772,15210.813,6903.3082,29924.775599999997,175843.629,1.1186,1.590615110249883
model,ridge_primary_alpha1,research_holdout,liquidity_bucket,liq_q2,1,0.0001524390243902439,-0.08333333333333326,0.0,0.0,-0.08333333333333326,44160.915,44160.915,44160.915,85284.8591,5.1744,0.0
model,logistic_primary_sgd_l2,train,liquidity_bucket,liq_q1,24299,0.9999588477366255,0.003009817774241136,0.5021605827400305,481.1935632332873,-408.05800113700195,5933.571,939.1000000000001,13172.158000000003,197490.8584,0.3269,1.1792283496279998
model,logistic_primary_sgd_l2,train,liquidity_bucket,liq_q2,1,4.11522633744856e-05,-0.01765317581514425,0.0,0.0,-0.01765317581514425,9404.885,9404.885,9404.885,271059.0396,0.3528,0.0
model,logistic_primary_sgd_l2,validation,liquidity_bucket,liq_q1,9680,1.0,0.006747865607892955,0.45640495867768593,250.30252060223648,-184.98318151783266,2297.051,235.41190000000006,17515.6051,110269.25,0.3338,1.353109610011259
model,logistic_primary_sgd_l2,research_holdout,liquidity_bucket,liq_q1,6560,1.0,0.008522195202436982,0.5592987804878049,145.9440637351705,-90.0384632071839,16572.724,7003.31,30346.714900000003,225918.1494,0.8213,1.6209079823957508
model,ridge_conditional_industry_ablation,train,liquidity_bucket,liq_q1,24255,0.9981481481481481,0.003533865290927482,0.5050917336631623,513.6205648098276,-427.90666217838157,6192.826,885.221,14329.936600000003,169403.2623,0.4208,1.2003098110113426
model,ridge_conditional_industry_ablation,train,liquidity_bucket,liq_q2,45,0.001851851851851852,0.005914663588828037,0.5333333333333333,1.2810339272266318,-1.0148740657293702,15884.369,10677.1496,22436.176600000003,178120.7286,0.9066,1.2622590038360846
model,ridge_conditional_industry_ablation,validation,liquidity_bucket,liq_q1,9679,0.999896694214876,0.00633756076226209,0.44663704928195064,258.3084767787534,-196.96722616081865,1830.53,241.3362,17803.9284,91177.0244,0.3811,1.3114287174245487
model,ridge_conditional_industry_ablation,validation,liquidity_bucket,liq_q2,1,0.00010330578512396694,-0.006134969325153117,0.0,0.0,-0.006134969325153117,33120.065,33120.065,33120.065,268881.9615,1.2255,0.0
model,ridge_conditional_industry_ablation,research_holdout,liquidity_bucket,liq_q1,6558,0.9996951219512196,0.009917805805457907,0.5475754803293688,167.08819978727396,-102.04722931508101,14618.4905,6614.5650000000005,29784.69670000001,179215.5514,1.0697,1.637361454188751
model,ridge_conditional_industry_ablation,research_holdout,liquidity_bucket,liq_q2,2,0.0003048780487804878,-0.021656774547060553,0.0,0.0,-0.04331354909412111,47867.543000000005,45610.4846,50124.6014,159819.9113,3.01825,0.0
simple_rule,low_log_total_mv,train,size_bucket,size_q1,24300,1.0,0.0023657592403623752,0.49477366255144034,551.0038110835362,-493.51586154273053,10517.5045,678.0376000000001,32996.827200000014,122572.8,,1.1164865286418524
simple_rule,low_log_total_mv,validation,size_bucket,size_q1,9680,1.0,0.020506148793211235,0.4643595041322314,419.78177346150585,-221.2822531432212,2001.1779999999999,135.70080000000002,30206.518800000005,44693.45375,,1.8970422051415448
simple_rule,low_log_total_mv,research_holdout,size_bucket,size_q1,6560,1.0,0.010210613481014336,0.505640243902439,202.7542981261767,-135.77267369072268,21140.775,8326.888600000002,59648.475200000015,112044.12400000001,,1.4933365648232857
simple_rule,low_stock_amount_share_in_industry,train,size_bucket,size_q1,15529,0.6390534979423869,0.0019861587691400485,0.4937858200785627,295.4838173372461,-264.64075781127025,4623.471,257.82980000000003,14847.533400000002,163337.6738,,1.116546898448544
simple_rule,low_stock_amount_share_in_industry,train,size_bucket,size_q2,3292,0.13547325102880658,0.006217563230315372,0.508809234507898,72.83518139368383,-52.366963239485614,7684.898,3318.2717,18118.1008,322213.8212,,1.3908612775690765
simple_rule,low_stock_amount_share_in_industry,train,size_bucket,size_q3,1560,0.06419753086419754,0.004311015508514578,0.5153846153846153,29.144810094692595,-22.41962590140985,8108.696,3923.3065,18338.626200000006,492807.91425000003,,1.2999686178019514
simple_rule,low_stock_amount_share_in_industry,train,size_bucket,size_q4,488,0.02008230452674897,0.0006503142762812881,0.4692622950819672,8.056913826688739,-7.739560459863471,6480.7425,3513.1183,13991.6518,675094.6006,,1.041004055523699
simple_rule,low_stock_amount_share_in_industry,train,size_bucket,size_q5,12,0.0004938271604938272,0.012722342905583717,0.4166666666666667,0.3285693690512623,-0.17590125418425773,11909.9015,7003.0516,18058.914900000003,1725049.9703,,1.8679194220359778
simple_rule,low_stock_amount_share_in_industry,train,size_bucket,missing,3419,0.14069958847736624,0.013767497253743356,0.5446036852880959,98.95520796276409,-51.88413485221557,856.64,248.6282,2898.606000000003,,,1.9072344223262785
simple_rule,low_stock_amount_share_in_industry,validation,size_bucket,size_q1,8638,0.8923553719008265,0.010359903658221209,0.4633016902060662,228.55183468485617,-139.06298688514136,695.5564999999999,85.9735,14246.296500000004,64804.09675,,1.6435130569547443
simple_rule,low_stock_amount_share_in_industry,validation,size_bucket,size_q2,771,0.07964876033057851,-0.0070280162222326106,0.40207522697795073,15.533661563042237,-20.95226207038358,11058.089,2231.688,24477.144,287335.9434,,0.7413835084183756
simple_rule,low_stock_amount_share_in_industry,validation,size_bucket,size_q4,94,0.009710743801652892,-0.008268347285550828,0.3829787234042553,1.6088724221957762,-2.386097067037554,12400.836,9101.3416,18860.406600000002,693009.3716,,0.674269477307251
simple_rule,low_stock_amount_share_in_industry,validation,size_bucket,size_q3,177,0.018285123966942148,-0.010094072500685442,0.3728813559322034,2.1320878573629938,-3.9187386899843157,12453.097,4888.9178,21476.0278,487940.8347,,0.544075026694757
simple_rule,low_stock_amount_share_in_industry,research_holdout,size_bucket,size_q1,5425,0.8269817073170732,0.006811098471626433,0.5301382488479263,125.01933576741627,-88.06912655884285,14654.214,6494.4234,29760.4612,177490.3368,,1.4195591650825032
simple_rule,low_stock_amount_share_in_industry,research_holdout,size_bucket,size_q2,816,0.12439024390243902,0.007389233041839306,0.5759803921568627,16.4100010629204,-10.380386900779527,17807.893,8594.8155,33684.188500000004,364256.39775,,1.5808660332003688
simple_rule,low_stock_amount_share_in_industry,research_holdout,size_bucket,size_q3,248,0.03780487804878049,0.012056019055244926,0.6088709677419355,5.548594590496396,-2.558701864795656,18858.368,10653.7154,33434.731,576601.1532000001,,2.168519383534947
simple_rule,low_stock_amount_share_in_industry,research_holdout,size_bucket,size_q4,71,0.010823170731707316,0.006525457797258815,0.5352112676056338,1.1494585831909787,-0.6861510795856028,21817.953,13289.194,36463.582,1186666.6904,,1.6752266627419545
simple_rule,low_log_amount,train,size_bucket,size_q1,13929,0.5732098765432099,0.0005135440916611076,0.4861799124129514,234.75062299128768,-227.59746733854013,2841.856,194.65660000000003,8373.179,156373.5131,,1.0314289773800847
simple_rule,low_log_amount,train,size_bucket,size_q2,3855,0.15864197530864196,0.001468005616776627,0.4939040207522698,57.99166804545146,-52.332506392777574,4143.966,2121.6992,8503.9118,332000.0,,1.1081385556082388
simple_rule,low_log_amount,train,size_bucket,size_q3,1517,0.06242798353909465,0.004249616686402892,0.5253790375741595,25.72550210202701,-19.278833588753827,4197.773,2397.5344,8243.992800000004,492705.8421,,1.3343910036670374
simple_rule,low_log_amount,train,size_bucket,size_q4,656,0.026995884773662552,0.005669285420533097,0.5182926829268293,11.781856131050578,-8.062804895180864,4197.6075,2355.0020000000004,8788.1,857100.1238,,1.4612602294385901
simple_rule,low_log_amount,train,size_bucket,size_q5,30,0.0012345679012345679,0.0026836804710582028,0.3333333333333333,0.3399731939178925,-0.2594627797861464,5260.934499999999,4250.6161999999995,9964.733000000002,2037513.806,,1.3102965835720413
simple_rule,low_log_amount,train,size_bucket,missing,4313,0.17748971193415639,0.013544856625897916,0.5383723626246232,120.86110665169707,-62.44214002419936,820.748,273.348,2041.9432000000002,,,1.935569578570778
simple_rule,low_log_amount,validation,size_bucket,size_q1,8957,0.9253099173553719,0.009666166813480394,0.4665624651110863,223.6007093060561,-137.02085315771222,498.155,66.7602,8309.7,62828.8192,,1.631873573642763
simple_rule,low_log_amount,validation,size_bucket,size_q2,548,0.05661157024793388,-0.008432409383078338,0.395985401459854,8.231385848341946,-12.852346190268875,7232.014,2136.1691,12022.009800000002,314120.54555,,0.6404578375405356
simple_rule,low_log_amount,validation,size_bucket,size_q4,26,0.0026859504132231405,0.01614554457864296,0.5769230769230769,0.7119290558991427,-0.2921448968544257,7568.396500000001,5415.029,10852.7685,759032.9161,,2.4369039595235282
simple_rule,low_log_amount,validation,size_bucket,size_q3,149,0.015392561983471074,-0.01920185038090663,0.3422818791946309,1.344732701947783,-4.205808408702872,7478.564,3947.9606000000003,12902.2908,509544.558,,0.31973227766752144
simple_rule,low_log_amount,research_holdout,size_bucket,size_q1,5599,0.8535060975609756,0.006016084859575383,0.5268797999642794,121.95582732183655,-88.27176819307398,9045.446,4901.617200000001,15782.810799999997,156724.8,,1.381594929140725
simple_rule,low_log_amount,research_holdout,size_bucket,size_q2,726,0.11067073170731707,0.0072564884211581025,0.5840220385674931,12.37730059641504,-7.1090900026542565,10390.2735,6541.4925,17629.436999999998,338230.60795,,1.7410527355531917
simple_rule,low_log_amount,research_holdout,size_bucket,size_q3,168,0.025609756097560974,0.006878675962894772,0.6726190476190477,1.9992877951424521,-0.8436702333761306,11323.5995,7090.1477,18698.397300000004,569710.29485,,2.369750307702413
simple_rule,low_log_amount,research_holdout,size_bucket,size_q4,67,0.010213414634146342,0.0023489744582733253,0.6567164179104478,0.7910499225139103,-0.6336686338095975,12568.543,9108.7054,19703.2022,1135163.54,,1.2483652816427744
simple_rule,combo_low_liquidity_weak_momentum,train,size_bucket,size_q1,8828,0.38216450216450215,0.004238101109905935,0.4937698232895333,202.56956708939973,-165.15561049115013,5653.636,692.2349,13078.1331,187745.47675,0.382,1.2265376058796043
simple_rule,combo_low_liquidity_weak_momentum,train,size_bucket,size_q2,6115,0.26471861471861474,0.0032292021628469777,0.4994276369582993,120.99935168534648,-101.2527804595372,9793.146,4630.6758,19777.748800000005,341558.4,0.329,1.1950225083813915
simple_rule,combo_low_liquidity_weak_momentum,train,size_bucket,size_q3,4907,0.21242424242424243,0.0019629546756765592,0.48685551253311593,97.50977527196767,-87.87755667842279,11923.97,6151.212600000001,23923.60560000001,512869.2108,0.2742,1.109609540337959
simple_rule,combo_low_liquidity_weak_momentum,train,size_bucket,size_q4,2683,0.11614718614718615,0.0034839191051735164,0.4912411479686918,53.78488715467839,-44.43753219549784,16375.887,6919.5322,34544.980800000005,859626.6627,0.2313,1.2103482011120223
simple_rule,combo_low_liquidity_weak_momentum,train,size_bucket,size_q5,567,0.024545454545454544,-0.003897678357162425,0.43386243386243384,8.466843275208745,-10.676826903719839,21536.766,9125.3662,47586.81040000001,2073127.0252,0.1455,0.7930111962627091
simple_rule,combo_low_liquidity_weak_momentum,validation,size_bucket,size_q1,4398,0.4543388429752066,0.01077480324570428,0.47203274215552526,129.57902326939626,-82.19143859478885,1481.2875,248.86440000000002,12618.11350000001,96422.75975,0.3134,1.5765513474977904
simple_rule,combo_low_liquidity_weak_momentum,validation,size_bucket,size_q4,1351,0.13956611570247934,-0.0030415448156805905,0.44707623982235384,22.7030466966254,-26.812173742609872,20263.707,8056.136,42045.924,873300.0,0.2799,0.8467439796030318
simple_rule,combo_low_liquidity_weak_momentum,validation,size_bucket,size_q2,1878,0.19400826446280992,0.001840315154225761,0.45260915867944623,48.656520248341806,-45.200408388705824,11689.99,4884.602,24560.7204,299589.89925,0.4475,1.0764619609166972
simple_rule,combo_low_liquidity_weak_momentum,validation,size_bucket,size_q3,1788,0.1847107438016529,-0.002365076919937973,0.4373601789709172,35.38813689039277,-39.61689442324187,17079.696,8258.075499999999,33136.0168,489297.0361,0.40590000000000004,0.8932587323056744
simple_rule,combo_low_liquidity_weak_momentum,validation,size_bucket,size_q5,265,0.02737603305785124,0.012463845339231788,0.46037735849056605,6.908847082173347,-3.605928067276924,31061.606,15905.6828,64936.0628,1979640.0,0.2134,1.9159691910855772
simple_rule,combo_low_liquidity_weak_momentum,research_holdout,size_bucket,size_q1,2055,0.3132621951219512,0.008428462958703673,0.5600973236009732,48.02084366079863,-30.700352280662592,14622.456,6542.6138,29862.791800000006,203613.2585,0.8937,1.5641789130558543
simple_rule,combo_low_liquidity_weak_momentum,research_holdout,size_bucket,size_q2,1468,0.22378048780487805,0.009928491521727931,0.5694822888283378,32.77574531299004,-18.200719759093438,26669.0115,16274.4724,41472.3563,392308.92449999996,0.7262,1.8007939107251312
simple_rule,combo_low_liquidity_weak_momentum,research_holdout,size_bucket,size_q4,1154,0.17591463414634145,0.010398378602189179,0.6013864818024264,22.486710731825553,-10.486981824899239,35348.133,21145.6967,59594.295300000005,1011972.70105,0.3739,2.144249995593142
simple_rule,combo_low_liquidity_weak_momentum,research_holdout,size_bucket,size_q3,1628,0.24817073170731707,0.00768862559052026,0.5282555282555282,31.09967733319779,-18.582594871830807,31696.7755,18533.9458,50244.1381,621936.6534,0.561,1.6735917425795854
simple_rule,combo_low_liquidity_weak_momentum,research_holdout,size_bucket,size_q5,255,0.038871951219512195,0.0005407161226855601,0.5098039215686274,2.59943237602223,-2.4615497647374123,48121.198,29964.4008,74280.0514,2250058.4076,0.2575,1.056014553619852
simple_rule,combo_low_size_low_liquidity,train,size_bucket,size_q1,24131,0.9930452674897119,0.002264906130847762,0.5081016120343127,428.43954045893975,-373.78509061545236,4503.832,334.29,9637.176,169727.3201,0.2709,1.1462189135299554
simple_rule,combo_low_size_low_liquidity,train,size_bucket,size_q2,158,0.0065020576131687245,0.00033910313986746244,0.5,2.7057107238510376,-2.6521324277519778,4271.477000000001,2386.5917,10242.980600000003,267977.538,0.1635,1.0202019686266097
simple_rule,combo_low_size_low_liquidity,train,size_bucket,size_q3,5,0.00020576131687242798,0.11294337514351419,1.0,0.5647168757175709,0.0,58187.781,38944.1014,62497.7636,398239.8552,1.3641,
simple_rule,combo_low_size_low_liquidity,train,size_bucket,size_q4,5,0.00020576131687242798,0.08259208958691447,1.0,0.4129604479345723,0.0,49498.17,37815.8892,57084.5962,912534.8592,0.936,
simple_rule,combo_low_size_low_liquidity,train,size_bucket,size_q5,1,4.11522633744856e-05,0.018716577540106805,1.0,0.018716577540106805,0.0,44775.636,44775.636,44775.636,1589012.6558,0.4616,
simple_rule,combo_low_size_low_liquidity,validation,size_bucket,size_q1,9492,0.9805785123966942,0.006003499034533857,0.457543194268858,211.0236063617121,-154.03839352591672,714.713,72.9067,12057.475699999999,72096.73324999999,0.1708,1.3699416199520915
simple_rule,combo_low_size_low_liquidity,validation,size_bucket,size_q2,188,0.019421487603305785,-0.016013614673044383,0.3723404255319149,2.6688429231172037,-5.679402481649547,9483.949499999999,5400.2635,13372.127600000002,297902.60034999996,0.3486,0.46991614553474204
simple_rule,combo_low_size_low_liquidity,research_holdout,size_bucket,size_q1,6493,0.9897865853658536,0.00896758979957128,0.560603727090713,148.62414145205406,-90.39758088343775,11471.213,5711.9785999999995,21678.9198,185969.54,0.7239,1.6441163579774989
simple_rule,combo_low_size_low_liquidity,research_holdout,size_bucket,size_q2,67,0.010213414634146342,0.013179373219484944,0.6716417910447762,1.3409894042150317,-0.4579713985095404,11620.994,7220.1174,18291.172599999998,314400.0,0.3825,2.9281073197567737
simple_rule,low_stock_ret_60d,train,size_bucket,size_q2,4432,0.19186147186147187,0.004770370216992842,0.4708935018050541,142.01465365376043,-120.87237285204816,68864.1415,28087.415399999998,179399.66800000003,341381.3275,,1.174914087502784
simple_rule,low_stock_ret_60d,train,size_bucket,size_q1,4939,0.2138095238095238,0.013253795789788936,0.4907876088276979,210.9329566459225,-145.47245924015493,39444.374,8026.9974,109959.88999999996,198172.96,,1.44998550067612
simple_rule,low_stock_ret_60d,train,size_bucket,size_q3,4979,0.21554112554112553,0.0018670174396162285,0.45491062462341836,153.87551161651476,-144.57963178466554,105234.555,38382.478800000004,296265.45259999996,518708.16,,1.0642959158015726
simple_rule,low_stock_ret_60d,train,size_bucket,size_q5,3558,0.15402597402597404,0.0014691257325003542,0.4598088813940416,104.03541633551096,-98.80826697927469,406543.194,107982.9319,1293592.9122,2655877.2809,,1.052901943491557
simple_rule,low_stock_ret_60d,train,size_bucket,size_q4,5192,0.22476190476190477,-0.002351133141381928,0.43624807395993837,138.66053097595233,-150.86761424600726,164562.17599999998,57528.546500000004,439230.46510000003,988786.7527000001,,0.9190874507357831
simple_rule,low_stock_ret_60d,validation,size_bucket,size_q4,2181,0.2253099173553719,-0.0006239509007575826,0.4264099037138927,61.74209717290928,-63.10293408746158,151857.58,58035.198,461704.473,913680.0,,0.9784346491295293
