rule_id,split,trades,entry_st_flag_count,entry_st_flag_ratio,entry_suspend_flag_count,entry_suspend_flag_ratio,entry_limit_up_open_flag_count,entry_limit_up_open_flag_ratio,exit_st_flag_5d_count,exit_st_flag_5d_ratio,exit_suspend_flag_5d_count,exit_suspend_flag_5d_ratio,exit_limit_down_close_flag_5d_count,exit_limit_down_close_flag_5d_ratio,exit_limit_up_close_flag_5d_count,exit_limit_up_close_flag_5d_ratio
combo_low_liquidity_weak_momentum,research_holdout,6560,0,0.0,0,0.0,0,0.0,3,0.00045731707317073173,2,0.0003048780487804878,10,0.001524390243902439,36,0.00548780487804878
combo_low_size_low_liquidity,research_holdout,6560,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0003048780487804878,28,0.00426829268292683
low_log_amount,research_holdout,6560,0,0.0,0,0.0,1,0.0001524390243902439,0,0.0,0,0.0,5,0.0007621951219512195,16,0.0024390243902439024
low_log_total_mv,research_holdout,6560,0,0.0,0,0.0,1,0.0001524390243902439,23,0.00350609756097561,5,0.0007621951219512195,13,0.0019817073170731708,50,0.007621951219512195
low_stock_amount_share_in_industry,research_holdout,6560,0,0.0,0,0.0,0,0.0,3,0.00045731707317073173,1,0.0001524390243902439,2,0.0003048780487804878,20,0.003048780487804878
low_stock_ret_60d,research_holdout,6560,0,0.0,0,0.0,4,0.0006097560975609756,69,0.01051829268292683,22,0.003353658536585366,77,0.01173780487804878,131,0.01996951219512195
combo_low_liquidity_weak_momentum,train,23100,0,0.0,0,0.0,13,0.0005627705627705628,27,0.0011688311688311688,12,0.0005194805194805195,87,0.0037662337662337664,286,0.012380952380952381
combo_low_size_low_liquidity,train,24300,0,0.0,0,0.0,19,0.0007818930041152264,27,0.0011111111111111111,12,0.0004938271604938272,142,0.005843621399176955,209,0.00860082304526749
low_log_amount,train,24300,0,0.0,0,0.0,14,0.0005761316872427984,13,0.0005349794238683127,9,0.00037037037037037035,105,0.004320987654320987,162,0.006666666666666667
low_log_total_mv,train,24300,0,0.0,1,4.11522633744856e-05,36,0.0014814814814814814,83,0.0034156378600823044,32,0.0013168724279835392,191,0.007860082304526748,387,0.015925925925925927
low_stock_amount_share_in_industry,train,24300,0,0.0,0,0.0,21,0.0008641975308641976,15,0.0006172839506172839,9,0.00037037037037037035,105,0.004320987654320987,215,0.008847736625514403
low_stock_ret_60d,train,23100,0,0.0,0,0.0,20,0.0008658008658008658,89,0.003852813852813853,34,0.0014718614718614719,255,0.01103896103896104,746,0.03229437229437229
combo_low_liquidity_weak_momentum,validation,9680,0,0.0,0,0.0,10,0.0010330578512396695,0,0.0,0,0.0,7,0.0007231404958677686,50,0.005165289256198347
combo_low_size_low_liquidity,validation,9680,0,0.0,0,0.0,3,0.00030991735537190085,0,0.0,0,0.0,2,0.00020661157024793388,20,0.002066115702479339
low_log_amount,validation,9680,0,0.0,0,0.0,3,0.00030991735537190085,0,0.0,0,0.0,0,0.0,22,0.0022727272727272726
low_log_total_mv,validation,9680,0,0.0,0,0.0,3,0.00030991735537190085,0,0.0,0,0.0,8,0.0008264462809917355,84,0.008677685950413223
low_stock_amount_share_in_industry,validation,9680,0,0.0,0,0.0,3,0.00030991735537190085,0,0.0,1,0.00010330578512396694,2,0.00020661157024793388,22,0.0022727272727272726
low_stock_ret_60d,validation,9680,0,0.0,0,0.0,5,0.0005165289256198347,42,0.0043388429752066115,13,0.0013429752066115702,71,0.007334710743801653,195,0.020144628099173553
