rule_id,split,remove_top_winning_days,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
combo_low_liquidity_weak_momentum,research_holdout,0,328,6560,20.0,13.51043228993845,0.008620458980733348,0.007948392037320177,0.6554878048780488,0.5596036585365853,2.226293856855249,1.7030792638690653,-0.4124087515675061,0.008620458980733348,0.1089691079961218,-0.10884439116155106
combo_low_liquidity_weak_momentum,research_holdout,1,327,6540,20.0,12.084613615755654,0.008313582378239806,0.007814217081239467,0.654434250764526,0.558256880733945,2.1790338570908703,1.6759833719186634,-0.4124087515675059,0.008313582378239804,0.10896273162952008,-0.10884439116155106
combo_low_liquidity_weak_momentum,research_holdout,3,325,6500,20.0,9.819811953037169,0.007751022462646697,0.007529088205594075,0.6523076923076923,0.5555384615384615,2.0925282505360085,1.626386533577559,-0.4124087515675061,0.007751022462646697,0.08262661246798228,-0.10884439116155106
combo_low_liquidity_weak_momentum,research_holdout,5,323,6460,20.0,8.261981092512595,0.007298503812083989,0.007491475389159841,0.6501547987616099,0.5529411764705883,2.022413748398246,1.587389750770266,-0.4124087515675058,0.007298503812083989,0.07743822314531176,-0.10884439116155106
combo_low_liquidity_weak_momentum,research_holdout,10,318,6360,20.0,5.580059959130221,0.0063004121836458355,0.006953810500016722,0.6446540880503144,0.5463836477987422,1.8689332219495614,1.499377586074137,-0.4289113244844216,0.006300412183645835,0.0635702693772565,-0.10884439116155106
combo_low_liquidity_weak_momentum,research_holdout,20,308,6160,20.0,2.8886186387383987,0.004751121179859552,0.006355901606060668,0.6331168831168831,0.5331168831168831,1.6346541777821653,1.3661548222136477,-0.42891132448442104,0.004751121179859553,0.04701271515519792,-0.10884439116155106
combo_low_size_low_liquidity,research_holdout,0,328,6560,20.0,14.311461384436734,0.009010606489988079,0.010632891164967899,0.6310975609756098,0.5617378048780488,1.9513934082431663,1.6505885120910402,-0.6297914336937063,0.009010606489988077,0.16700942309293207,-0.1309943267592099
combo_low_size_low_liquidity,research_holdout,1,327,6540,20.0,12.120255142290707,0.008527429680804763,0.01061456378322948,0.6299694189602446,0.5603975535168195,1.8976316768698571,1.613824787938077,-0.6297914336937064,0.008527429680804765,0.1365312934045025,-0.1309943267592099
combo_low_size_low_liquidity,research_holdout,3,325,6500,20.0,9.24195995303105,0.007768610308872089,0.010369507192683286,0.6276923076923077,0.5576923076923077,1.812753724737776,1.5557829515027004,-0.6297914336937065,0.00776861030887209,0.11821115345548645,-0.1309943267592099
combo_low_size_low_liquidity,research_holdout,5,323,6460,20.0,7.195509658394679,0.0070866724136775415,0.010229463916132497,0.6253869969040248,0.554953560371517,1.7368467133172152,1.5038756866535854,-0.6297914336937064,0.0070866724136775415,0.1126721782496494,-0.1309943267592099
combo_low_size_low_liquidity,research_holdout,10,318,6360,20.0,4.361349867247017,0.0058041503314901575,0.009517561043309978,0.6194968553459119,0.5488993710691824,1.5941526563674246,1.406603322624294,-0.6297914336937065,0.0058041503314901575,0.06968543147310349,-0.1309943267592099
combo_low_size_low_liquidity,research_holdout,20,308,6160,20.0,1.9159523855632474,0.003953523212296853,0.008633451702667563,0.6071428571428571,0.5358766233766233,1.391983043149649,1.268918280639537,-0.6297914336937063,0.003953523212296853,0.05692702805596075,-0.1309943267592099
low_log_amount,research_holdout,0,328,6560,20.0,4.9603392967895426,0.006137998258078351,0.006031542520819996,0.6067073170731707,0.5382621951219512,1.5747990022523748,1.415713587429671,-0.6885339004425626,0.006137998258078351,0.1546772666212437,-0.12986544515185666
low_log_amount,research_holdout,1,327,6540,20.0,4.161909278971405,0.00568374973097387,0.005897356453896624,0.6055045871559633,0.5368501529051988,1.5306376981429337,1.383774676462585,-0.6885339004425626,0.005683749730973868,0.14267755968878215,-0.12986544515185666
