scenario_id,rule_id,split,trade_date,gross_pnl_yuan,net_pnl_yuan,entry_cost_yuan,exit_cost_yuan,total_cost_yuan,close_market_value_yuan,traded_notional_yuan,entry_notional_yuan,exit_notional_yuan,active_positions,entry_count,exit_count,avg_fill_ratio,prev_equity_yuan,equity_yuan,daily_return,gross_exposure_ratio,daily_turnover_ratio
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180404,-800.3763663085816,-800.3763663085816,0.0,0.0,0.0,199199.62363369143,200000.0,200000.0,0.0,20,20,0,1.0,1000000.0,999199.6236336915,-0.0008003763663085817,0.19919962363369142,0.2
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180409,1707.072442839558,1707.072442839558,0.0,0.0,0.0,400906.69607653096,200000.0,200000.0,0.0,40,20,0,1.0,999199.6236336915,1000906.696076531,0.0017084398377089204,0.40122782934864687,0.200160203496354
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180410,5692.485343571251,5692.485343571251,0.0,0.0,0.0,606599.1814201022,200000.0,200000.0,0.0,60,20,0,1.0,1000906.696076531,1006599.1814201022,0.005687328664984767,0.6060496785543742,0.19981882505530532
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180411,3561.691314305855,3561.691314305855,0.0,0.0,0.0,810160.8727344081,200000.0,200000.0,0.0,80,20,0,1.0,1006599.1814201022,1010160.8727344081,0.003538341159070931,0.8048495247049968,0.19868881645407416
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180412,-3718.8976955254166,-3718.8976955254166,0.0,0.0,0.0,1006441.9750388827,401810.6695314118,200000.0,201810.66953141175,100,20,20,1.0,1010160.8727344081,1006441.9750388827,-0.0036814905386888712,0.9963185094613111,0.3977689894518969
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180413,2756.671971903861,2756.671971903861,0.0,0.0,0.0,1007387.9774793747,403867.4506610745,200000.0,203867.4506610745,100,20,20,1.0,1006441.9750388827,1009198.6470107866,0.002739027226877496,1.0009399473232974,0.4012823994602089
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180416,-16990.090618718183,-16990.090618718183,0.0,0.0,0.0,986530.4361995821,397424.0351610767,200000.0,197424.0351610767,100,20,20,1.0,1009198.6470107866,992208.5563920684,-0.016835229287159942,0.977538405468193,0.39380159331191505
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180417,-17442.503137661846,-17442.503137661846,0.0,0.0,0.0,971663.8979008435,393406.1063344723,200000.0,193406.1063344723,100,20,20,1.0,992208.5563920684,974766.0532544065,-0.017579472607137537,0.9792940119706983,0.39649537771071086
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180418,419.3055381484623,419.3055381484623,0.0,0.0,0.0,968677.0971045197,392315.72424566536,200000.0,192315.72424566536,99,20,20,1.0,974766.0532544065,975185.358792555,0.0004301601771507596,0.9937534179308379,0.40247167300898395
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180419,8429.993387764178,8429.993387764178,0.0,0.0,0.0,994791.3662466186,394980.5314879028,200000.0,194980.53148790277,100,20,20,1.0,975185.358792555,983615.3521803193,0.008644503644109198,1.0201049034189142,0.40503123629435506
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180420,-20048.903098409184,-20048.903098409184,0.0,0.0,0.0,979761.9316603066,392163.9656656266,200000.0,192163.96566562654,100,20,20,1.0,983615.3521803193,963566.4490819101,-0.02038286923233561,0.9960823908334991,0.3986964668621133
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180423,-6546.860104549166,-6546.860104549166,0.0,0.0,0.0,981051.1058901309,394484.4950491924,200000.0,194484.4950491924,100,20,20,1.0,963566.4490819101,957019.5889773609,-0.006794404382579987,1.018145771705605,0.4094004055714671
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180424,20127.771665071283,20127.771665071283,0.0,0.0,0.0,1006694.3825060098,402090.2716535819,200000.0,202090.27165358188,100,20,20,1.0,957019.5889773609,977147.3606424321,0.021031723798442984,1.0519057228303235,0.4201484235899937
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180425,5706.668478784648,5706.668478784648,0.0,0.0,0.0,1010310.7793312125,401822.8051032193,200000.0,201822.8051032193,100,20,20,1.0,977147.3606424321,982854.0291212167,0.005840130883670156,1.0339390147530838,0.41122027371494735
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180426,-18205.52459042037,-18205.52459042037,0.0,0.0,0.0,990282.4496375729,395575.7233205741,200000.0,195575.72332057406,100,20,20,1.0,982854.0291212167,964648.5045307963,-0.018523121492108222,1.0075580099345962,0.40247657495413003
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180427,391.97468776342316,391.97468776342316,0.0,0.0,0.0,995098.7010047622,401031.35826082644,200000.0,201031.35826082644,100,20,20,1.0,964648.5045307963,965040.4792185597,0.0004063393929730696,1.0315661055098788,0.4157279634781454
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180502,950.6345145789709,950.6345145789709,0.0,0.0,0.0,995017.9772585147,401985.5945231995,200000.0,201985.59452319948,100,20,20,1.0,965040.4792185597,965991.1137331387,0.000985072165417088,1.0310634617775094,0.4165479098334889
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180503,9414.81857513273,9414.81857513273,0.0,0.0,0.0,1002447.201310448,400084.41579915356,200000.0,200084.4157991536,100,20,20,1.0,965991.1137331387,975405.9323082714,0.009746278657521517,1.0377395682620953,0.4141698718666262
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180504,46.11870657503162,46.11870657503162,0.0,0.0,0.0,1002408.9042178694,398437.7197339284,200000.0,198437.7197339284,100,20,20,1.0,975405.9323082714,975452.0510148464,4.7281552272183704e-05,1.0276838298960271,0.4084840029535564
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180507,19496.516444979654,19496.516444979654,0.0,0.0,0.0,1023467.7009289206,404865.799174878,200000.0,204865.799174878,100,20,20,1.0,975452.0510148464,994948.5674598261,0.019987160234781153,1.0492239981084865,0.41505453676955356
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180508,13458.015924508609,13458.015924508609,0.0,0.0,0.0,1032059.9176785513,407192.7183791698,200000.0,207192.71837916985,100,20,20,1.0,994948.5674598261,1008406.5833843347,0.013526343335382524,1.0372997674779039,0.4092600680040794
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180509,324.9093209636174,324.9093209636174,0.0,0.0,0.0,1025192.108620345,407808.47196506313,200000.0,207808.47196506313,100,20,20,1.0,1008406.5833843347,1008731.4927052984,0.0003222007137965942,1.0166455926732212,0.40440877586936064
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180510,8191.989602916187,8191.989602916187,0.0,0.0,0.0,1025575.626258198,410082.2791966254,200000.0,210082.2791966254,100,20,20,1.0,1008731.4927052984,1016923.4823082145,0.008121080448223383,1.0166983321872163,0.406532642395087
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180511,-10217.40052055248,-10217.40052055248,0.0,0.0,0.0,1005275.9465410202,405884.4461900681,200000.0,205884.4461900681,100,20,20,1.0,1016923.4823082145,1006706.081787662,-0.010047364131430035,0.9885463007101019,0.39912978041257435
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180514,-11444.172533836394,-11444.172533836394,0.0,0.0,0.0,987947.3278171157,399151.000000157,200000.0,199151.00000015702,100,20,20,1.0,1006706.081787662,995261.9092538255,-0.011367938210440095,0.9813662057775241,0.39649209160568805
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180515,8763.150180070052,8763.150180070052,0.0,0.0,0.0,997559.4779970287,400678.63111058745,200000.0,200678.63111058748,100,20,20,1.0,995261.9092538255,1004025.0594338956,0.008804868445774258,1.0023085066572333,0.4025861206835364
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180516,-3950.120230325254,-3950.120230325254,0.0,0.0,0.0,992930.7266561161,397856.901224687,200000.0,197856.901224687,100,20,20,1.0,1004025.0594338956,1000074.9392035704,-0.003934284501377356,0.9889501435511631,0.3962619234314855
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180517,-5257.02878953152,-5257.02878953152,0.0,0.0,0.0,989816.7966418975,395386.80735341494,200000.0,195386.80735341497,100,20,20,1.0,1000074.9392035704,994817.9104140388,-0.005256634861501538,0.9897426261177567,0.3953571796012498
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180518,10930.685794950168,10930.685794950168,0.0,0.0,0.0,1005360.6750834328,398315.4884370141,200000.0,198315.4884370141,100,20,20,1.0,994817.9104140388,1005748.5962089889,0.010987624650224547,1.010597682811125,0.40039034708496246
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180521,9877.549573174514,9877.549573174514,0.0,0.0,0.0,1016922.7362195932,404812.8909794369,200000.0,204812.8909794369,100,20,20,1.0,1005748.5962089889,1015626.1457821635,0.009821092080472578,1.0111102715457156,0.40249908625805236
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180522,8315.187977743091,8315.187977743091,0.0,0.0,0.0,1020425.0332178994,405085.3179853908,200000.0,205085.3179853908,100,20,20,1.0,1015626.1457821635,1023941.3337599066,0.008187252772366668,1.004725053067672,0.39885278620256737
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180523,-9734.582694385317,-9734.582694385317,0.0,0.0,0.0,1005605.1325381233,402861.0564996711,200000.0,202861.05649967107,100,20,20,1.0,1023941.3337599066,1014206.7510655213,-0.009506973078857932,0.9820925275528698,0.3934415412456958
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,20180524,-1309.065643398909,-1309.065643398909,0.0,0.0,0.0,1001435.0103950533,403205.3945947623,200000.0,203205.39459476227,100,20,20,1.0,1014206.7510655213,1012897.6854221224,-0.0012907285837168905,0.9874071626351826,0.3975573956406388
