scenario_id,rule_id,split,trend_regime,trades,signal_days,net_pnl_yuan,avg_net_return_on_target,trade_win_rate,profit_factor,avg_fill_ratio
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,neutral,3840,192,277438.427031119,0.007224959037268724,0.534375,1.5314835012209504,1.0
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,strong,2720,136,24532.677886716338,0.0009019366870116292,0.4827205882352941,1.0610597598325644,1.0
base_1m_5pct_signal_40bps,low_stock_ret_60d,research_holdout,neutral,3840,192,351709.36918042024,0.009159098155740111,0.49192708333333335,1.3402472451323106,0.9994791666666667
base_1m_5pct_signal_40bps,low_stock_ret_60d,research_holdout,strong,2720,136,34192.26247923948,0.0012570684735014508,0.45698529411764705,1.0540499110857133,0.9992647058823529
high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,research_holdout,neutral,3840,192,45742.72033663671,0.0011912166754332475,0.46770833333333334,1.0719121773212554,1.0
high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,research_holdout,strong,2720,136,-139068.12174620968,-0.00511279859361065,0.4033088235294118,0.7170292435172471,1.0
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,neutral,3840,192,119910.64362176169,0.0031226730109833786,0.4557291666666667,1.1040912347074536,0.9994791666666667
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,strong,2720,136,-129317.33350015704,-0.004754313731623421,0.4025735294117647,0.821330804318511,0.9992647058823529
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,research_holdout,neutral,3840,192,431902.2314941073,0.011247453945159044,0.5791666666666667,1.9485725962717366,1.0
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,research_holdout,strong,2720,136,133599.87764200033,0.0049117602074264825,0.5319852941176471,1.3828033638977595,1.0
no_cost_full_fill_1m,low_stock_ret_60d,research_holdout,neutral,3840,192,505883.2700719136,0.013174043491456086,0.5171875,1.5265013500579006,1.0
no_cost_full_fill_1m,low_stock_ret_60d,research_holdout,strong,2720,136,145301.02866516542,0.005341949583278138,0.4863970588235294,1.2521285381607443,1.0
strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,neutral,3840,192,1371879.221737107,0.007145204279880764,0.534375,1.5260396724687313,0.9971066744270833
strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,strong,2720,136,105674.70331930969,0.0007770198773478657,0.4827205882352941,1.0527238070464973,0.998541818235294
strict_5m_1pct_signal_40bps,low_stock_ret_60d,research_holdout,neutral,3840,192,1757401.5381791852,0.009153133011349925,0.49192708333333335,1.340094535120914,0.9989860443749999
strict_5m_1pct_signal_40bps,low_stock_ret_60d,research_holdout,strong,2720,136,149069.5844888647,0.0010960998859475344,0.45698529411764705,1.0472443219550016,0.9968236220588235
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,train,neutral,12840,642,-336842.8456252854,-0.0026233866481720045,0.44672897196261685,0.866789843458599,0.9975786164330218
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,train,strong,6520,326,-126236.88577875854,-0.0019361485548889347,0.4470858895705521,0.8992285262995402,0.9966636625766871
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,train,weak,3740,187,280640.69044481026,0.0075037617765992045,0.5315508021390374,1.3633761287239612,0.9977153716577539
