exit_policy,scenario_id,rule_id,split,year,signal_days,trades,net_pnl_yuan,avg_net_return_on_target,trade_win_rate,profit_factor,avg_fill_ratio
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,train,2018,92,1840,109758.33381324014,0.005965126837676095,0.5364130434782609,1.317275338510195,0.9972826086956522
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,train,2019,25,500,-27026.442746253415,-0.005405288549250684,0.428,0.6693749661292258,1.0
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,train,2021,16,320,142151.34042924613,0.044422293884139416,0.728125,4.896271636718945,1.0
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,train,2022,54,1080,54336.48827157103,0.005031156321441759,0.5120370370370371,1.1759273390928622,0.9967180462962963
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,2023,1,20,10181.13180124832,0.05090565900624161,0.85,12.688316353710476,1.0
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,2024,96,1920,146328.3576014142,0.0076212686250736565,0.5088541666666667,1.2875416302461897,1.0
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,low_stock_ret_60d,train,2018,92,1840,131971.05488165404,0.007172339939220329,0.5135869565217391,1.2340560181113105,0.9978260869565218
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,low_stock_ret_60d,train,2019,25,500,18405.267951405738,0.003681053590281148,0.402,1.144800846400686,0.996
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,low_stock_ret_60d,train,2021,16,320,245573.43453193406,0.0767416982912294,0.678125,4.385543479583486,0.996875
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,low_stock_ret_60d,train,2022,54,1080,69842.25572185375,0.006466875529801274,0.5138888888888888,1.1711058618842412,0.9990740740740741
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,low_stock_ret_60d,validation,2023,1,20,13866.02811488463,0.06933014057442315,0.9,20.08440377025932,1.0
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,low_stock_ret_60d,validation,2024,96,1920,449456.3876505294,0.023409186856798405,0.53125,1.6843965842011963,0.9989583333333333
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,train,2018,92,1840,-892.2423405070949,-4.8491431549298494e-05,0.483695652173913,0.9977606148530096,0.9972826086956522
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,train,2019,25,500,-57005.3211748719,-0.011401064234974381,0.336,0.43059038147841455,1.0
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,train,2021,16,320,122485.55483677344,0.0382767358864917,0.7125,3.9332426966399616,1.0
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,train,2022,54,1080,-10543.610791369574,-0.0009762602584601483,0.4685185185185185,0.969090326670849,0.9967180462962963
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,2023,1,20,8948.122387016112,0.044740611935080554,0.8,9.287622524101597,1.0
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,2024,96,1920,30457.631075558238,0.0015863349518519924,0.4546875,1.0537150071390617,1.0
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,2018,92,1840,21193.58678080741,0.0011518253685221414,0.4826086956521739,1.0343292548238958,0.9978260869565218
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,2019,25,500,-11589.938264881035,-0.002317987652976207,0.358,0.9202571719238994,0.996
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,2021,16,320,225656.88112151748,0.0705177753504742,0.665625,3.874737748579064,0.996875
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,2022,54,1080,4762.569582409342,0.00044097866503789603,0.49722222222222223,1.010850383262548,0.9990740740740741
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,validation,2023,1,20,12621.941858026257,0.0631097092901313,0.85,15.416467075970136,1.0
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,validation,2024,96,1920,332794.69510248175,0.017333057036587593,0.5020833333333333,1.4684913378514373,0.9989583333333333
delay_if_exit_blocked_max5,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,2018,92,1840,180464.18190980793,0.009807835973359127,0.553804347826087,1.5702552305859798,1.0
delay_if_exit_blocked_max5,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,2019,25,500,-7040.523793841094,-0.0014081047587682204,0.464,0.9007711955512812,1.0
delay_if_exit_blocked_max5,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,2021,16,320,155261.86415756127,0.04851933254923789,0.746875,5.673254572517593,1.0
delay_if_exit_blocked_max5,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,2022,54,1080,96948.87792269012,0.008976747955804637,0.5361111111111111,1.334216366445636,1.0
delay_if_exit_blocked_max5,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,validation,2023,1,20,11003.138077403126,0.05501569038701563,0.85,15.620999904043353,1.0
delay_if_exit_blocked_max5,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,validation,2024,96,1920,223575.50861865154,0.011644557740554763,0.5302083333333333,1.472707600334007,1.0
delay_if_exit_blocked_max5,no_cost_full_fill_1m,low_stock_ret_60d,train,2018,92,1840,207730.00907529716,0.011289674406266149,0.5315217391304348,1.3908039844670887,1.0
delay_if_exit_blocked_max5,no_cost_full_fill_1m,low_stock_ret_60d,train,2019,25,500,39940.258349352065,0.007988051669870412,0.436,1.3447632890348202,1.0
delay_if_exit_blocked_max5,no_cost_full_fill_1m,low_stock_ret_60d,train,2021,16,320,258023.11132783815,0.08063222228994942,0.684375,4.714345595192785,1.0
delay_if_exit_blocked_max5,no_cost_full_fill_1m,low_stock_ret_60d,train,2022,54,1080,114877.06479650171,0.010636765258935343,0.5287037037037037,1.2958492583052847,1.0
delay_if_exit_blocked_max5,no_cost_full_fill_1m,low_stock_ret_60d,validation,2023,1,20,14695.418952790213,0.07347709476395106,0.9,23.683049352828963,1.0
delay_if_exit_blocked_max5,no_cost_full_fill_1m,low_stock_ret_60d,validation,2024,96,1920,530320.2110513555,0.027620844325591434,0.5489583333333333,1.8514967855574296,1.0
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,train,2018,92,1840,542580.1980578306,0.005897610848454679,0.5364130434782609,1.3430965442349077,0.9269954324999999
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,train,2019,25,500,-135951.01854733098,-0.005438040741893238,0.428,0.6615330313251543,0.974014304
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,train,2021,16,320,647252.3414444625,0.040453271340278915,0.728125,4.656279610626056,0.934765164375
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,train,2022,54,1080,245865.7199950409,0.004553068888797053,0.5120370370370371,1.2451145773455012,0.5807632937037037
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,2023,1,20,20886.253882990168,0.02088625388299017,0.85,25.63092370310004,0.38635020999999997
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,2024,96,1920,697375.1793093871,0.007264324784472781,0.5088541666666667,1.2976143169827596,0.9059753084375
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,low_stock_ret_60d,train,2018,92,1840,659855.2744082704,0.00717233993922033,0.5135869565217391,1.2340560181113103,0.9978260869565218
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,low_stock_ret_60d,train,2019,25,500,92026.33975702879,0.003681053590281148,0.402,1.1448008464006856,0.996
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,low_stock_ret_60d,train,2021,16,320,1218415.2347855545,0.07615095217409715,0.678125,4.36022953139828,0.9855701831249999
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,low_stock_ret_60d,train,2022,54,1080,331213.57362798904,0.006133584696814611,0.5138888888888888,1.1635957784635216,0.9806420029629631
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,low_stock_ret_60d,validation,2023,1,20,69330.14057442316,0.06933014057442315,0.9,20.08440377025932,1.0
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,low_stock_ret_60d,validation,2024,96,1920,2299297.0536892866,0.023951010975930068,0.53125,1.7158495039917194,0.992776670625
planned_t5_close,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,train,2018,92,1840,110772.89132951305,0.0060202658331257085,0.5364130434782609,1.3207101126582534,0.9972826086956522
